row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,
1,Q3 2023/24,2023/11/29,"Agricultural Sector Education and Training
Authority (AgriSETA)SETA",Changes in Indicium,SoluGowth (Pty) ltd,"R 22 770,00",Single Source,2023/11/21,Once-Off,Once-Off,,
2,Q3 2023/24,2023/11/29,"Agricultural Sector Education and Training
Authority (AgriSETA)SETA",Board Capacity Training and Development,Institute of Directors in South Africa,"R 158 065,20",Sole Source,2023/11/23,Once-Off,Once-Off,,
3,Q3 2023/24,2023/10/03,Air Traffic and Navigation Services (ATNS),Mandatory training of flight procedure specialist trainees,Air Navigation Institute,"R 1 263 598,52",Single source,2023/09/26,2023/10/09,2023/12/15,,
4,Q3 2023/24,2023/10/03,Air Traffic and Navigation Services (ATNS),OEM of the existing software converter that converts GRIB data 2 to GRIB data 1 making it compatible to the old CAMU system,NetSys International,"R 138 000,00",Single source,2023/09/06,2023/10/01,2025/10/31,,
5,Q3 2023/24,2023/11/15,Air Traffic and Navigation Services (ATNS),Oracle to provide OVM and Linux support services,Oracle,"R 739 597,79",Continuity of service,2023/11/15,Not Stated,Not Stated,,
6,Q3 2023/24,2023/11/15,Air Traffic and Navigation Services (ATNS),Intelligence and private investigation services,Justicia Investigations,"R 83 950,00",Continuity of service,2023/11/16,Not Stated,Not Stated,,
7,Q3 2023/24,2023/11/16,Air Traffic and Navigation Services (ATNS),To appoint OTIS for the repair and commissioning of the FALE Tower Elevator,OTIS,"R 32 085,00",Continuity of service,2023/11/02,2023/11/08,2023/11/09,,
8,Q3 2023/24,2023/12/01,Air Traffic and Navigation Services (ATNS),Supply of 2 IBMA-Q870-i2 mother boards,Global Command and Control Technologies,"R 22 723,99",Continuity of service,2023/11/20,2023/11/28,2024/02/27,,
9,Q3 2023/24,2023/10/16,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Purchasing of Suprasolv.,Merck Life (Pty) Ltd,"R 5 401,14",Merck (Pty) Ltd is the sole supplier for GC-MC Suprasolv in South Africa.,2023/10/16,2023/09/19,2023/11/17,,
10,Q3 2023/24,2023/10/16,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Purchasing of reference standards,SABS (Pty) Ltd,"R 3 942,50",The SABS is the official South African supplier of test and specification standards,2023/10/16,2023/09/22,2023/10/06,,
11,Q3 2023/24,2023/10/16,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)","Deployment and connection of the front entrance decontamination shower structure
coupled with the tented changing room, to the CB Mobile BSL3 Laboratory will be
explained and demonstrated.",TF Design (Pty) Ldt,"R 45 700,00","TF Design (Pty) Ltd is the original equipment manufacturer for the Mobile Chemical
Biological Defence Laboratory (MCBDL).",2023/10/16,2023/09/27,2023/10/13,,
