3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 3 REPORT EXPANSIONS,,,,,,,,,,,,
Number,"Period / Quarter
(Use dropdown List)",Date Received By GMC (yyyy/mm/dd),"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
EXPANSIONS REPORT","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),Contract expiry date (yyyy/mm/dd)
1,Q3 2023/24,2023/10/03,Air Traffic and Navigation Services (ATNS),Provision of security services,Fidelity Security Services,"ACSA has not finalised a security tender process; ATNS cannot appoint a
new security company within the premises of ACSA","R 148 029,12","R 296 058,24",R -,2023/09/26,2023/10/01,2023/12/01
2,Q3 2023/24,2023/10/16,Armaments Corporation of South Africa SOC Ltd (ARMSCOR),Upgrade of GV5 MKII Gun,Denel Land Systems,"This requirement relates to a capital acquisition project. The project provides
for the repair and upgrade of a GV5 MKII Gun with serial number 20001.
The expansion makes provision for the re-industrialisation and upgrade of the
evaluation gearbox","R 1 584 919,32","R 1 584 919,32",R -,2023/10/16,2022/11/01,2024/02/29
3,Q3 2023/24,2023/10/16,Armaments Corporation of South Africa SOC Ltd (ARMSCOR),Upgrade of GV5 MKII Gun,Denel Land Systems,"This requirement relates to a capital acquisition project. The project provides
for the repair and upgrade of a GV5 MKII Gun with serial number 20254.
The expansion makes provision for the re-industrialisation and upgrade of the
evaluation gearbox","R 1 795 816,00","R 1 795 816,00",R -,2023/10/16,2022/11/09,2024/02/29
4,Q3 2023/24,2023/10/16,Armaments Corporation of South Africa SOC Ltd (ARMSCOR),Procurement of Carl Gustaf Weapon System,SAAB Dynamics AB,"Additional items of supply in the existing order, i.e. storage solution for item 4
and upgraded sighting systems for weapons systems procured in KP467237
of 02 April 2019.
Also, the order was amended in order to save on delivery and letter of credit
costs.","R 8 255 943,19","R 8 255 943,19",R -,2023/10/16,2023/02/09,Not stated
5,Q3 2023/24,2023/10/13,Border Management Authority,"Provision of consulting support services for the operationalisation of the
Border Management Authority (BMA)","Phulo Consulting Services, Kettle Consulting and
Masetlaoka Information Technologies Joint
Venture","To accommodate the deployment of the Microsoft 365 in order to enable the
roll-out of the emails to all the BMA service points; and the cloud engineering
support to anchor the ERP system - mostly importantly, the payroll","R 7 262 700,41","R 48 418 003,75",R -,2022/09/01,2022/09/01,2024/02/28
"6
7","Q3 2023/24
Q3 2023/24","2023/12/07
2023/10/05","Centre for Public Service Innovation
Civilian Secretariat for Police Service (CSPS)","Point to point data connectivity for Transversals
Travel Management Services","Sizwe Africa IT Group
Hamba Nathi Travel","Business Continuity
New bid in the bidding process","R 775 284,00
R 6 000 000,00","R 1 649 370,00
R 23 710 189,59","R -
R -","2023/11/24
2023/08/16","2024/01/02
2023/08/17","2025/01/31
2024/02/16"
8,Q3 2023/24,2023/11/07,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Hygiene Services- Ekurhuleni,Supreme Range General Supplier,Contract extended in line with the Lease extension- Ekurhuleni,"R 77 832,00","R 77 832,00",R -,2023/10/10,2023/10/01,2024/05/31
9,Q3 2023/24,2023/11/07,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Alarms Systems and 24 Hrs armed response- Ekurhuleni,Jubzin Security Services,Contract extended in line with the Lease extension-- Ekurhuleni,"R 15 111,00","R 20 148,00",R -,2023/10/07,2023/10/01,2024/05/31
10,Q3 2023/24,2023/11/07,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Maintenance of Biometrics Systems- Ekurhuleni,Omega Fire & Security,Contract extended in line with the Lease extension- Ekurhuleni,"R 23 000,00","R 25 300,00",R -,2023/10/09,2023/10/01,2024/05/31
11,Q3 2023/24,2023/11/07,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Hygiene Services-New Castle,Bidvest Steiner,Contract extended in line with the Lease extension-New Castle,"R 47 033,24","R 23 327,15",R -,2023/10/12,2023/11/01,2024/06/30
