number,period_quarter_use_dropdown_list,date_received_by_gmc_yyyy_mm_dd,entity_department_use_dropdown_list,project_description,supplier_service_provider,value_of_deviation_r,reason_for_deviation,award_by_ao_aa_date_yyyy_mm_dd,contract_start_date_yyyy_mm_dd,contract_expiry_yyyy_mm_dd
1,Q3 2024/25,2024/09/17,South African National Space Agency (SANSA),Rhode & Swartz Customer owned equipment calibration.,Protea Electronics,"R 17 332,80","Protea Electronics is the only authorized calibration and repair agent for Rohde and
Swartz test equipment in South Africa",2024/09/12,Once off,Once off
2,Q3 2024/25,2024/09/16,"Energy and Water Sector Education and
Training Authority (EWSETA)SETA",Renewal of Licenses,ITR Technology,"R 159 850,00","The renewal of the ManageEngine AD Audit Plus Professional Edition license for a
period of three years is essential to ensure the continuous monitoring and safeguarding
of administrative activities within the organization.",2024/08/16,Once off,"Once off
Once off
Once off
Once off
2024/11/27
Once off
Once off
Once off
Once off
Once off"
3,Q3 2024/25,2024/09/16,"Energy and Water Sector Education and
Training Authority (EWSETA)SETA",Workshop,The Institute of Risk Management SA,"R 164 507,50","This workshop, hosted by IRMSA, is necessary as it is a recognized professional body
for risk management in South Africa, accredited by the South African Qualifications
Authority (SAQA). It is vital for the strategic risk management initiatives of EWSETA.",2024/08/16,Once off,
4,Q3 2024/25,2024/09/16,"Energy and Water Sector Education and
Training Authority (EWSETA)SETA",Sponsorship,"South African Youth Economic Council
(SAYEC)","R 100 000,00","The sponsorship aligns with EWSETA’s strategic mandate to support youth economic
empowerment, promoting engagement in line with EWSETA’s broader objectives.",2024/08/22,Once off,
5,Q3 2024/25,2024/09/16,"Energy and Water Sector Education and
Training Authority (EWSETA)SETA",Sponsorship,South African Brics Youth Association,"R 265 800,00","This sponsorship supports the objectives of fostering youth leadership and economic
development in line with EWSETA’s mandate, ensuring alignment with national and
international collaboration goals.",2024/08/27,Once off,
6,Q3 2024/25,2024/09/16,"Energy and Water Sector Education and
Training Authority (EWSETA)SETA",Additional Work,Technology and Cabling Group,"R 187 519,00","The same service provider who carried out the initial refurbishment work at EWSETA's
Head Office was sourced to complete the dditional refurbishment work required in order
to maintain the same design standards.",2024/07/24,2024/08/28,
7,Q3 2024/25,2024/09/16,"Energy and Water Sector Education and
Training Authority (EWSETA)SETA",Sponsorship,Lixan Projects,"R 521 427,00","The sponsorship is essential to support initiatives that align with EWSETA’s mandate
and strategy for sustainable development and educational outreach.",2024/08/29,Once off,
8,Q3 2024/25,2024/09/16,"Energy and Water Sector Education and
Training Authority (EWSETA)SETA",Advertising,"M People Resourcing t/a Green Economy
Media","R 25 925,00","EWSETA’s participation in this advertising opportunity allows for substantial brand
exposure, reaching both physical and online audiences at a major conference, with an
estimated audience of over 10,000 attendees.",2024/09/02,Once off,
9,Q3 2024/25,2024/09/16,"Energy and Water Sector Education and
Training Authority (EWSETA)SETA",Sponsorship,Business Engage Association,"R 28 750,00","This sponsorship ensures EWSETA’s active engagement with business communities,
furthering the mandate to develop strategic partnerships in support of the organization's
goals.",2024/09/02,Once off,
10,Q3 2024/25,2024/09/16,"Energy and Water Sector Education and
Training Authority (EWSETA)SETA",Sponsorship,Sealzed Group,"R 150 000,00","The sponsorship is in line with EWSETA’s strategic priorities, supporting industry
partnerships and developmental initiatives.",2024/09/05,Once off,
11,Q3 2024/25,2024/09/16,"Energy and Water Sector Education and
Training Authority (EWSETA)SETA",Sponsorship,"Southern African Energy Efficiency
Confederation (SAEEC)","R 34 500,00","This sponsorship aligns with EWSETA’s mandate to foster energy efficiency and
sustainability, contributing to the organization’s strategic response to national energy
challenges.",2024/09/12,Once off,
12,Q3 2024/25,2024/09/20,South African Tourism,Stand builder for Routes World 2024,City Neon,"R 1 208 924,50",Single Source,2024/09/17,2024/10/06,2024/10/08
13,Q3 2024/25,2024/09/20,South African Tourism,IGTM 2024 package - participation fee and stand build,Reed Exhibitions,"R 2 924 221,00",Single Source,2024/09/19,2024/10/14,2024/10/14
14,Q3 2024/25,2024/09/20,South African State Theatre,"Repair and waterproofing of Arena, Drama, Opera and Office
block",Con-Solve Civils CC,"R 4 952 545,64","AFMS Group (Pty) Ltd conducted a condition assessment of the Theatre Complex and
Office Block Roofs as well as the Basement Building Structure. The findings presented
showed that the roofs and basement building structure have significant damage. The
damage is primarily as a result of water ingress and a related lack of preventative
maintenance. The condition has deteriorated to a point where ordinary repairs and
maintenance to address the damage is not possible. Major repairs are thus required for
both the roofs and the basement building structure. The service provider appointed to
conduct the condition assessment has classified the projects as emergency projects.
Both areas, the roofs and the basement building strucutre, pose a significant risk where
any further damage may result in a structural collapse in both areas. This presents a",2024/04/03,Once off,"Once off
Once off
Once off
Once off
Once off
Once off
Once off
Once off
Once off
Once off
Once off
2028/10/31
2026/10/31
Once off
Once off
Once off
Once off
Once off
Once off
Once off
Once off
Once off
Once off
Once off
Once off
Once off"
