number,period_quarter_use_dropdown_list,d_a_t_e_r_e_c_e_i_v_e_d_b_y_gmc_yyyy_mm_dd,entity_department_use_dropdown_list,project_description,supplier_service_provider,reason_for_expansion,value_of_contract_expansion_[r],original_contract_value_[r],value_of_previous_expansion_[r],award_by_ao_aa_date_yyyy_mm_dd,contract_start_date_yyyy_mm_dd,contract_expiry_date_yyyy_mm_dd
,Q3 2024/25,2024/09/20,South African Tourism,Plus 94 Research Domestic Survey Extension,Plus 94 Research Pty Ltd,Contract variation,"R 1 466 990,00","R 9 771 991,00","R 1 466 990,00",2024/09/10,2024/10/01,2024/11/30
,Q3 2024/25,2024/09/20,"Council for Scientific and Industrial
Research (CSIR)","Provision of professional services for Import/export
department at CSIR",Sardonxy Investment (Pty) Ltd,"Sardonyx to ensure continuation of operations, as the new employee
expected to start o the 1st September 2024 will still need to be taken
through an induction programme, before they could efficiently operate on
their own. Furthermore, the current permanent employees have accrued
leave that needs to be taken before 31 December 2024, and not continuing
with the contracted supplier, will have dire operational disruptions.","R 146 000,00","R 438 000,00",R -,2024/08/27,2024/09/04,2024/12/20
,Q3 2024/25,2024/09/16,"Energy and Water Sector Education
and Training Authority
(EWSETA)SETA",Online Travel Management System,TOURVEST,"Additional funding is required to ensure continuity of travel management
services while the RFP/Tender process for appointing a new service
provider is being finalized.","R 600 000,00","R 999 000,00","R 149 850,00",2024/04/01,2022/08/23,2025/08/31
,Q3 2024/25,2024/09/16,"Energy and Water Sector Education
and Training Authority
(EWSETA)SETA",Appointment of an Interim SCM Manager,"KWAKUHLE STAFFING
SOLUTIONS","Additional time is necessary as Kwakuhle Staffing Solutions continues to
support the EWSETA and the SCM department with critical services during
the transitional period.","R 403 037,60","R 700 000,00",R -,2024/08/15,2024/08/16,2024/11/15
,Q3 2024/25,2024/09/16,"Energy and Water Sector Education
and Training Authority
(EWSETA)SETA",Appointment of Finance Consultants,EQUILAB SOLUTIONS,"Additional time is needed for Equilab Solutions to continue assisting
EWSETA and the Finance department in managing financial operations
during the ongoing service provision.","R 401 250,00","R 999 000,00","R 382 500,00",2024/07/31,2024/08/31,2024/10/31
,Q3 2024/25,2024/09/16,"Energy and Water Sector Education
and Training Authority
(EWSETA)SETA",Provision for Labour Relations Services,EXTRIBYTE,"Additional funds are required to maintain service continuity in labor relations
while the RFQ process for appointing a new service provider is completed.","R 310 500,00","R 950 000,00",R -,2024/08/16,2024/09/20,2026/08/31
,Q3 2024/25,2024/09/16,"Energy and Water Sector Education
and Training Authority
(EWSETA)SETA",Appointment of a Financial Accounting Administrator,"SAMASI ADVISORY TAX
AUDIT","Additional time is necessary as Samasi Advisory Tax Audit is currently
assisting the EWSETA Finance department in critical accounting tasks,
ensuring uninterrupted services.","R 749 009,00","R 749 000,00",R -,2024/08/30,2024/09/01,2025/08/31
,Q3 2024/25,2024/09/16,"Energy and Water Sector Education
and Training Authority
(EWSETA)SETA",Appointment of an Interim Marketing Manager,KREDD COMMUNICATIONS,"Additional funding is required to ensure the continuity of marketing services
until a new appointment is finalized.","R 70 000,00","R 720 000,00","R 190 000,00",2024/08/30,2024/08/30,2024/08/31
,Q3 2024/25,2024/09/16,"Energy and Water Sector Education
and Training Authority
(EWSETA)SETA",Appointment of an Interim Marketing Manager,KREDD COMMUNICATIONS,"Additional time is necessary for Kredd Communications to continue
supporting EWSETA's marketing department while the finalization of the
appointment process is underway.","R 981 036,14","R 720 000,00","R 70 000,00",2024/08/30,2024/09/01,2025/03/31
,Q3 2024/25,2024/09/16,"Energy and Water Sector Education
and Training Authority
(EWSETA)SETA","Appointment of an Interim Financial Accounting
Manager",EQUILAB SOLUTIONS,"Additional time is required for Equilab Solutions to continue assisting the
Finance department to ensure smooth financial operations during this period
until a permanent appointment is finalized.","R 1 558 592,00","R 999 000,00","R 401 250,00",2024/08/30,2024/08/31,2025/03/31
