number,period_quarter_usedropdownlist,datereceivedbygmcyy_yy_mm_dd,entity_department_usedropdownlist,projectdescription,supplier_serviceprovider,valueofdeviation_r,reasonfordeviation,awardbyao_aa_date_yyyy_mm_dd,contractstartdateyyyy_m_m_dd,contractexpiryyyyy_mm_dd
1,Q4 2024/25,2024/12/18,Department of Human Settlements (DHS),Supply of 87 building materials at Soshanguve City of Tshwane,Manthwadi Trading and Projects,"R 1 ,144,465.00",Emergency Procurement,2024/12/11,Not Stated,Not Stated
2,Q4 2024/25,2024/12/18,Department of Human Settlements (DHS),Supply of 193 buiding material at Bothaville Free State,Multiservice and Construction Pty Ltd,"R 2 ,383,200.00",Emergency Procurement,2024/12/11,Not Stated,Not Stated
3,Q4 2024/25,2024/12/20,South African Social Security Agency (SASSA),Emergency Building Material,Lenai,"R 1 ,138,090.50","On the 11th of December 2024 it was discovered that the sewer line from the kitchen drainpipes was
blocked, and the kitchen sink outlet was also broken and need to be replaced. Again, the external front
double door locking system was no longer able to lockable and need a replacement. If the sink is not",2024/12/11,2024/12/11,2024/12/12
4,Q4 2024/25,2024/12/20,"Department of Justice and Constitutional Development
(DoJ&CD)",Emergency Building Material,Hustleberg,"R 1 ,976,250.00","Limited bidding - The Department requires SAP software license assurance to assist in upkeeping the
current installed SAP software solution. The License Assurance is also required for envisaged",2024/12/05,2025/01/01,2027/12/31
5,Q4 2024/25,2024/12/20,Public Protector South Africa,Emergency Building Material,KTM Mojor Projects,"R 1 ,976,456.00",Emergency procurement,2024/12/09,Not Stated,Not Stated
6,Q4 2024/25,2024/12/20,Public Protector South Africa,Emergency Building Material,Fierce Dimensions,"R 3 ,774,258.00",Radio slot interviews - Limited bidding,2024/11/24,Not Stated,Not Stated
7,Q4 2024/25,2024/12/20,Public Protector South Africa,"Single Source memo for the transfer of Microsoft Azure services
from the previous MSP to the new MSP",Exelligent,"R 9 25,142.50",Radio slot interviews - Limited bidding,2024/11/18,Not Stated,Not Stated
8,Q4 2024/25,2024/12/20,Public Protector South Africa,"Procurement of Global Internal Auditing Standards (GIAS) training
for the CSOS internal Audit staff",Leadership Academy for guardians of governance,"R 5 5,482.90",Radio slot interviews - Limited bidding,2024/11/18,Not Stated,Not Stated
9,Q4 2024/25,2024/12/20,Public Protector South Africa,Procurement for Quant Studio Pro 6 consumables,"LTC Tech South Africa (Pty) Ltd TA Thermofisher
Scientific","R 1 0,329.80",Radio slot interviews - Limited bidding,2024/11/18,Not Stated,Not Stated
10,Q4 2024/25,2024/12/20,Public Protector South Africa,Procurement of Filtration Media,Freudenberg Filtration Technologies,"R 1 72,321.06",Radio slot interviews - Limited bidding,2024/11/18,Not Stated,Not Stated
11,Q4 2024/25,2024/12/20,Public Protector South Africa,"Maintenance of Ion Chef Ion Torrent PGM (Personal Genome
Machine)","LTC Tech South Africa (Pty) Ltd TA Thermofisher
Scientific","R 1 98,175.00",Radio slot interviews - Limited bidding,2024/11/18,Not Stated,Not Stated
12,Q4 2024/25,2024/12/24,South African Social Security Agency (SASSA),Procurement of flow meters for the TSI Certi Tester,AMS Laboratory Technologies (Pty) Ltd,"R 6 8,740.00",Sole Supplier,2024/12/19,Not Stated,Not Stated
13,Q4 2024/25,2024/12/19,National Gambling Board (NGB),Single & Double Half Mask (Green),Paramount Safety Products CC,"R 8 38,740.00",Sole Source,2024/12/17,2025/03/01,2027/02/28
14,Q4 2024/25,2024/12/19,National Gambling Board (NGB),Supply and delivery of Electronic Equipment.,Test Dynamics Defense (Pty) Ltd,"R 1 40,090.00",Emergency,2024/12/17,2024/11/28,2024/11/28
15,Q4 2024/25,2024/12/17,South African National Accreditation System (SANAS),Emergency Building Material,Mmkumula,"R 4 ,131,606.00",Urgent Procurement,2024/12/02,2024/12/02,2024/12/06
16,Q4 2024/25,2024/12/17,South African National Accreditation System (SANAS),"95 Beneficiaries Building Material Mangaung Informal Settlements
Ethekwini",Surtech Solutions RSA,"R 1 ,282,500.00",Emergency,2024/11/15,2024/11/15,2024/11/15
17,Q4 2024/25,2025/01/03,Department of Human Settlements (DHS),"Appointment of a service provider to support and maintain the website at
CSOS.",Nomasathi Group (Pty) Ltd,"R 1 6,900.00",Procurement occurred in Emergency situation and Urgent cases,2024/12/29,Not Stated,Not Stated
18,Q4 2024/25,2025/01/03,Department of Human Settlements (DHS),Procurement of Caseware License Renewal,Adapt IT (Pty) Ltd,"R 2 03,238.92",Procurement occurred in Emergency situation and Urgent cases,2024/12/29,Not Stated,Not Stated
19,Q4 2024/25,2025/01/03,Department of Human Settlements (DHS),204 Beneficiaries in various areas within City of Cape Town,RS Construction,"R 2 56,568.00",Procurement occurred in Emergency situation and Urgent cases,2024/12/28,Not Stated,Not Stated
20,Q4 2024/25,2025/01/03,Department of Human Settlements (DHS),Emergency Building Material,Fierce Dimensions,"R 3 ,774,258.00",Procurement occurred in Emergency situation and Urgent cases,2025/01/02,Not Stated,Not Stated
21,Q4 2024/25,2024/12/19,Department of Human Settlements (DHS),"Single Source memo for the transfer of Microsoft Azure services from the
previous MSP to the new MSP",Exelligent,"R 9 25,142.50","The transfer will allow the organisation to avoid any further charges from Jec Tech forAzure services,
ensuring that all future financial commitments are consolidated under Exelligent’s contract, as per the
new agreement",2024/12/09,2025/01/01,2025/10/30
22,Q4 2024/25,2025/01/08,Legal Aid South Africa,"Property Evaluator Expert for the matter of Sophy Kgotho Selau
and Gaolaolwe Joseph Selau",DDP Valuation & Advisory Services Pty Ltd,"R 2 4,012.00",Single Source,2024/12/12,2024/12/13,2024/12/13
23,Q4 2024/25,2025/01/08,Legal Aid South Africa,Monitoring and Armed Response in Humansdorp Satellite Office,Fidelity Security Services,"R 8 ,740.00",Emegency,2024/11/29,2024/12/01,2025/11/30
24,Q4 2024/25,2025/01/15,Community Schemes Ombud Service (CSOS),"Procurement of Global Internal Auditing Standards (GIAS) training for the
CSOS internal Audit staff",Leadership Academy for guardians of governance,"R 5 5,482.90","Procurement of Global Internal Auditing Standards (GIAS) training for the CSOS Internal audit staff
members from the Leadership Academy for Guardians of Governance on behalf of the Institute of
Internal Auditors South Africa (IIASA) as a sole source supplier in providing Internal Audit training",2025/01/15,Not Stated,Not Stated
25,Q4 2024/25,2025/01/08,Eskom Holdings SOC Ltd,"To conduct the detailed engineering design, procurement, manufacture,
construction, factory acceptance testing, delivery and provide site storage
procedure for the Ex Lethabo 01 rotor (serial number: 410533) rewind kit.",Toshiba International,"R 5 2,859,657.38","Original Equipment Manufacturer. Lethabo and Matla Power Stations are sister Stations which were
originally fitted with interchangeable and concertina winding designed GE/Alstom Belfort type (T262-
610) rotors prior 2001. The Matla specific rotors with serial numbers (410518, 410519, 410533,",2024/11/29,2024/12/03,2026/06/02
