number,period_quarter_use_dropdown_list,d_a_t_e_r_ye_yc_ye_i_mv_e_d_b_y_g_m_c_y_m_d_d,entity_department_use_dropdown_list,project_description,supplier_service_provider,reason_for_expansion,value_of_contract_expansion_[r],original_contract_value_[r],value_of_previous_expansion_[r],award_by_ao_aa_date_yyyy_mm_dd,contract_start_date_yyyy_mm_dd
1,Q4 2024/25,2024/12/20,Department of Human Settlements (DHS),Review the Orginisational Structure,Ernst and Young,The contract expired before the project could be completed,"R 6 44,529.10","R 4 ,603,779.28",R -,2024/12/15,2024/12/17
2,Q4 2024/25,2024/12/20 De,partment of Justice and Constitutional Development (DoJ&,"CDA)ppointment of an OEM Acc ar ne dd i Ste ud pK oO rF oA fX S Oe Fr Avi Xc e cP aro nv ni id ne r f oo lr t th ue I nm plementation,Maintenance
p t K s g S u io",Highbury Solutions (Pty) Ltd,Business continuity to allow for the finalisation of the replacement procurement process.,"R 6 72,750.00","R 1 1,949,638.00","R 3 ,600,158.60",2024/12/10,2025/01/01
3,Q4 2024/25,2024/12/20 De,partment of Justice and Constitutional Development (DoJ&,CD) Provision of Service Desk and C oS ne srv tii tc ue ti oM na an l Dag ee vm ele on pt m fo er n tthe Department of Justice and,Alteram Solutions (Pty) Ltd,Business continuity to allow for the finalisation of the replacement procurement process.,"R 5 ,651,449.42","R 5 3,999,388.84",R -,2024/12/20,2025/01/11
4,Q4 2024/25,2024/12/20,Public Protector South Africa,"Cleaning services for Limpopo, Sibasa, Bisho, Mthatha, Cape Town and George",The Reeds Cleaning Corporation,To allow continuation of service while finalising the tender process,"R 9 2,850.00","R 8 16,020.00","R 1 11,850.00",2024/11/30,2024/12/01
5,Q4 2024/25,2024/12/20,Public Protector South Africa,"Hygiene Services for Bisho, Mthatha, Limpopo, Sibasa, Cape Town and Head Office",Tiney Cleaning Services CC,To allow continuation of service while finalising the tender process,"R 5 3,283.00","R 4 03,559.56","R 4 6,397.00",2024/11/30,2024/12/01
6,Q4 2024/25,2024/12/20,Public Protector South Africa,"Cleaning services Head Office & Hygiene services for Head Office, Limpopo, Sibasa, Mthatha,
Bisho, Cape Twon and George",Tiney Cleaning Services CC,To allow continuation of service while finalising the tender process,"R 1 05,230.00","R 3 57,162.56","R 5 2,614.00",2024/11/30,2024/12/01
7,Q4 2024/25,2024/12/20,Special Investigating Unit (SIU),installation of signage of the siu head office and gauteng office,Universal Signs and Advertisement,"Extension of the scope of work for installing signage at the head and Gauteng Provincial offices to be
secured with sun blast or one-way vision protection.","R 1 04,484.18","R 5 65,332.92",R -,2024/12/12,Not Stated
8,Q4 2024/25,2025/01/02,National Regulator for Compulsory Specifications (NRCS),Mobile Toilets,Food & Beverage cc,Compliance to Picketing rules during a strike,"R 7 5,000.00","R 1 5,000.00",R -,2024/11/20,Not stated
9,Q4 2024/25,2025/01/08,Legal Aid South Africa,Delarayville SO (Office Lease Accommodation),CPJ Du Plessis CC,Tender process not yet concluded,"R 8 2,680.00","R 7 00,126.95","R 2 43,759.84",2024/11/26,2024/12/01
10,Q4 2024/25,2025/01/08,Legal Aid South Africa,Banking Services,First Rand Bank LTD,Tender process not yet concluded,"R 7 03,047.60","R 8 ,901,575.00",R -,,2025/01/01
11,Q4 2024/25,2025/01/08,Legal Aid South Africa,Co-operation agreement Stellenbosch University,Stellenbosch University,Tender process not yet concluded,"R 2 72,192.49","R 3 ,266,310.00",R -,2024/11/26,2025/01/01
12,Q4 2024/25,2025/01/08,Legal Aid South Africa,Rustenburg Local Office (Leasse of office accomodation),HB Investment Trust,Tender process not yet concluded,"R 4 20,693.42","R 3 ,343,311.21","R 5 54,550.45",2024/11/27,2024/12/01
13,Q4 2024/25,2025/01/08,Legal Aid South Africa,Kirkwood Satellite Office (Cleaning Services),Alvofield CC,Tender process not yet concluded,"R 1 0,500.00","R 1 0,500.00","R 1 0,500.00",2024/11/26,2024/12/01
14,Q4 2024/25,2025/01/08,Legal Aid South Africa,Kirkwood Satellite Office (Hygiene Services),Khanya Cleaning Group,Tender process not yet concluded,"R 3 ,643.20","R 3 ,643.20","R 3 ,643.20",2024/11/26,2024/12/01
15,Q4 2024/25,2025/01/08,Legal Aid South Africa,Kirkwood Satellite Office (Security Services),SMhart Security,Tender process not yet concluded,R 8 97.00,R 8 97.00,R 8 97.00,2024/11/26,2024/12/01
16,Q4 2024/25,2025/01/08,Legal Aid South Africa,Security Services Secunda Satelite Office,Mzansi Secure Fire Group,RFQ process not yet concluded,"R 1 ,974.96","R 2 2,224.00","R 1 ,144.90",2024/11/26,2025/01/01
17,Q4 2024/25,2025/01/08,Legal Aid South Africa,Soshanguve Local Office (Leasse of office accomodation),Sefako Makgatho Health Sciences University,Tender process not yet concluded,"R 1 05,584.49","R 1 ,779,066.54",R -,2024/12/10,2025/01/01
18,Q4 2024/25,2025/01/08,Legal Aid South Africa,Secunda Satellite Office (Leasse of office accomodation),Dipula Property Investments Trust,Tender process not yet concluded,"R 1 25,508.54","R 1 ,173,835.33","R 4 18,945.92",2024/12/05,2025/01/01
19,Q4 2024/25,2025/01/08,Legal Aid South Africa,Storage services for Vereeniging Local Office,Master Office Projects,RFQ process not yet concluded,"R 2 8,290.00","R 1 60,310.00",R -,2024/12/04,2025/01/01
20,Q4 2024/25,2025/01/08,Legal Aid South Africa,Support Services for SAP System,Baraka IT Solutions (Pty) Ltd,Tender process not yet concluded,"R 3 34,170.12","R 1 ,683,460.80","R 6 12,645.22",2024/11/29,2024/12/16
21,Q4 2024/25,2025/01/08,Legal Aid South Africa,Empangeni Local Office (Leasse of office accomodation),Mazule Properties CC,Tender process not yet concluded,"R 2 80,500.84","R 2 ,504,932.45","R 3 27,251.07",2024/12/09,2025/01/01
22,Q4 2024/25,2025/01/08,Legal Aid South Africa,Tembisa Local Office (Leasse of office accomodation),Sampada Retail Properties (Pty) Ltd,Tender process not yet concluded,"R 2 61,093.42","R 4 ,663,238.48",R -,2024/12/09,2025/01/01
23,Q4 2024/25,2025/01/08,Legal Aid South Africa,Mokopane Satellite Office (Leasse of office accomodation),Rayveen CC,Tender process not yet concluded,"R 1 30,430.04","R 1 ,164,767.72","R 2 60,860.08",2024/12/11,2025/01/01
