number,period_quarter_use_dropdown_list,date_received_by_gmc_yyyy_mm_dd,entity_department_use_dropdown_list,project_description,supplier_service_provider,value_of_deviation_r,reason_for_deviation,award_by_ao_aa_date_yyyy_mm_dd,contract_start_date_yyyy_mm_dd,contract_expiry_yyyy_mm_dd,status_use_dropdown_list,comments
1,Q1 2025/26,2025/03/28,"South African National Energy
Development Institute (SANEDI)",Rental of Office Furniture,Mantomphi,"R 185,810.00","A process of three quotations was taken with the anticipation
that by the time the renovation process gets to the end, the
furniture will be returned to the service provider. With the
lack of storage for the new furniture which will probably
broken and get dirty because of the construction process on
site, the rented furniture was opted.",2025/02/06,Not stated,Not stated,Reported,
2,Q1 2025/26,2025/03/17,Road Traffic Infringement Agency (RTIA),Installation of alarms and additional cameras,Rainbow Technologies,"R 449,500.00","Break in incident requiring enhancement of the security
controls",2025/02/06,2025/02/07,2025/03/30,Reported,
3,Q1 2025/26,2025/03/17,Road Traffic Infringement Agency (RTIA),Extension of scope for the CCMA matter,MMMG,"R 2 6,957.75","The law firm is familier with the original scope and it is cost
convinient to use same service provider",2025/02/13,2025/02/14,2025/03/01,Reported,
4,Q1 2025/26,2025/03/17,Road Traffic Infringement Agency (RTIA),Support fees for Barnowl,IDI Technology,"R 7 4,520.00",Existing tool monitoring risk management services,2025/02/25,2025/03/01,2026/02/28,Reported,
5,Q1 2025/26,2025/03/24,Air Traffic and Navigation Services (ATNS),Membership 3 Users andFleets Database 1 User,CAPA – Centre for Aviation,"R 7 25,317.99",Single source,2025/02/25,2025/03/17,2028/03/17,Reported,
6,Q1 2025/26,2025/03/17,"National Youth Development Agency
(NYDA)",Hygiene Equipment Rental,LAMI Cleaning & Hygiene Care,"R 8 ,964.45",Landlords service providers,2025/02/25,2025/03/01,2025/03/31,Reported,
7,Q1 2025/26,2025/03/17,"National Youth Development Agency
(NYDA)","VIP Payroll, HR Premier and ESS",SAGE VIP,"R 2 88,158.80",Continuity of service,2025/03/20,2025/03/01,2026/03/31,Reported,
8,Q1 2025/26,2025/03/25,Trans-Caledon Tunnel Authority (TCTA),"Appointment of a SAGE approved partner to implement SAGE
SCM and HR module and SAGE 3rd party solutions and
support and maintenance",Isitshixo Business Solutions CC,"R 4 50,926.39","Limited bidding to SAGE Platitum and Gold acreedited
partners",Not stated,Not stated,Not stated,Reported,
9,Q1 2025/26,2025/03/25,Trans-Caledon Tunnel Authority (TCTA),Chairing of disciplinary process for TCTA employees,Malatji and Co Attorneys,"R 7 19,840.00",Single sourcing from the Panel of prequalified Law Firms,Not stated,Not stated,Not stated,Reported,
10,Q1 2025/26,2025/03/25,Trans-Caledon Tunnel Authority (TCTA),Initiation of disciplinary process for TCTA employees,MNS Attorneys,"R 9 31,700.00",Single sourcing from the Panel of prequalified Law Firms,Not stated,Not stated,Not stated,Reported,
