number,perio_dd_ro_p_dq_owu_na_lr_it_se_tr_use,date_received_by_gmc_yyyy_mm_dd,entity_department_use_dropdown_list,project_description,supplier_service_provider,reason_for_expansion,value_of_contract_expansion_[r],original_contract_value_[r],value_of_previous_expansion_[r],award_by_ao_aa_date_yyyy_mm_dd,contract_start_date_yyyy_mm_dd,contract_expiry_date_yyyy_mm_dd,status_use_dropdown_list,comments
1,Q1 2025/26,2025/03/17,National Agricultural Marketing Council (NAMC),Moving to new office: IT services required for new building,Enabling ICT Solutions (Pty) Ltd,Single sourcing from current contract-expansion,"R 679,445.32","R 4,060,808.00","R 530,474.65",2025/03/12,2025/11/03,2025/11/03,Reported,
2,Q1 2025/26,2025/03/17,National Agricultural Marketing Council (NAMC),Conduct audit and investigate the matter.,"SAB&T Chartered Accountants
Incorporated t/a Nexia SAB&T",Single sourcing from current contract-expansion,"R 634,069.75","R 1,075,254.69","R 4 45,000.00",2025/03/12,2025/05/03,2025/05/03,Reported,
3,Q1 2025/26,2025/03/20,Road Traffic Management Corporation (RTMC),Scholar transport insurance,Maksure Risk Solutions,Provincial scholar transport audit is still underway,"R 93,811.00","R 376,020.00",R -,2025/02/04,2025/02/13,2025/05/12,Reported,
4,Q1 2025/26,2025/03/24,Air Traffic and Navigation Services (ATNS),"To upgrade of the current billing system for the development of
the Oceanic Billing Solution",DAC Systems (Pty) Ltd,"No longer meets the evolving demands of the
organisation and its stakeholders.Originally
designed to support the South African market, the
system lacks the capacity and flexibility required to
accommodate ATNS's expanded operations
across the African continent.","R 409,032.00","R 2,377,188.00",R -,2024/11/12,2025/03/11,2026/03/11,Reported,
5,Q1 2025/26,2025/03/17,National Youth Development Agency (NYDA),"Placement of NYS/UIF skills project Placement of NYS/UIF skills
project",Jwatlala,Continuity of service,"R 363,825.00","R 2,453,125.00",R -,Not stated,Not stated,Not stated,Reported,
6,Q1 2025/26,2025/03/17,National Youth Development Agency (NYDA),"Tenant Installation, ICT and Branding Costs",Olitzki Property Holdings,additional renovation allowance,"R 960,900.11","R 7,332,170.34",R -,2024/04/24,2024/06/01,2031/06/30,Reported,
7,Q1 2025/26,2025/03/25,Trans-Caledon Tunnel Authority (TCTA),"Extension of the scope of work for TGM Group of companies to
provide branded stationery items for the communication
Department",TGM Group of companies,Not stated,"R 179,000.00","R 1,373,000.00",R -,Not stated,Not stated,Not stated,Reported,
8,Q1 2025/26,2025/03/25,Trans-Caledon Tunnel Authority (TCTA),"Extension of the scope of work for Maemu Logistics to provide
branded items for the communication Department",Maemu Logistics,Not stated,"R 22,000.00","R 149,000.00",R -,Not stated,Not stated,Not stated,Reported,
9,Q1 2025/26,2025/03/25,Trans-Caledon Tunnel Authority (TCTA),"Provision of legal support for the BRVAS Project in respect of
Infrastructure Finance Transaction",Cliffe Dekker Hofmeyer (CDH),"Extension of the contract to make provision for
concluding outstanding tasks (Contunuity grounds)","R 207,000.00","R 1,053,000.00",R -,Not stated,Not stated,Not stated,Reported,
10,Q1 2025/26,2025/03/25,Trans-Caledon Tunnel Authority (TCTA),"Provision of events management services for the ministerial
launch/handover of Kgubetswana houses",Bophelo Communications,"Expansion of contract to include the urgent
requirement for e Ministerial event management
and catering services for the Ministers Umkhomazi
agreements signing ceremony","R 2,020,000.00","R 663,000.00",R -,Not stated,Not stated,Not stated,Reported,
