row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,supported,rollover_or_new
1,Q3 2022/23,2022/09/21,"African Exploration Mining and Finance Corporation
SOC Ltd (AEMFC)","Appointment of Diesel Service Provider to deliver
1,6mil liters",Cashcrete and Logistics (Pty) Ltd,"R 37 456 000,00",More cost effective than RT-contract,2022/08/22,2022/08/23,2023/02/24,,Noting,New
2,Q3 2022/23,2022/09/21,"African Exploration Mining and Finance Corporation
SOC Ltd (AEMFC)","Appointment of OEMs to replace, service, maintain,
replace parts and equipments for period of 24
months","B&E International; MMD Green; Astec Industries;
Multotec; Famdra; Brelko; Booyco; FMA;
Klerkscale; Rocktuff",R -,"Use on OEMs ensures that quality wo rerk dm uca en ss h mip a dn led mm aa nin cta oin tc sompany assets in working order and
id - s",As and when required,As and when required,As and when required,,Noting,New
3,Q3 2022/23,2022/09/21,"African Exploration Mining and Finance Corporation
SOC Ltd (AEMFC)",On-site coal laboratory,Bestech Laboratory (Pty) Ltd,"R 2 370 020,00","Current contract cancelled due to not conforming with Eskom lab results - which results in production
stoppages.",Not Stated,2022/09/01,2023/08/01,,Noting,New
4,Q3 2022/23,2022/09/21,"African Exploration Mining and Finance Corporation
SOC Ltd (AEMFC)","Sourcing of Higher Grade Coal for Quality
Management to service Eskom Supply Agreement -
Majuba for period of 24 months",Namane Commodities,"R 1 017 405 000,00",Rectification Plan for Eskom Coal Agreement,2022/08/03,2022/06/01,2024/05/31,,Noting,New
5,Q3 2022/23,2022/10/13,Airports Company South Africa (ACSA),"Advertising (CLA) software support and
maintenance agreement over a period of two (2)
years",The nth Dimension CC,"R 735 868,00",Original Equipment Manufacturer (OEM) to provide purchase of subscription licenses,2022/10/07,Not stated,Not stated,,Noting,New
6,Q3 2022/23,2022/10/13,Airports Company South Africa (ACSA),"Emergency procurement process carried out for
Storage Technology Services (PTY). Ltd to Supply,
service and maintain IT Workplace Services.",Storage Technology Services (Pty) Ltd,"R 514 793,75","IT emergency procurement was done due to delays caused by the national lockdown during the covid 19
pandemic.During the lockdown period, it was important that all employees are provided with tools of trade to
enable them to work remotely. These include Microsoft Teams, Exchange, Skype for business and End user
devices supply, support and maintenance. All these services were provided by Storage Technology
Services.Should the services not be in place the supported services might fail and there would not be
recourses to support and maintain the services. The emergency was over one month from 01 May to 31",2022/07/14,2022/05/01,2022/05/31,,Noting,New
7,Q3 2022/23,2022/10/13,Airports Company South Africa (ACSA),"Ratification for the Clover Warehouse Compliance
Repairs",CHE Electrical Engineering,"R 849 791,00","Electrical installation repairs, inspection, testing, and certification for the warehouse occupied by Clover at
CTIA. Emergency procurement was invoked so that the repairs would be done before the lease expiry and
to also make the premises safe as soon as possible for the occupants",2022/10/05,Not stated,Not stated,,Noting,New
8,Q3 2022/23,2022/10/13,Airports Company South Africa (ACSA),"Ratification of the emergecy process for Cleaning
services at George Airport",Impilonhle Trading & Projects,"R 500 232,16","Unplanned suspension of cleaning services by the contracted service provider which resulted in the airport
activating an emergency process for cleaning services to continue.",2022/09/09,Not stated,Not stated,,Noting,New
9,Q3 2022/23,2022/10/13,Airports Company South Africa (ACSA),"Ratification of the emergency process for the
emergency repairs for BHS at CTIA",Process Control & Integration Technology,"R 808 790,30","The cause of the damages was due to incident from Swissport and Bid Air ground handlers driving carts on
both Baggage Hall on 29 September 2021 and domestic arrival carousel on 4 October 2021 .Both incidents
halted the Baggage Handling process operation at CTIA as the Baggage Hall is equipped to make use of
conveyors carousels as main operation equipment. At the time of the incident the services of maintaining
the conveyor system had no contract in place, hence the emergency process was followed to bring back the
damaged equipment to operation and avoid the operation impact which could have led to business",2022/05/22,Not stated,Not stated,,Noting,New
10,Q3 2022/23,2022/10/13,Airports Company South Africa (ACSA),"Ratification of the emergency process for the
Procurement of portable water tankers",Aqua Transport & Plant Hire (Pty) Ltd,"R 684 000,00","Emergency procurement was for supply of water for the airport terminal during the April floods when water
supply was interrupted.",2022/08/26,Not stated,Not stated,,Noting,New
11,Q3 2022/23,2022/10/13,Airports Company South Africa (ACSA),"Ratification of the emergency procurement for the
for attending to breakdowns on Sewer and Storm
Water Pumps for Airports Company South Africa
SOC Ltd. (ACSA) at O. R. Tambo International
Airport",Leano Construction Solutions,"R 532 011,51",Emergency Process for attending to breakdowns on Sewer and Storm Water Pumps,2022/09/12,Not stated,Not stated,,Noting,New
12,Q3 2022/23,2022/10/13,Airports Company South Africa (ACSA),"Request approval to restrict a bid for the Security
Access Cards",Security Tech Supplies,"R 500 000,00",Sole source procurement process for acquisition security access cards,2022/09/28,Not stated,Not stated,,Noting,New
13,Q3 2022/23,2022/10/13,Airports Company South Africa (ACSA),"Request to restrict a bid for the HR Kiosk Support
and Maintenance",Page Automation (Pty) Ltd,"R 1 516 669,00","OEM supplier software, hardware and support and maintenance for the Kiosk environment.",2022/06/21,2022/09/01,2024/08/31,,Noting,New
14,Q3 2022/23,2022/10/13,Airports Company South Africa (ACSA),"Tender restriction for the Maintenance of the
Maintenance of the Aircraft Rescue & Fire Fighting
(ARFF) Vehicles & Related Equipment",Rosenbauer SA (Pty) Ltd,"R 31 669 178,00","Airports Company South Africa (ACSA) owns and operates a fleet of Aircraft Rescue & Fire Fighting
(ARFF) Vehicles & associated equipment at its various airports. Currently ACSA has a maintenance
contract in place with the Original Equipment Manufacturer (OEM) (Rosenbauer South Africa (Pty) Ltd), for
the maintenance of the ARFF vehicles & associated equipment. The maintenance contract is over a five (5)
year period, effective 01 October 2017 until the 30 September 2022",2022/09/16,2022/10/01,2027/09/30,,Noting,New
15,Q3 2022/23,2022/11/04,Armaments Corporation of South Africa Limited,Bioelectrical Impedance analyses,Life Max Pty Ltd,"R 2 3 780,00",Procurement by other means,2022/11/04,2022/10/06,2022/10/19,,Noting,New
16,Q3 2022/23,2022/11/04,Armaments Corporation of South Africa Limited,Calibration of TC 4040,National Physical Laboratory,"R 5 1 135,69",Procurement by other means,2022/11/04,2022/10/20,2022/11/25,,Noting,New
17,Q3 2022/23,2022/11/04,Armaments Corporation of South Africa Limited,Procurement of 510 communication motherboard,Tecmed Pty Ltd,"R 5 0 632,50",Procurement by other means,2022/11/04,2022/05/12,2022/05/30,,Noting,New
18,Q3 2022/23,2022/11/04,Armaments Corporation of South Africa Limited,Renewal of Surma MG Software,Surma Ltd,"R 8 9 451,00",Procurement by other means,2022/11/04,2022/09/29,2022/09/30,,Noting,New
19,Q3 2022/23,2022/12/05,"Banking Sector Education and Training Authority
(BANKSETA)SETA","Annual license for SAGE X3 ERP for Finance,
Operations and Supply Chain",SAGE (Pty)Ltd,"R 180 175,06","The BANKSETA is currently using SAGE X3 ERP for Finance, Operations and SCM. The BANKSETA
wishes to extend use of SAGE ERP for at least another year, as it is not practical to change and migrate to
another system until the MIS contract has been implemented. BANKSETA also does not have the capacity
to change and migrate two major ICT systems at the same time as both require time from the same staff
members and must integrate to each other. The BANKSETA requires a SAGE licence to continue with
SAGE ERP.",2022/11/21,2022/12/01,2023/10/30,,Within AA/AO mandate Noting,New
