,,,3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 4 REPORT EXPANSIONS,,,,,,,,,,,
Number,Period / Quarter (Use dropdown List),"Date Received By GMC
(yyyy/mm/dd)",,"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract
Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
EXPANSIONS REPORT,,,,,,,,,,,,,,
1,Q4 2023/24,2023/12/18,,National Arts Council of South Africa (NAC),PABX Support and Maintenance,Rivoni Matimba,"Due to a delay in the porting of numbers from the previous to the current service provider, it is
hereby requested that the PABX service and support to be extended by an additional two (02)
months period to allow for the telephone number porting process to be concluded as well as a
smooth transition from the current to the new service provider.","R 26 187,18","R 380 918,00","R 57 305,91",2023/12/11,2023/12/12,2024/01/31,Reported
2,Q4 2023/24,2024/01/15,,National Development Agency (NDA),"Conduct psychometric assessments for candidates who applied for
CEO position",Mogoma Research and Development,"The initial purchase order issued covered only two candidates but the Board resolved that the
top three candidates must go through the psychometric assessments.","R 13 116,40","R 48 258,60",R-,2023/12/21,2024/01/03,2024/03/31,Reported
3,Q4 2023/24,2024/01/10,,Legal Aid South Africa,National Office Cleaning Services,OKS Investments 2009,New tender process to appoint service provider not yet concluded,"R 318 780,00","R 2 902 518,00","R 85 733,10",2023/11/27,2024/01/01,2024/03/31,Reported
4,Q4 2023/24,2024/01/10,,Legal Aid South Africa,National Office Security Services,Lettie Top Security,New tender process to appoint service provider not yet concluded,"R 372 471,36","R 3 737 009,50","R 1 228 208,32",2023/11/30,2024/01/01,2024/03/31,Reported
5,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Eastern Cape Provincial Office - Security Contract,Atlas Security,Alignment to lease period ending 31 March 2024,"R 5 078,34","R 26 481,12",R-,2023/11/20,2023/12/01,2024/03/31,Reported
6,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Elliot Cleaning Services,Executive Cleaning & Hygiene,"RFQ process non-responsive, new process will be undertaken","R 24 589,60","R 24 589,60",R-,2023/11/27,2023/12/01,2024/05/31,Reported
7,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Elliot Hygiene Services,Executive Cleaning & Hygiene,"RFQ process non-responsive, new process will be undertaken","R 3 300,00","R 3 300,00",R-,2023/11/27,2023/12/01,2024/05/31,Reported
8,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Vryheid Local Office (Lease of office accomodation),Hester Davel,New tender process to appoint service provider not yet concluded,"R 320 157,42","R 2 556 602,98","R 320 157,42",2023/11/24,2024/01/01,2024/06/30,Reported
9,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Graaff-Reinet Local Office (Lease of office accomodation),Karl Benjamin Putter t/a Radium Cleaners,New tender process to appoint service provider not yet concluded,"R 160 390,68","R 1 364 116,68",R-,2023/11/24,2024/01/01,2024/06/30,Reported
10,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Ladybrand Satellite Office (Lease of office accomodation),Oos Vrystaat Kaap,New tender process to appoint service provider not yet concluded,"R 70 472,64","R 376 930,31","R 67 116,78",2023/11/24,2024/01/01,2024/06/30,Reported
11,Q4 2023/24,2024/01/10,,Legal Aid South Africa,"Makhanda (Grahamstown) Local Office (Lease of office
accomodation)",Karoovlakte Trust,New tender process to appoint service provider not yet concluded,"R 597 897,60","R 5 339 352,00",R-,2023/11/24,2024/02/01,2024/07/31,Reported
12,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Modimolle Local Office (Lease of office accomodation),Nyl Sakesentrum (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 116 616,36","R 2 080 406,99","R 233 232,72",2023/11/24,2024/01/01,2024/03/31,Reported
13,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Mokopane Satellite Office (Lease of office accomodation),Rayveen CC,"RFQ process non-responsive, new process will be undertaken","R 130 430,04","R 1 164 767,72",R-,2023/11/24,2024/01/01,2024/06/30,Reported
14,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Secunda Satellite Office (Lease of office accomodation),Dipula Property Investments Trust,"RFQ process non-responsive, new process will be undertaken","R 133 572,96","R 1 173 835,33","R 133 572,96",2023/11/24,2024/01/01,2024/06/30,Reported
15,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Soweto Local Office (Lease of office accomodation),Redefine Retail (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 759 219,42","R 6 661 711,74",R-,2023/11/24,2024/01/01,2024/06/30,Reported
16,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Koffiefontein and Jagersfontein agency agreements,R.C Ishmail Attorneys,New tender process to appoint service provider not yet concluded,"R 446 058,00","R 726 480,00",R-,2023/11/28,2023/12/01,2024/05/31,Reported
17,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Fort Beaufort Satellite Office Security Services,Delyn Security,New tender process to appoint service provider not yet concluded,"R 2 070,00","R 4 480,00",R-,2023/11/28,2023/12/01,2024/05/31,Reported
18,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Security services (Monitoring and armed response) Pinetown LO,LAD Security Services,New tender process to appoint service provider not yet concluded,"R 443,82","R 15 886,14",R-,2023/11/30,2023/12/01,2023/12/07,Reported
19,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Uitenhage (Kariega) Local Office (Lease of office accomodation),KV Botha Eiendomme (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 340 755,24","R 3 041 842,29","R 681 510,48",2023/11/28,2024/01/01,2024/06/30,Reported
20,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Umlazi Local Office (Lease of office accomodation),Ithala Development Finance Corporation Limited,New tender process to appoint service provider not yet concluded,"R 211 689,79","R 1 735 950,37",R-,2023/12/07,2024/01/01,2024/06/30,Reported
21,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Umlazi Local Office (Lease of office accomodation),Amina Goolam Tayob Family Trust,New tender process to appoint service provider not yet concluded,"R 151 298,94","R 1 375 595,04",R-,2023/11/24,2024/01/01,2024/06/30,Reported
22,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Humansdorp Satellite Office (Lease of office accomodation),Werda Humansdorp Beleggings,New tender process to appoint service provider not yet concluded,"R 72 049,32","R 679 612,09","R 106 034,85",2023/11/29,2023/12/01,2024/05/31,Reported
23,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Klerksdorp Local Office (Lease of office accomodation),Apostolic Faith Mission of South Africa,Non-responsive bids,"R 195 624,06","R 1 746 963,48","R 586 872,18",2023/11/29,2023/12/01,2024/05/31,Reported
24,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Fort Beaufort Satellite Office (Lease of office accomodation),Georghiou Primary Property Company (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 96 503,70","R 861 798,60",R-,2023/11/24,2023/12/01,2024/05/31,Reported
25,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Support services for the SAP System,Baraka IT Solution s (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 334 170,11","R 1 683 460,80",R-,2023/12/11,2024/01/15,2024/07/15,Reported
26,Q4 2023/24,2024/01/29,,Housing Development Agency (HDA),extension of lease agreement,Spitskop Ontwikkeling Property Limited,Mediam Term Operational Plan not yet completed for the next 3 years,"R 1 508 030,40","R 5 059 200,00",R-,2023/11/20,2024/01/01,2024/01/31,Reported
27,Q4 2023/24,2024/01/29,,National Home Builders Registration Council (NHBRC),Extension for six-month period for Polokwane Office,Eli Struck,Tender advertised and administratively non-responsive,"R 1 444 731,00","R 11 491 991,40",R-,2023/11/22,2024/01/01,2024/06/30,Reported
28,Q4 2023/24,2024/01/30,,South African Bureau of Standards (SABS),Physical Security contract,Servest,PSIRA led increase and equipments,"R 1 422 637,68","R 57 467 814,86",R-,2023/11/01,2023/04/01,2026/01/01,Reported
29,Q4 2023/24,2024/01/31,,South African Bureau of Standards (SABS),Cleaning and Hygiene Newcastle,Survival of a strong Woman,Alignment of contract with termination of lease agreement,"R 64 474,72","R 429 831,48",R-,2023/10/10,2023/11/01,2024/02/29,Reported
30,Q4 2023/24,2024/01/31,,South African Bureau of Standards (SABS),Insurance cover,GIB,Increase in premiums due to market trends,"R 587 410,21","R 10 000 000,00",R-,2023/11/06,2024/11/30,2025/10/01,Reported
