No,Department / Entity,Project Description,Supplier,Value of Contract,Reason for Deviation,"Award
/Recommendation by/
Date",Supported/Not supported,Contract start date,Contract expiry
1,AEMFC,"Development of 24 stands with bulk
infrastructure in to start mining
activities at the Two line Community
block.",Not stated,Not stated,Continuity of service,2017/05/16,Conditional support,Not stated,Not stated
2,AEMFC,"Provision of a business/systems
analysis services for the execution of
the ICT roadmap projects",Advisory IT,"386,000.00",Continuity of service,2017/05/16,Conditional support,Not stated,Not stated
3,AEMFC,Repair of a 132kW electric motor,Zamani Engineering Services cc,"53,634.00",Machinery repair service,2017/05/17,Conditional support,Not stated,Not stated
4,AEMFC,"Hosting and maintaining of AEMFC
domain",IGNITE,Not stated,Single source,2017/06/01,Supported,Not stated,Not stated
5,AEMFC,Provision of Internet Service,IGNITE,Not stated,Single source,2017/06/01,Supported,Not stated,Not stated
6,AEMFC,"Hosting and maintaining of Astaro
Firewall",IGNITE,Not stated,Single source,2017/06/01,Supported,Not stated,Not stated
7,AEMFC,"Network connection between Head
Office and the Mine",VLocity Communication,Not stated,Single source,2017/06/01,Not supported,Not stated,Not stated
8,AEMFC,"Maintenance of FortiGate Firewall for
the network connection",Pronetworks,Not stated,Single source,2017/06/01,Not supported,Not stated,Not stated
9,AEMFC,Management of switching and routing,Pronetworks,Not stated,Single source,2017/06/01,Not supported,Not stated,Not stated
10,AEMFC,"Server room consist of Dell Blade
Servers, Dell Storage Arrays,
Switches and UPS",Not stated,Not stated,Single source,2017/06/01,Not supported,Not stated,Not stated
11,AEMFC,Management of ESXi Hosts,Pronetworks,Not stated,Single source,2017/06/01,Not supported,Not stated,Not stated
12,AEMFC,"Management of Microsoft server
platform and licences",Pronetworks,Not stated,Single source,2017/06/01,Supported,Not stated,Not stated
13,AEMFC,"Management and maintenance of
Email Hosted Exchange",IGNITE,Not stated,Single source,2017/06/01,Not supported,Not stated,Not stated
14,AEMFC,"Management of Microsoft licences
runned on all workstations",Pronetworks,Not stated,Single source,2017/06/01,Supported,Not stated,Not stated
15,AEMFC,"Management of Kaspersky Antivirus
Licences",Nkusi-IT,Not stated,Single source,2017/06/01,Not supported,Not stated,Not stated
16,AEMFC,"Backup and Restore Disaster
Recovery",Pronetworks,Not stated,Single source,2017/06/01,Supported,Not stated,Not stated
17,AEMFC,"Management of Mitel PABX and
handsets",ST-Solutions,Not stated,Single source,2017/06/01,Not supported,Not stated,Not stated
