,,,,,,,,,
GOVERNANCE MONITORING AND COMPLIANCE: QUARTER 1 (APRIL - JUNE 2018) REPORT- DEVIATIONS,,,,,,,,,
No,Department / Entity,Project Description,Supplier,Value of Contract,Reason for Deviation,"Award
/Recommendation by/
Date",Supported/Not supported,Contract start date,Contract expiry
1,"African Exploration Mining
Finance Corporation SOC
Ltd","Engineering designs, wetland and groundwater specialist work",Gudani Environmental Services,299 142.00,Continuity of service,2018/04/18,Supported,Not stated,Not stated
2,"Agricultural Research
Council",Transportation,Aramex,1 604 424.00,Continuity of service,2018/04/06,Not supported,Not stated,Not stated
3,"Agricultural Research
Council",Maintenance and support of laboratory information solution,MciLT,2 628 000.00,Continuity of service,2018/04/06,Noted,Not stated,Not stated
4,"Agriculture, Forestry and
Fisheries",Support of sector capacity building,International Trade Centre,447 235.00,Prior agreement,2018/03/31,Within AA/AO mandate,Not stated,Not stated
5,Amatola Water,Construction of Libode through Quick Wins,Not Stated,Not Stated,Closed bid- urgent,2018/06/05,Not supported,Not stated,Not stated
6,Basic Education,"Conducting Trends International Mathematics and Science
Study (TIMSS) in South Africa.","Human Sciences Research
Council (HSRC)",34 800 000.00,Sole supplier,2018/05/28,Conditional support,Not stated,Not stated
7,Brand South Africa,Legal services,ENS Africa,1 000 000.00,Emergency procurement method,2018/05/10,Pending,Once off,Once off
8,CHIETA,Provision of Management Information System,IT Aware,9 717 246.00,Continuity of service,2018/05/09,Not supported,2018/05/15,2020/03/31
9,COGTA,Jamba Journal of Disaster Risk Studies,University of North West,1 733 181.45,Preferred supplier,2018/0/25,Supported,2018/06/28,2018/07/01
10,COGTA,Software license & maintenance and support,Moya Technology CC,769 569.54,Continuity of service,2018/04/06,Pending,2018/07/01,2022/06/30
11,COGTA,"Ministers Welcoming Gala Dinner and Ministers of Disaster
Management Closing Cocktail Function","East London International
Conference Centre",690 690.00,Preferred Solution,2018/05/26,Pending,Date of approval,6 months
12,Companies Tribunal,Appointment of a publisher,Juta & Company (Pty) Ltd,0.00,Single source,2018/05/15,Conditional support,Not stated,Not stated
13,Compensation Fund,Compilation of forensic report,Kwinana & Associates,2 043 814.50,Single source,2018/06/05,Pending,Date of approval,18 weeks
14,Competition Tribunal,Website support and Hosting,4Design Media,301 000.00,Procurement took longer than anticipated,2018/04/09,Not supported,Not stated,Not stated
15,Council for GeoScience,Repair of canal crossing,Not applicable,Not applicable,Request to advertise for shorter period,2018/06/15,Supported,2018/06/20,2 weeks
16,Council for GeoScience,Renewal of e-journals subscription,Elsevier B.V,2 423 332.61,Sole supplier,2018/05/25,Noted,Once off,Once off
17,Council for GeoScience,Hazmat deep cleaning,SpillTech,616 987.87,Single source,2018/06/06,Pending,Once off,Once off
18,"Council for Scientific and
Industrial Research",Financial implication system,Dante Deo Consulting,300 000.00,Compliance requirements,2018/04/10,Within AA/AO mandate,Not stated,Not stated
19,DBSA,Support of the Loans Management (CML) module,Ernst & Young,1 344 000.00,Single source,2018/03/16,Not supported,Once off,Once off
20,Defence,Supply and installation of 2nd Chiller and Sprinkler System,Subbienet,7 300 000.00,Single source,2018/04/11,Supported,Not stated,Not stated
21,DLCA,Request to shorten advertising period,Not applicable,Not applicable,Request to advertise for shorter period,Not indicated,Conditional Support,Not stated,Not stated
22,DMV,Hosting of MKVA 5th National Conference,Birchwood Hotel,6 058 190.00,Single source,2017/06/07,Pending,Not stated,Not stated
23,DOD,Service provider for hosting the Military Ombud Symposium,M&G. MSG. Inside Education,5 000 000.00,Single source,2018/04/11,Conditional Support,Not stated,Not stated
24,Economic Development,Advise on a labour dispute,Mr Anton Roskam,100 000.00,Single source,2018/05/28,Within AA/AO mandate,Once off,Once off
25,"Education, Training and
Development Practices
SETA",Training of Educators on Skills Development,"National Education Collaboration
Trust",163 774 700.00,Continuity of service,Not stated,Pending,2018/03/01,2021/3/31
26,Environmental Affairs,Testing of physical concept model for Tidal Pool,CSIR,867 514.00,Sole supplier,2018/04/06,Supported,2018/05/01,2018/09/07
27,Environmental Affairs,Procurement of the Cmore Sysytem,CSIR,24 000 000.00,CSIR owns 60% of the IP,2018/04/12,Supported,2018/04/01,2019/03/31
28,Eskom,Labour Brokers Consultants,Various suppliers,1 140 522 894.00,Single source,2018/04/06,Not supported,2018/05/01,2018/07/31
29,Eskom,Supply of 3Mt of coal for various power station,Closed bid - Not Indicated,Not specified,Lease Agreement,2018/04/19,Pending,2018/04/01,2019/12/31
30,Eskom,"Contract 5Mt coal to Empowerment Mpumalanga Designated
Group",Various suppliers,37 361 197.98,Previously approved equipment,2018/06/22,Not supported,Not indicated,12 months
,,,,,,,,,
GOVERNANCE MONITORING AND COMPLIANCE: QUARTER 1 (APRIL - JUNE 2018) REPORT- DEVIATIONS,,,,,,,,,
No,Department / Entity,Project Description,Supplier,Value of Contract,Reason for Deviation,"Award
/Recommendation by/
Date",Supported/Not supported,Contract start date,Contract expiry
31,Eskom,Leasing 40 “MSC One” tokens,MSC Software GmbH,36 388 800.00,Peak demand savings,2018/06/15,Conditional support,Not indicated,36 months
32,Eskom,"Treatment. testing and Supply of Estimated Quantities of Wood
Poles and Cross Arms",Various suppliers,0.00,Continuity of service,2018/05/23,Not supported,2018/04/01,12 months
33,Eskom,"Not submit requests for modification which exceeds the
threshold for time only and modifications to task orders",None -deviation from process,8 273 162.50,Continuity of service,2018/05/23,Not supported,Not indicated,2018/12/17
34,Eskom,Kendal Apollo Line LiftProject,"GEN Overhead Lines (Pty) Ltd
(GOL)",213 522 285.00,Finalise competitive bidding process,2018/05/11,Not supported,Not indicated,12 months
35,Eskom,"Manufacture. Testing. Supply. Delivery. Off-Loading and
Erection of Estimated Quantities of Line Traps","High Voltage Equipment (Pty)
Ltd (HVT)",46 088 650.00,Continuity of service,2018/05/11,Not supported,2018/05/15,2018/11/14
36,Eskom,"Design. manufacture. testing. development of user
documentation. supply. delivery. off-loading and erection of
Transmission shunt capacitor and filter bank protection and
control schemes","PowerTech System Integrators
(Pty) Ltd",8 273 162.50,Continuity of service,2018/05/11,Not supported,Not applicable,Not applicable
37,ESKOM,19MW Evening-Peak Load shifting projects,BBE Energy,Not Indicated,Supplier Development Initiative,2018/06/15,Conditional support,Not stated,Not stated
38,Eskom,"Supply and Delivery of Transformer/Reactor Protection
Schemes For Various Tranmission Substations",ABB South Africa (Pty) Ltd,Not Indicated,Address immediate short fall,2018/06/22,Supported,Not stated,Not stated
41,ETDP SETA,Provision of Caseware System,Adapt IT,226 753.96,Single source,2018/06/19,Within AA/AO mandate,2018/07/01,2020/06/30
39,FIC,Custom built web crawling software,FACTS Consulting,1 003 200.00,Single source,2018/05/08,Not supported,Once off,Once off
40,Film and Publication Board,Legal services,MNS,1 107 738.00,Expansion of scope,2018/04/16,Pending,Not stated,Not stated
42,FSCA,"Thematic review relating to ""Equivalence of Reward""",Tres Consulting,475 000.00,Continuity of service,2018/05/15,Not supported,Date of approval,Once off
