5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: Q1 - 2021/22 REPORT DEVIATIONS,,,,,,,,,,
Number,"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","not supported/not
supported/Conditional
supported
(Use dropdown List)","""Award/recommended
by AO/ AA date
(yyyy/mm/dd)""","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
DEVIATIONS REPORT,,,,,,,,,,
1,2021/04/16,African Exploration Mining and Finance Corporation (AEMFC),Supplying of coals,Not Stated,"127 000 000,00",Finalizing a tender,Conditional Support,2021/04/14,Not Stated,Not Stated
2,2021/05/21,Agricultural Research Council (ARC),To develop the Commercialisation strategy,MAD K IP Consulting,"591 406,25",Non - responsive tender,Supported,2021/05/21,Not Stated,Not Stated
3,2021/04/12,Agricultural Research Council (ARC),"Provision of advisory on the construction of the foot and mouth
disease vaccine facility",CSIR,"915 388,50","public entity that has knowledge of exceptional
worth",Supported,2021/04/12,Not Stated,Not Stated
4,2021/05/06,Agricultural Research Council (ARC),"membership subscription through SITA on Information
Technology knowledge",Gartner Group,"1 004 036,25",sole supply.,Noting,2021/05/06,Not Stated,Not Stated
5,2021/04/12,Agricultural Research Council (ARC),"to design the layout of the infrastructure which will inform the
architectural design of the factory",Mr. Poyet,"12 400 000,00",head hunting process,Not Supported,2021/04/12,Not Stated,Not Stated
6,2021/06/10,Agricultural Research Council (ARC),Subscription to Elsevier databases,Elsevier,"591 406,25",Sole supply,Noting,2021/06/10,Not Stated,Not Stated
7,2021/03/25,"Agricultural Sector Education and Training Authority
(AgriSETA)SETA",Placement of adverts,Media 24 and Arena Holdings,No Stated,Preffered supplier,Not Supported,2021/03/25,Not Stated,Not Stated
8,2021/04/23,Air Traffic and Navigation Services (ATNS),"Appointment of a service provider to provide security services
required at ATNS King Shaka control tower and Durban Bluff
Radar site at SAPREF",8 Service providers from ACSA,No Stated,ACSA KSIA approved list of service providers,Supported,2021/04/23,Not Stated,2022/03/31
9,2021/05/17,Amatola Water,"Supply and delivery of 600 rainwater harvesting tanks to six Great
Places in the Eastern Cape",Eco Tanks and Jojo Tanks,"3 649 306,50",Urgency severe levels of drought.,Not Supported,2021/05/17,Once-Off,Once-Off
10,2021/03/16,Armaments Corporation of South Africa SOC Ltd (ARMSCOR),HR and Pay roll solution,Business Connexion,50 000 per Month,Payroll that is reaching end of life,Not supported,2021/03/16,4/1/2021,Not stated
11,2021/03/16,Armaments Corporation of South Africa SOC Ltd (ARMSCOR),HR and Pay roll solution,Business Connexion,50 000 per month,Business continuity,Not supported,2021/03/16,2021/01/04,Not stated
12,2021/06/03,"Banking Sector Education and Training Authority
(BANKSETA)SETA",To complete one stream of the Letsema Learnership Project,Masithuthuke Holdings (Pty) Ltd,"12 000 000,00",Single Source,Conditional Support,2021/06/01,Not Stated,Not Stated
13,2021/04/09,Broadband Infraco,Provision of data hosting services at Pretoria West PoP,Catalytic Connections (Pty) Ltd,"2 852 460,00",Single source,Supported,2021/04/08,Not Stated,Not Stated
14,2021/04/30,Central Energy Fund SOC Ltd (CEF),Provision of Solar Water Heater training at JB Marks Municipality,Khosithi Artisan and Skills Training Institute,"739 500,00",Urgency of the required service,Not Supported,2021/04/19,Not Stated,Not Stated
15,2021/04/26,Community Schemes Ombud Service (CSOS),Space planning,TSK Interiors,"869 800,17",To finalise bid process,Not supported,22/04/2021,Not stated,Not stated
16,2021/05/11,Competition Commission,"Services of legal expert as a Panel Member for the duration of the
Inquiry",Online Intermediate Platforms Market Inquiry (OIPMI),"2 520 000,01",Business Continuity,Supported,2021/05/10,Not Stated,Not Stated
17,2021/04/28,Construction Industry Development Board (CIDB),Provision of office accommodation,Nelcity (Pty) Ltd,"2 000 000,00",Single Source,Conditional Support,2021/04/28,2021/05/01,2023/04/30
18,2021/06/02,Construction Industry Development Board (CIDB),Implementation of SAGE 300,Certified SAGE Business Partners,"3 000 000,00",Closed bid,Conditional Support,2021/05/31,Not Stated,Not Stated
19,2021/05/31,Council for Geoscience (CGS),Undertake investigations of the Duynefontyn site,Many suppliers,"267 698 331,00","CGS followed a competitive tender process that
yielded a non-responsive bid and subsequently
independent contractors were head hunted",Supported,2021/05/31,Not Stated,Not Stated
20,2021/03/26,Denel,"Developing the Air Defence Control System (ADCS) software and
Local Warning Radar System (LWRS) on the Ground Base Air
Defence System",Reutech Radar Systems (Pty) Ltd,"37 162 054,00",Original Designer,Conditional supported,2021/03/19,Not stated,Not stated
21,2021/03/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Aerial spraying of locust outbreak by means of a helicopter,Game Work Helicopters,"5 000 000,00",Emergency,Noting,2021/03/23,Not Stated,Not Stated
22,2021/03/21,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)","Provision of firefighting training, veld fire fighting equipment and
job opportunities in Land Reform Farms and State Land within the
Eastern Cape Province",Magnum Fire,"1 319 971,17",Continuation of previous work,Conditional Support,2021/03/21,Not Stated,Not Stated
