,5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 1 ( 16 March 2022 - 15 June 2022) REPORT DEVIATIONS,,,,,,,,,
Number,Date Received By GMC (yyyy/mm/dd),"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Not supported/Supported/Conditional
supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),Contract expiry (yyyy/mm/dd)
1,2022/06/15,"African Exploration Mining and Finance
Corporation SOC Ltd (AEMFC)","Insourcing of Higher-Grade coal for
quality management service Eskom Coal
Supply Agreement",Litho Coal (Pty) Ltd,"37 432 500,00","Original coal suppliers declared they do
not have coal to sell to AEMFC",Noting,2022/06/07,Not Stated,Not Stated
2,2022/06/15,"African Exploration Mining and Finance
Corporation SOC Ltd (AEMFC)",Coal Transporters,"Moffats Logistics (Pty) Ltd; Rangi
Logistics (Pty) Ltd","45 720 000,00","More cost effective and the need for
more coal transporters",Noting,2022/06/07,Not Stated,Not Stated
3,2022/06/15,"African Exploration Mining and Finance
Corporation SOC Ltd (AEMFC)","Diesel pumps for dewatering from
Original Equipment Manufacturing (OEM)","Rocktuff Pump and Mining Supplies
(Pty) Ltd","4 303 415,00","Original appointed supplier failed to
deliver the required pumps",Noting,2022/06/07,Not Stated,Not Stated
4,2022/06/15,"African Exploration Mining and Finance
Corporation SOC Ltd (AEMFC)","Isuzu MU-X, 3.0TD 4X4 vehicle",Isuzu Woodmead,"780 400,00","Urgent need currently vehicles not fit for
purpose",Noting,2022/06/07,Not Stated,Not Stated
5,2022/06/15,"African Exploration Mining and Finance
Corporation SOC Ltd (AEMFC)","Provision of security services for a period
not exceeding twelve months","Fela Xonho Projects (Pty) Ltd; Vicone
Protection Services (Pty) Ltd and
Mulunga Security (Pty) Ltd","9 542 369,88","Original contractor Bidvest was
terminated due to non-performance",Noting,2022/06/07,Not Stated,Not Stated
6,2022/06/15,"African Exploration Mining and Finance
Corporation SOC Ltd (AEMFC)",Appointment of Diesel Service Providers,Cashcrete and Logistics (Pty) Ltd,"16 640 000,00",More cost effective than RT-contract,Noting,2022/06/07,Not Stated,Not Stated
7,2022/03/25,Agricultural Research Council (ARC),"Independent reviewers for the second
phase of institutional review",Multiple suppliers,"2 500 000,00","Independent reviewers who are
appointed based on their skills",Not Supported,2022/06/02,Not Stated,Not Stated
8,2022/05/12,Airports Company South Africa (ACSA),"Provision of highly specialized strategic
economic regulation consulting and policy
influence services for a period of twenty-",SL Economic (Pty) Ltd,"3 000 000,00",Continuation of service,Within AA/AO mandate Noting,2022/05/12,Not Stated,Not Stated
9,2022/05/24,"Armaments Corporation of South Africa
SOC Ltd (ARMSCOR)",Calibration of clinometers,MTS Callibration Pty Ltd,"4 830,00",Preferred Supplier / Single Source,Within AA/AO mandate Noting,2022/05/24,2022/05/12,2022/06/20
10,2022/05/23,"Armaments Corporation of South Africa
SOC Ltd (ARMSCOR)",Repair and service of lawnmowers,LawnMower City Midrand,"56 342,63",Preferred Supplier / Single Source,Within AA/AO mandate Noting,2022/05/23,2022/05/16,2022/06/10
