5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2019/2020 QUARTER 2 (JULY 2019 - SEPTEMBER 2019) REPORT- DEVIATIONS,,,,,,,,
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start
date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,"African Exploration Mining and Finance Corporation
(AEMFC)",Provision of medical surveillance service,ClinicPlus (Pty) Ltd,"204,390.14","There is an existing contract in place with ClinicPlus
(Pty) Ltd",Not supported,Not Stated,Not Stated
2,Agricultural Sector Education and Training Authority,Provision of office accomodation,"Carpe Diem Hostel Heather
Heights Hostel Gateway Lodge
Olympia Hostel","1,131,100.00",Limited accomodation in George,Supported,Not Stated,Not Stated
3,Agricultural Sector Education and Training Authority,Implementation of change management process,Zandile Faniso Consulting,"260,000.00",Continuation of service,Not supported,Not Stated,Not Stated
4,"Agriculture, Forestry and Fisheries","manage operationalisation (update and maintenance) of the irrigated area mapping
projec",Water Research Commission,"2 ,000,000.00",collaboration agreement between WRC and DAFF,Supported,Not Stated,Not Stated
5,"Agriculture, Forestry and Fisheries",Digital pen system,Xcallibre (Pty) Ltd,"7 ,475,000.00",Compatibility of DAFF software,Supported,Not Stated,Not Stated
6,"Agriculture, Forestry and Fisheries",E-certification system,SARS,"3 0,000,000.00",Agreed conceptual design,Not supported,Not stated,Not stated
7,Air Chefs,Food Category& Non Food Category,Not applicable,"114,298,733.31",Conduct an open tender process,Not supported,Month to month,6 months
8,Air Traffic Navigation Services,Provision of private security services to certain employees,G4S Secure Solutions SA,Not Stated,Urgency due to threts received by employees,Conditional support,Not Stated,Not Stated
9,Basic Education,"Brailing of November 2019 examination question papers for the National Senior
Certificate Examinations",Blind SA’s Braille Services,"350,000.00",Sole supplier,Supported,Not Stated,Not Stated
10,Basic Education,"Brailling, large print and audio-versioning of November 2019 examination question
papers for November 2019 National Senior Certificate Examinations",Pioneer Printers,"350,000.00",Sole supplier,Supported,Not Stated,Not Stated
11,Basic Education,"Conducting Progress in International Reading Literacy Study (PIRLS) 2021 in South
Africa","Centre for Evaluation and Assessment
(CEA)","350,000.00",Sole supplier,Supported,Not Stated,2023/07/31
12,Competition Commission,Forensic Investigation of Irregular Expenditure,Funduzi Forensic Services,"500,000.00",Single source,Not supported,Not stated,Not stated
13,Competition Commission,HR system intergration,SAGE 300,"1,188,424.00",Single source,Within AA mandate,2019/08/01,2022/07/31
14,Competition Commission,Vodacom case,Adv Thembeka Ngcukaitobi,"500,000.00",Single source,Supported,Not stated,Not stated
15,Competition Commission,Matter of the commission vs Bank of America Merrill Lynch,Ahmosis Capital,"500,000.00",Single source,Supported,Not stated,Not stated
16,Competition Commission,Primedia Matter,Adv Thembeka Ngcukaitobi,"500,000.00",Single source,Within AA mandate,Not stated,Not stated
17,Competition Commission,African Bank Matter,Adv Hamilton Maenetje,"150,000.00",Single source,Within AA mandate,Not stated,Not stated
18,Construction Education and Training Authority,Online performance assessments,Paid Online Tool,"5,760.00",Single source procurement method,Not supported,once off,once off
19,Cooperative Governance,"The Hardware Support Contract for the National Disaster Management Centre (NDMC)
Hewlett Packard Data Centre Environment",Hewlett Packard (HP),"555,443.10",Renewal of maintenance contract,Conditional support,2019/09/01,2019/10/31
20,Cooperative Governance,"Renewal of the Memorandum of Agreement (MOA) between Agriculture Research
Council (ARC) and the National Disaster Management Centre (NDMC)",Agriculture Research Council (ARC),"135,137.88",Complete a risk profile for drought,"Within AA/AO mandate
Noting",Not stated,3 years
21,Cooperative Governance,Licence and Maintainance of the Procurement System (IQUAL),Predicate Logistics (Pty) Ltd (Predicate),"93,292.05",Renewal of licence,"Within AA/AO mandate
Noting",Not stated,1 year
22,Council for Geoscience,Procurement of magneto telluric equipment,Red Dog Scientific Services B.V,"4,936,482.00",Sole source procurement,Noting,Not Stated,Not Stated
23,Council for Geoscience,Maintenance renewal of STARLIMS software,Abbott Informatics Netherlands,"745,912.37",Sole source procurement,Noting,Not Stated,Not Stated
24,Council for Scientific and Industrial Research,Relocation of Biocomposite laboratory,Composite Group,"1 ,532,432.00",All bidders were disqualified,Not supported,Not Stated,Not Stated
25,Defence,Supply and delivery of Patrol Ration Packs,Various suppliers,"108,000,000.00",Competitive bid in progress,Conditional support,Not stated,Not stated
26,Defence,Advertise for a shorter period for Wet and Dry Ration Packs for the formation training,Not applicable,"10,669,100.00",Not enough time to prepare bid document,Conditional support,2019/09/30,2019/10/28
27,Defence,Purchasing of the Exxaro Building,Exxaro Resources,Not stated,Cost savings and security,,Not stated,Not stated
28,Defence,Petroleum fuel for Gerotek,Sasol Oil,"1,500,000.00",Competitive bid in progress,Conditional support,Not stated,Not stated
29,DENEL (Pty) Ltd,Categorisation of Suppliers for Controlled Items,"Katlego International Logistics, BPL,
Sebenza, Chebo- Pele –Logistics, C.
Steinweg Logistics, GAC Laser,
Transglobal Cargo & AB Logistics","4,000.00-3,000,000.00",Met a choosen criteria,Not supported,2019/08/02,Not Stated
30,DENEL (Pty) Ltd,21 days advertisement period,Not applicable,Not applicable,Urgent litigation process,Not supported,Not applicable,2022/06/30
31,DENEL (Pty) Ltd,"Supply and Delivery Of Petrol, Diesel and Lubricants to the Range",Atlantic Oil (Pty) Ltd,7 200 000,Financially Viable,Conditional support,Not stated,3 years
,DENEL (Pty) Ltd,Independent Actuary,Denel Medical Benefit Trust,"1,800,000.00",Choosen by members,Conditional support,2019/08/05,Not stated
5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2019/2020 QUARTER 2 (JULY 2019 - SEPTEMBER 2019) REPORT- DEVIATIONS,,,,,,,,
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start
date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
33,DENEL (Pty) Ltd,Brass Cups and Strip For Small Calibre Ammunition,Altek Dokum AS,15 000.00,Controlled Items,Conditional support,Not stated,Not stated
