GOVERNANCE MONITORING AND COMPLIANCE: 2021/2022 QUARTER 2 (16 June 2021 - 15 September 2021) REPORT DEVIATIONS,,,,,,,,,
Number,"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","not supported/not
supported/Conditional supported
(Use dropdown List)",Contract start date (yyyy/mm/dd),"Contract expiry
(yyyy/mm/dd)"
1,2021/7/22,African Exploration Mining and Finance Corporation SOC Ltd (AEMFC),"Acquisition of surface rights and coal sourcing located on the
remainder of Portion 3 of the farm Vlakfontein 569 JR",New Largo (Pty) Ltd,"51 000 000,00",The surface rights are owned by New Largo and is willing to sell them to AEMFC,Conditional Support,Not stated,Not stated
2,2021/7/22,African Exploration Mining and Finance Corporation SOC Ltd (AEMFC),Acquisition of Coal Resource,New Largo (Pty) Ltd,"51 000 000,00",New Largo owns the Mining Rights of the Coal Resource,Conditional Support,Not stated,Not stated
3,2021/09/08,Agrément South Africa,New Lease Agreement,"Construction Industry Development Board
(CIDB)",Not Stated,Single Source,Not Supported,Not Stated,Not Stated
4,2021/07/29,Agricultural Research Council (ARC),Provision of pellets,AFGRI Animal Feeds (Pty) Ltd,"4 336 905,00","Pellets from other service providers has side effects such as bloating, losing
research outcome and death of animals",Supported,Not Stated,Not Stated
5,2021/06/10,Agricultural Research Council (ARC),Subscription to Elsevier databases,Elsevier,"591 406,25",Sole supply,Noting,Not Stated,Not Stated
6,2021/09/10,Air Traffic and Navigation Services (ATNS),Additional TopSky positions and additional VCCS positions,Thales and Hensoldt (Pty) Ltd,"22 803 406,48","The current Air Traffic Management (ATM) System deployed by ATNS is supplied
by Thales and the Disaster Recovery System is an extension of this ATM system",Not Supported,2021/8/1,31/7/2022
7,2021/08/13,Armaments Corporation of South Africa SOC Ltd (ARMSCOR),"Implementation and commissioning of the SAGE300 system in the
Dockyard",ACCTECH Pty Ltd,"613 401,95",Preferred service provider,Conditional Support,Not stated,Not stated
8,2021/08/24,Armaments Corporation of South Africa SOC Ltd (ARMSCOR),Provision of CompuClear System system technology,WISETECH GLOBAL,1 047 011.00,Preferred service provider,Conditional Support,2021/12/1,2023/11/30
9,2021/03/16,Armaments Corporation of South Africa SOC Ltd (ARMSCOR),HR and Pay roll solution,Business Connexion,50 000 per month,Business continuity,Not supported,2021/1/4,Not stated
10,2021/09/07,Armaments Corporation of South Africa SOC Ltd (ARMSCOR),Manufacturing of Beach Barrier and ultrosonic broken rail detector,Soaringtai Consulting,2 690 337.87,Preferred service provider,Not Supported,Not stated,Not stated
11,2021/06/18,Banking Sector Education and Training Authority (BANKSETA)SETA,Letsema Learnership Programme,Masithuthuke Holdings,"12 000 000,00",Single Source,Not Supported,Not Stated,Not Stated
12,2021/08/10,Banking Sector Education and Training Authority (BANKSETA)SETA,Digital Forensic Investigations,Xabacha,"28 750,00",Preffered Supplier,Not Supported,Not Stated,Not Stated
13,2021/07/12,Broadband Infraco,"Leasing of telecommunication infrastructure (Schedules A, B and C)",Transnet Freight Rail (TFR),"45 599 091,09",Cost efficient,Supported,2021/9/1,31/3/2023
14,2021/07/12,Broadband Infraco,"Maintenance of certain national long distance (NLD) optical fibre
cables (Schedules A and B)",Transnet Freight Rail (TFR),"75 819 801,48",Cost efficient,Supported,2021/9/1,31/3/2023
15,2021/08/25,Central Energy Fund SOC Ltd (CEF),Provision of transactional advisors,Not Stated,"27 000 000,00","timelines set for the responses to the received bid invite are tight therefore the
normal competitive bidding process is impractical to follow",Not Supported,Not Stated,Not Stated
16,2021/04/06,Compensation Fund,Mainenance and Support,Dimension Data,189 199 284.55,Single source,Not Supported,Not Stated,Not Stated
17,2021/07/23,Council for Geoscience (CGS),Provision of maintenance services of CGS helicopter,Southern African (Pty) Ltd,"2 000 000,00",Sole Supplier,Noting,Not Stated,Not Stated
18,2021/08/12,Council for Geoscience (CGS),"Establishment of the disaster recovery and off-site backup data
centre",CSIR,"1 569 744,00","To ensure a successful completion of the DR project, operational continuity and
address auditing findings the use of Council for Scientific Research data centre as
host for DR infrastructure is required",Supported,Not Stated,Not Stated
19,2021/08/24,Council on Higher Education (CHE),"Maintenance and support of the Higher Education Quality Committee
Information System for 2 years",Praxis Computing (Pty) Ltd,"1 517 572,32",Single Source,Not Supported,Not Stated,Not Stated
20,2021/07/09,Cross-Border Road Transport Agency,Microsoft licences,Microsoft,"5 629 530,55",Sole Supplier,Noting,Not stated,Not stated
