,,,Deviations Quarter 3: October - December 2017,,,,,,,,
,Date Received,Department / Entry,Project Description,Supplier,Value of Contract,Reason for Deviation,"Award /
Recommendati
on Date",Support Status,"Contract Start
Date","Contract End
Date",
1,2017/11/08,Academy of Science of South Africa,Procurement of ICT goods and services,Not Stated,Not Stated,SITA failed to assist,2017/11/07,Not supported,Not Stated,Not Stated,
2,2017/11/28,Academy of Science of South Africa,Certification of journal,Caboverde Technologia E Service Eireli,800 000.00,Sole supplier,2017/11/28,Supported,Once off,Once off,
3,2017/10/09,"African Exploration Mining and Finance
Corporation SOC Ltd","Operation and maintenance of a mobile crushing and
screening plant","Commodity Logistix Managers (CLM) Africa (Pty)
Ltd",12 571 974.72,Single Source,2017/10/05,"Conditional
Supported",2017/11/01,2018/09/30,
4,2017/11/10,"African Exploration Mining and Finance
Corporation SOC Ltd",Provision of Consultants,Not Stated,Not stated,Finalisation of Eskom tender,2017/11/10,Not supported,Not Stated,Not Stated,
5,2017/12/14,Agrément South Africa,"Supply ICT and Telephony and move the existing ICT
infrastructure from CSIR to Agrément South Africa",Vox Telecom,0.00,"Vox Telecom will provide the service
for a shorter period as they are
CSIR service provider",2017/12/13,Not supported,Not stated,Not stated,
6,2017/10/09,"Agriculture, Forestry and Fisheries","Capacitate Nascent, Small and Medium Agro-processing
Agribusinesses on mandatory food manufacturing norms
and standards",SABS,20 000 000.00,Economies of scale,2017/09/11,"Conditional
Supported",2017/11/01,2022/10/31,
7,2017/10/09,"Agriculture, Forestry and Fisheries","Technical and specialised support services in relation to the
project conceptualisation, commercialisation and
commissioning of prospective Agro-processing
development initiative",CSIR,50 000 000.00,CSIR has better expertise,2017/10/09,Not supported,2017/11/01,2022/10/31,
8,2017/10/02,"Agriculture, Forestry and Fisheries",Identify and implement Forestry projects,IDC,15 275 000.00,"Only IDC has forestry unit amongst
other implementing agencies",2017/10/02,"Conditional
Supported",2017/11/01,2020/03/31,
9,2017/11/10,"Agriculture, Forestry and Fisheries",Development of the import export e-certification,Fruit South Africa,34 745 000.00,"Fruit South Africa has better
expertise",2017/11/03,Supported,2017/12/01,2019/11/30,
10,2017/10/06,Amatola Water Board,"Design development, documentation, procumbent and
contract administration",Afri-Coast Consulting Engineers (Pty) Ltd,38 575 746.59,"Afri-Coast Consulting Engineers
(Pty) Ltd completed phase 1 and 2
of the project",2017/09/13,Not supported,Not stated,Not stated,
11,2017/10/26,Arts and Culture,Provision of Litigation support services,Ernst and Young Advisory Services (Pty) Ltd,500 000.00,Continuity of service,2017/10/24,"Conditional
support",Not stated,Not stated,
12,2017/10/24,CIDB,Microsoft Contractor registration system,Closed tender,0.00,Closed tender,2017/10/17,"Conditional
support",2018/01/01,2018/12/31,
13,2017/12/14,CIDB,Microsoft Infrastructure license,Microsoft Gold accredited partners,0.00,closed bid,2017/12/14,Supported,2017/11/01,2018/10/31,
14,2017/11/16,Defence,Software licences,Microsoft,372 442 624.18,Original Equipment Manufacturer,2017/11/14,Supported.,Not stated,3 Years,
15,2017/10/23,Defence,"Building of multi mission off shore patrol vessels (Project
Biro).",Denel,0.00,Preferred bidder by entity,2017/10/16,Not supported,N/A,N/A,
16,2017/11/16,Defence,Isandlwana refit,SA Shipyards,330 000 000.00,"The refit cannot be executed
internally",2017/11/14,Not supported,Not stated,3 Years,
17,2017/10/27,DTI,Task team project management,UCT-Development Research Unit,0.00,Sole supplier,Not stated,Not supported,Not stated,Not stated,
18,2017/10/30,DTPS,Redraft of the ICT Sector Commission and Tribunal Bill,Ms Kerron Edmunson,490 000.00,"Single source continuity of service
initially appointed through normal
SCM process",2017/10/30,"Conditional
support",Once off,Once off,
19,2017/10/13,DTPS,"Conduct study on spectrum requirements for the Wireless
Open Access Network (WOAN)",CSIR,1 197 022.80,Single source,2017/09/08,Not supported,Once off,Once off,
20,2017/12/11,DTPS,Conduct the organisational design investigation,ATA Research Group,303 200.00,Mutual agreement and experience,2017/12/11,Not supported,2018/01/01,2018/06/30,
21,2017/10/13,DTPS,Partnership for the physical housing,CSIR,10 295 340.00,Single source,2017/10/13,Supported,"Date of
approval",2 years,
22,2017/11/28,EDD,Legal services,Gildenhuys Malatji,160 000.00,Capacity constraints,2017/11/28,"Within AO/AA
mandate",2017/11/28,2017/12/15,
23,2017/10/03,Environmental Affairs,"Reseach, collation and compiling of an online easy to read
investor catalogue profiling",The Guild Combination (Pty),499 320.00,"Single Source - continuation of
phase two",2017/10/03,Not supported,2017/11/01,2018/10/31,
24,2017/10/09,Environmental Affairs,Provision of software and related services,Investigation Software Solutions (Pty),1 073 880.00,"Single Source - software and related
services",2017/10/05,"Conditional
support",2017/10/15,2018/10/14,
,,,Deviations Quarter 3: October - December 2017,,,,,,,
,Date Received,Department / Entry,Project Description,Supplier,Value of Contract,Reason for Deviation,"Award /
Recommendati
on Date",Support Status,"Contract Start
Date","Contract End
Date"
25,2017/10/09,Environmental Affairs,Software for accessing eletronic legal data,"Sabinet, Juta and LexisNexis",2 025 698.90,"Single Source - software and related
services",2017/10/06,Supported,2017/11/01,2018/10/31
26,2017/11/07,Environmental Affairs,The 3rd Biodiversity Economy Indaba concept document,"East London International Convention
Centre(ICC)",1 632 190.00,"Market analysis was conducted.
Quotations were sourced",2017/10/25,"Conditional
support",2018/03/08,2018/03/10
27,2017/11/14,Environmental Affairs,Eco-Logic awards,The Enviropaedia,342 000.00,Sole Source,2017/10/23,Supported,once-off,once-off
28,2017/11/14,Environmental Affairs,Joint data centre for oceans and coast research,SAEON,9 000 000.00,"Government has invested into this
entity to develop data system
capacities",2017/11/03,Not supported,2017/11/24,2020/11/23
29,2017/11/15,Environmental Affairs,"The development, support, maintenance and initial hosting
of CIPS",Enfo Tech Consulting Inc,81 182 507.00,SITA failed to deliver,2017/11/15,Not supported,2017/12/01,2022/11/30
30,2017/11/20,Environmental Affairs,Management of Sardnia Bay Marine protected area,Nelson Mandela Metropolitan Municipality,650 000.00,Capacity within government,2017/11/01,Not supported,2017/11/30,2022/11/29
31,2017/11/20,Environmental Affairs,"Management of Aliwal Shoal and Trafalgar Marine
protected areas",Ezemvelo KwaZulu Natal Wildlife,1 100 000.00,Capacity within government,2017/11/01,Not supported,2017/11/30,2022/11/29
32,2017/11/20,Environmental Affairs,Management of Isimangaliso marine protected area,Isimangaliso Wetland Park Authority,2 200 000.00,Capacity within government,2017/11/01,Not supported,2017/11/30,2022/11/29
33,2017/11/23,Environmental Affairs,Management of Helderberg marine protected area,City of Cape Town,1 100 000.00,Capacity within government,2017/11/01,Not supported,2017/11/30,2022/11/29
34,2017/11/23,Environmental Affairs,"Management of Pondoland, Hluleka, Dwesa Cwebe and
Amathole Marine Protected area",Eastern Cape Parks and Tourism Agency,15 000 000.00,Capacity within government,2017/11/01,Not supported,2017/11/30,2022/11/29
35,2017/11/23,Environmental Affairs,"Management of Robberg, Still Bay, Bettys Bay, De Hoop,
Bird Island, Dassen Island Dyer Island and Goukamma
Marine Protected area.",Cape Nature,14 200 000.00,Capacity within government,2017/11/01,Not supported,2017/11/30,2022/11/29
36,2017/11/23,Environmental Affairs,"Appeal:Capacity Building on management of Marine
protected area",World Wild Fund South Africa,350 000.00,"Single source - the Department
requires an assessment report",2017/11/01,"Conditional
support",2017/11/01,11/31/2022
37,2017/12/07,Environmrntal Affairs,"Development of a Estuary management plan for Buffels and
Swartlentjies",Peter Fielding,161 350.00,"Single Source - required to provide
additional draft EMP",2017/12/04,Not supported,2018/01/01,2018/02/28
38,2017/12/07,Environmrntal Affairs,Land Claimants/Owners Leadership meeting,Isimangaliso Wetland Park Authority,114 000.00,Capacity within government,2017/12/07,Not supported,Once-off,Once-off
39,2017/11/15,ESKOM,Learner Artisans Training,Gijima People Technology,2 426 450.00,Limited suppliers in the area,2017/11/13,"Conditional
Support",Not stated,24 Months
40,2017/11/30,ESKOM,Screening of Coarse Coal,Keaton Mining,50 160 000.00,Closed bid,2017/11/08,Not supported,Not stated,Not stated
41,2017/11/23,ESKOM,Closed bid for supply of urgent coal to Arnot Power Station,"Exxaro Coal, Cathoros Commodities and Msobo
Coal",Not indicated,Closed bid,2017/11/23,"Conditional
Support",Not stated,Not stated
42,2017/11/22,ESKOM,Re-issue of the urgent Coal for Tutuka Power Station,Selected Mines within 200km radius,Not indicated,Closed bid,2017/09/19,"Conditional
Support",Not stated,Not stated
43,2017/12/15,Eskom,Maintenance of 10421 Drive Cam unit on Eskom vehicles,DriveRisk (Pty) Ltd,59 837 382.00,Continuity of service,2017/12/15,"Conditional
support",2018/01/01,2019/06/30
44,2017/12/15,Eskom,Maintenance of 11592 On Board Computer units,Mix Telematics Enterprises SA (Pty) Ltd,54 250 560.00,Original Equipment Manufacturer,2017/12/15,"Conditional
support",2018/01/01,2019/06/30
45,2017/12/15,Eskom,"Advisory and consulting services for the Blesbok& BosBok
Project",Lategan Bouwer Civil Structural,98 235.00,Continuity of service,2017/10/16,"Conditional
support",2018/01/01,2018/06/30
46,2017/12/15,Eskom,Special tools to service MR type V Tap changer,Maschinenfabrik Reinhausen,181 898.96,Sole agent,2017/12/15,"Conditional
support",Once off,Once off
