5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2021/2022 QUARTER 3 (16 SEPT - 15 DEC) REPORT DEVIATIONS,,,,,,,,,,
Number,"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","not supported/not supported/Conditional supported
(Use dropdown List)","""Award/recommended by AO/ AA date
(yyyy/mm/dd)""",Contract start date (yyyy/mm/dd),Contract expiry (yyyy/mm/dd)
1,2021/11/24,Air Traffic and Navigation Services (ATNS),Antimalware product,Comodo Cybersecurity,4327372.74,Single source due to compatibility,Not Supported,11/2/2021,1/1/2022,12/31/2026
2,2021/12/8,Air Traffic and Navigation Services (ATNS),"Supply of additional TopSky and Voice Communications and Control
System",Thales and Hensoldt,22804556.48,Single source due to compatibility,Not Supported,12/8/2021,Once-off,Once-off
3,2021/10/14,Airports Company South Africa (ACSA),Azure Sentinel licensing,Microsoft South Africa,60657754.00,Continuation of service,Not Supported,10/14/2021,Not Stated,Not Stated
4,2021/10/5,Armaments Corporation of South Africa SOC Ltd (ARMSCOR),Procurement of security equipments,Denel,2820206.00,Sole distributor,Within AA/AO mandate Noting,10/5/2021,Not stated,Not stated
5,2021/12/2,Armaments Corporation of South Africa SOC Ltd (ARMSCOR),Provision of Forensic Services,XTND Ptry Ltd,150000.00,Preferred supplier,Not Supported,12/2/2021,12 months,12 months
6,2021/10/17,Brand South Africa,Board Committees tailored training to be held in November 2021,"Institute of Directors in South Africa NPC (""IoDSA"")",204736.80,Single source,Not Supported,14/10/2021,Not indicated,Not indicated
7,2021/11/30,Brand South Africa,World Economic Forum Membership,World Economic Forum,"207 000,00 CHF",Access to participate in World Economic Forum Meetings,Within AA/AO mandate Noting,30/11/2021,Not indicated,Not indicated
8,2021/11/8,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Mobile Library Application,Apple Juice,309000.00,single source,Supported,8/11/2021,Not indicated,Not indicated
9,2021/11/24,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Advanced Trial Advocacy training course,Black Lawyers Association (BLA),10000.00,Cost effective,Supported,24/11/2021,Not indicated,Not indicated
10,2021/9/17,Compensation Fund,Seconded financial management suport services,FTMG Africa,61841875.69,Failed bid process,Not Supported,1/9/2021,Not indicated,Not indicated
11,2021/10/5,Competition Commission,"Project continuation for the repairs of pool vehicles for the office of the
Commissioner",Pro7 Trading Solutions (PTY) Ltd,82822.90,Business continuity,Supported,29/9/2021,Not indicated,Not indicated
12,2021/11/11,Construction Education and Training Authority (CETA)SETA,CETA Fleet servicing,"Ford Toyota
Nissan
Volkswagen",2 5 0 0 0 0 . 0 0,Single Source,Conditional Support,11/8/2021,Not Stated,Not Stated
13,11/30/2021,Council for Geoscience (CGS),"review the technical execution of a Probabilistic Seismic Hazard Analysis
(PSHA) for the Duynefontyn nuclear site","Prof. Jon Stewart, Dr Jon Ake and Dr Marc Goedhart",267698331.00,Closed bidding,Supported,11/30/2021,Not stated,Not stated
14,10/25/2021,Council for Medical Schemes (CMS),Legal firms in a panel,Legal services,Different rates,previous contracts were irregular,Not Supported,10/22/2021,Not stated,Not stated
15,2021/11/25,Council for Scientific and Industrial Research (CSIR),Digital Transformation solution,LinkedIn,4703582.35,Single Source,Conditional Support,11/26/2021,Not Stated,Not Stated
16,2021/10/27,Denel,Independent legal advisor to support the DMBT Forum at a court hearing,Moeti Kanyane Incorporated,900000.00,Preferred supplier,Conditional Support,10/26/2021,Not stated,Not stated
17,2021/12/3,Denel,"Supply Turret Auxiliary Power Unit (APU, Aircon and NBC Filter Systems –
Equipment, Spares and Support",SME Infratech Technology (Pty) Ltd,1700000.00,Preferred supplier,Conditional Support,10/22/2021,11/1/2021,12/29/2023
18,2021/12/6,Denel,Procurement of 150 Pilot Locator Beacon Batteries,AME Telecommunications (Pty) Ltd,3100000.00,Guarantee and warranty for the goods offered,Conditional Support,11/17/2021,Not stated,Not stated
19,2021/9/30,"Department of Agriculture, Land Reform and Rural Development (DALRRD)","Provision of Trimble Pivot Platform (TPP) infrastructure monitoring and
network management software maintenance and support",Optron (Pty) Ltd,1665521.47,Sole Supplier,Within AA/AO mandate Noting,2021/9/29,2021/1/1,2023/12/31
20,2021/10/13,"Department of Agriculture, Land Reform and Rural Development (DALRRD)",Procurement of avicide for the control of quelea birds,Philagro South Africa (Pty) Ltd,4900000.00,Sole Supplier,Noting,10/13/2021,Not Stated,Not Stated
21,2021/10/22,"Department of Agriculture, Land Reform and Rural Development (DALRRD)","Emergency procurement of insecticide for controlling the anticipated huge
brown locust outbreak",Not Stated,48000000.00,Emergency procurement,Noting,10/22/2021,Not Stated,Not Stated
22,2021/10/26,"Department of Agriculture, Land Reform and Rural Development (DALRRD)",Telkom,Support the existing DALLRD/Telkom ICT Infrastructure,7992439.20,Preffered Supplier,Conditional Support,2021/10/24,2022/4/1,2027/3/31
23,2021/10/26,Department of Basic Education (DBE),"Pioneer Printers, BlindSA, Yellow Media and SANCB",Procurement of braille workbooks and textbooks,5000000.00,Preffered Suppliers,Not Supported,2021/10/25,Not Stated,Not Stated
24,2021/12/7,Department of Basic Education (DBE),"Print, package and distribute the 2021 systemic evaluation material",Government Printing Works (GPW),10000000.00,Single source due to security of information,Supported,12/7/2021,Not stated,Not stated
25,2021/12/10,Department of Basic Education (DBE),Hosting the Department's website on the government's cloud by SITA,SITA,1004228.64,Single source,Not Supported,12/9/2021,12 months,Not stated
26,2021/9/30,Department of Communications and Digital Technologies (DCDT),"Hosting and operate the Broadcasting Digital Migration (BDM) call centre
for",SENTECH,3000000.00,Business continuity,Not Supported,13/9/2021,Not indicated,Not indicated
27,2021/10/20,Department of Communications and Digital Technologies (DCDT),Request for deviation to appoint Assessor for adjudication of applications,HNM,1000000.00,"The bid was advertised two times and no responsive proposals was
received",Conditional Support,20/10/2021,Not indicated,Not indicated
28,2021/9/22,Department of Defence (DoD),Clinical trial for utilising Interferon Alpha 2B,TMAK Holdings,475800.00,Clinical Trial,Conditional Support,9/22/2021,Not stated,Not stated
29,2021/9/30,Department of Defence (DoD),Forensic Investigations,Amanda Greene Trading,Not stated,Forensic Investigations,Conditional Support,9/30/2021,Not stated,Not stated
30,2021/9/28,Department of Employment and Labour (DEL),Business telephoney solution,Telkom,Not indicated,Emergency procurement,Supported,Not indicated,Not indicated,Not indicated
31,2021/10/5,Department of Employment and Labour (DEL),Pathway Manager for the PYEI Fund,Harambee Youth Employment Accelerator,Not indicated,Single source,Not Supported,4/10/2021,Not indicated,Not indicated
