SCM GOVERNANCE MONITORING AND COMPLIANCE: 2020/2021 - QUARTER 3 (16 September 2020 - 15 December 2020) REPORT DEVIATIONS,,,,,,,,,,
Number,"Date Cases Allocated To Team Member
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Root Causes
(Use dropdown List)","not supported/not supported/Conditional
supported
(Use dropdown List)",Contract start date (yyyy/mm/dd),Contract expiry (yyyy/mm/dd)
1,2020/10/30,"African Exploration Mining and Finance Corporation
(AEMFC)",Supply of 5 de-watering pumps,Not Stated,Not Stated,The pumps are needed urgently,"Lack of understanding of procurement
legislation",Not Supported,Not Stated,Not Stated
2,2020/11/11,Agricultural Research Council (ARC),Oracle database management system license,"Oracle Corporation (South Africa)
Pty (Ltd)","2 179 263,06",Sole supplier,Sole Supplier – e.g. OEM,Noting,Not stated,Not stated
3,2020/11/27,Agricultural Research Council (ARC),Procurement of spectrometer,Bruker,"811 491,00",Continuation of service,Sole Supplier – e.g. OEM,Supported,Not stated,Not stated
4,2020/10/08,Air Traffic and Navigation Services (ATNS),"Detection and analysis, containment eradication and recovery
and post incident reporting",Cyberintelligence (Pty) Ltd,"659 812,50",Emergency,Service Delivery Urgency,Noting,Not stated,Not stated
5,2020/12/08,Amatola Water,ICT services,Internet Solutions,"9 470 320,62",Continuity of Services,Preferred Supplier / Single Source,Not Supported,2021/01/01,2020/12/31
6,2020/10/29,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Cost-effective and cheaper to procure from this supplier,SASOL,"325 473,00",Cosr,Preferred Supplier / Single Source,Supported,Not stated,Not stated
7,2020/11/03,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",HR and Payroll solution,Business Connexion,"600 000,00",Continuation of service,Preferred Supplier / Single Source,Closed,12 months,12 months
8,2020/11/30,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)","Install the Idemia Vision Pass reader for the Armscor building
internal access control and Idemia Morphoto Sigma wave
reader for the gate entrance at the Armscor terrain",Closed Bid,"1 000 000,00","Biometrics access readers at Armscor were
disabled due to the outbreak of COVID-19",Closed bid process (Limited market),Conditional Support,Not stated,Not stated
9,2020/10/22,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Mainframe Bureau Hosting Services,T-System,"12 749 698,68","The Intellectual Property (IP) for this software
is owned by TSSA and is only available for use
to TSSAs clients",Poor Planning,Not Supported,Not stated,Not stated
10,2020/10/22,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)","Provide occupational medical health services to Armscor
employees",Thahla Occuhealth,"500 000,00",Medical support for Covid-19,COVID-19,Not Supported,Not stated,Not stated
11,2020/11/30,Artscape,"The exemption of SCM requirements in respect of Artistic
decisions","Artists, Directors and Musicians",Not Stated,Exemption from SCM Legislative Framework,"Lack of understanding of procurement
legislation",Not Supported,Not Stated,Not Stated
12,2020/11/18,"Banking Sector Education and Training Authority
(BANKSETA)SETA",To preside over a disciplinary hearing,Sibanda Bukhosi Attorneys,"100 000,00",Single Source,Inadequate market research and analysis,Supported,Not Stated,Not Stated
13,2020/11/26,Boxing South Africa,Boxing Licenced Promoters in Gauteng,"21 Gauteng Licenced Boxing
Promoters","1 300 000,00",Closed Bid,Closed bid process (Limited market),Conditional Support,Not Stated,Not Stated
14,2020/12/14,Brand South Africa,"Dynamic 365, Sharepoint and CRM online support &
maintenance and license",Mint Group,"3 677 016,54","urgency of the matter it is not practical to
follow the normal procurement process",Preferred Supplier / Single Source,Not Supported,2021/02/01,2022/01/31
15,2020/12/15,Central Energy Fund SOC Ltd (CEF),Supply and delivery of plumbing consumables,Not Stated,"30 000 000,00","No suitable service provider found during a
normal tender process",Closed bid process (Limited market),Conditional Support,Not stated,Not stated
16,2020/10/28,"Commission for Conciliation, Mediation and
Arbitration (CCMA)",Close Bid PMB,Not stated,Not stated,Sole Supplier,"Poor performance (Service delivery and
APP targets)",Supported,2021/10/01,2026/09/30
17,2020/10/30,Community Schemes Ombud Service (CSOS),Risk management training,"Institute of Risk Management
South Africa",not stated,"Recommended bidder will not be able to carry
the training",Resistance to change,Not Supported,not stated,not stated
18,2020/10/29,Compensation Fund,Office building from UIF,Unemployment Insurance Fund,"889 000 000,00","The Compensation Fund intends to participate
in this UIF project rather than buying a building
elsewhere.",Business Strategy/operations,Conditional Support,Not Stated,Not Stated
19,2020/11/24,Compensation Fund,Implementation of SAP Roadmap,Tech Mahindra,"189 199 284,55","S4i modules required by the Fund are complex
and require adequate development time frame","Easy way out (making deviations
normal way of procurement)",Not Supported,Not Stated,Not Stated
20,2020/12/15,Compensation Fund,Provision of financial management support services,SAICA,"30 000 000,00",Single source,"Easy way out (making deviations
normal way of procurement)",Not Supported,2021/03/01,2023/02/28 Fina
21,2020/10/15,Construction Industry Development Board (CIDB),Investigation Services,Nexus Forensic Sevices (Pty) Ltd,"500 000,00",Continuity of Service,Poor contract management,Conditional Support,Not Stated,Not Stated
22,28/10/2020,Council for Geoscience (CGS),Conduct gas content measurements,Not Stated,Not stated,urgent,Closed bid process (Limited market),Supported,Not stated,Not stated
23,2020/09/22,Denel,"Second surveillance
audit",Dekra Certification (Pty) Ltd,"4 154 400,00",Continuation of service,Preferred Supplier / Single Source,Not Supported,Not stated,Not stated
24,2020/10/09,Denel,Fuel dispenser equipment and tanker,Atlantic Oil,"80 001,00",Discounted offer,Preferred Supplier / Single Source,Conditional Support,not stated,not stated
25,2020/10/27,Denel,Ratel modification,Jorsin Enterprise,"344 000,00",Additional modification outside scope,Preferred Supplier / Single Source,Conditional Support,not stated,not stated
26,2020/09/18,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Procurement of Covid-19 Personal Protective Equipment,Various suppliers,"43 132 282,98","Response to the National State of Disaster to
deal with the Covid-19 pandemic.",COVID-19,Noting,Not Stated,Not Stated
27,2020/09/17,Department of Basic Education (DBE),"Maintenance, support and annual licence of the Hardcat Asset
Management System",Taggisa,"82 225,00",Sole supplier,Poor contract management,Within AA/AO mandate Noting,Not stated,Not stated
28,2020/11/13,Department of Basic Education (DBE),"Printing, packaging and delivery of the Second Change Matric
Programme (SCMP)","Government Printing Works
(GPW)","10 000 000,00",Urgency,Poor Planning,Not Supported,Not stated,Not stated
29,2020/11/24,Department of Basic Education (DBE),"Procurement of licences, maintnance and support services
directly from ESRI",RSRI,"2 542 432,65",Sole supplier,Sole Supplier – e.g. OEM,Within AA/AO mandate Noting,Not stated,Not stated
30,2020/11/10,"Department of Communications and Digital
Technologies (DCDT)","E-Inclusion and Social Innovation for continuation and
completion of Digital Transformation Programme for DCDT
employees","University of the Western Cape
Colab","54 000,00",Sole Supplier,Business continuity,Supported,Not Stated,Not Stated
31,2020/12/03,Department of Cooperative Governance (DCoG),Professional Services for the Disaster Assessment,"LDM Consulting; Focus Project
Management and Aueron South
Africa",Not Stated,Single source,Business continuity,Not Supported,not stated,not stated
32,2020/10/03,Department of Defence (DoD),The special defense account sensitive projects environment,Not stated,Not stated,Continuation of service,Business Strategy/operations,Supported,Not stated,Not stated
33,2020/10/26,Department of Employment and Labour (DEL),T5 Super Cluster Business Critical Assistance services,Oracle Corporation S.A,"4 079 886,55",Sole Supplier,Business continuity,Noting,2020/09/15,2021/09/15
34,2020/10/27,Department of Employment and Labour (DEL),Parking Bays at Sasolburg office,Fichard Gebou (Pty) Ltd,"29 400,00",Single Source,Preferred Supplier / Single Source,Supported,Not Stated,12 Months
35,2020/11/30,Department of Employment and Labour (DEL),"To complete learnership programme initially implement by
Mhlathuze Water Board and funded by UIF",Crimson Company,Not Stated,Insufficient time for tender process,Preferred Supplier / Single Source,Supported,Not Stated,Not Stated
36,2020/12/03,Department of Employment and Labour (DEL),Online survey tool,Not Stated,"211 341,00",Non responsive market,Business continuity,Not Supported,Not Stated,"Fina
Not Stated"
37,2020/09/25,"Department of Environment, Forestry and Fisheries
(DEFF)",Access to legal data bases necessary for research purposes,"Sabinet, Juta, LexisNexis","2 609 356,88",Sole supplier,Sole Supplier – e.g. OEM,Not Supported,Not Stated,Not Stated
38,2020/10/05,"Department of Environment, Forestry and Fisheries
(DEFF)",Research and development for a specific category of projects,CSIR,Not Stated,Single Source,"Government-to-Government
Procurement (GTAC, CSIR, etc)",Not Supported,Not Stated,Not Stated
39,2020/10/05,"Department of Environment, Forestry and Fisheries
(DEFF)","For the continued development and maintenance of the ocean
and coasts information management system(OCIMS)",CSIR,"73 500 000,00",Single Source,"Government-to-Government
Procurement (GTAC, CSIR, etc)",Conditional Support,Not Stated,Not Stated
40,2020/10/01,"Department of Environment, Forestry and Fisheries
(DEFF)","For publishing scientific research papers on Fisheries and
Aquaculture",Forty-six publishing houses,"1 200 000,00",Single Source,Closed bid process (Limited market),Supported,2020/11/01,2022/10/31
41,2020/10/01,"Department of Environment, Forestry and Fisheries
(DEFF)","Management of the National Environmental Monitors
Programme","Isimangaliso Wetland Park
Authority","110 000 000,00",Single Source,"Easy way out (making deviations
normal way of procurement)",Not Supported,2020/11/01,2021/10/31
42,2020/10/01,"Department of Environment, Forestry and Fisheries
(DEFF)","Management of the National Environmental Monitors
Programme",SANParks,"195 000 000,00",Single Source,"Easy way out (making deviations
normal way of procurement)",Conditional Support,2020/11/01,2021/10/31
43,2020/10/07,"Department of Environment, Forestry and Fisheries
(DEFF)","To complete the project of establishing and maintaining the
National Pollution Laboratory",Walter Sisulu University,"25 000 000,00",Single Source,Preferred Supplier / Single Source,Conditional Support,Not Stated,Not Stated
44,2020/10/13,"Department of Environment, Forestry and Fisheries
(DEFF)",To absorb ten youth in a learnership programme,Linsen Nambi,"2 123 704,00",Single Source,"Easy way out (making deviations
normal way of procurement)",Not Supported,2021/01/18,2022/01/18
45,2020/11/04,"Department of Environment, Forestry and Fisheries
(DEFF)","management of the Uthukela, Aliwal Shoal Expansion and
protected banks marine protected areas (MPAs)",Ezemvelo KZN Wildlife,"4 800 000,00",Single Source,Preferred Supplier / Single Source,Conditional Support,Not Stated,Not Stated
46,2020/11/23,"Department of Environment, Forestry and Fisheries
(DEFF)","To determine fees and charges in terms of the National
Environmental Management: Integrated Coastal Management
Act, 2008 (Act No. 24 of 2008) (“ICM Act”), for a period of 24
months.",GTAC,"3 000 000,00",Single Source,"Government-to-Government
Procurement (GTAC, CSIR, etc)",Not Supported,Not Stated,Not Stated
47,2020/12/02,"Department of Environment, Forestry and Fisheries
(DEFF)","To roll out the Green book and training on the National Climate
change information sysyem (NCCIS) in five (5) provinces and
district",CSIR,"680 938,00",Single Source,"Government-to-Government
Procurement (GTAC, CSIR, etc)",Conditional Support,Not Stated,Not Stated
48,2020/11/10,"Department of Environment, Forestry and Fisheries
(DEFF)",Management of Amathole Offshore,ECPTA,"2 400 000,00",Preferred Supplier / Single Source,"Lack of understanding of procurement
legislation",Not Supported,Not Stated,Not Stated
49,22/10/2020,Department of Health (DoH),"Technical support for the District Health Information System
(DHIS)","Health Information Systems
Program (HISP)","46 663 000,00","Sole service provider and the original
developer of the for the DHIS in South Africa",Poor Planning,Noting,1/4/2020,31/3/2023
50,2020/11/10,Department of Health (DoH),Quality assurance for all PPE to be used for Covid-19 pandemic,Umlungu Consulting,Not Stated,Single Source,COVID-19,Not Supported,Not stated,Not stated
51,2020/10/13,Department of Health (DoH),"Procurement of vaccines throgh the Covid-19 Vaccine Global
Access (COVAX) Facility",COVAX Facility,"4 195 524 000,00",Emergency,COVID-19,Conditional Support,Not stated,Not stated
52,2020/11/18,Department of Health (DoH),Project Management Information System ( PMIS),Project Portfolio Office (PPO),"11 222 435,50",Continuation of services.,Inadequate market research and analysis,Supported,Not stated,Not stated
53,2020/12/09,Department of Health (DoH),"Hosting, maintenance of the ICSP Online Solutions, and the
management of a Help Desk for ICSP Online","Health Information Systems
Program South Africa (HISP-SA)","12 000 000,00",Sole supplier,Sole Supplier – e.g. OEM,Noting,2020/07/01,2021/03/31
54,2020/12/09,Department of Health (DoH),"Hosting, maintenance, support and further developments of
ideal clinic software",ASG Software Solutions,"1 499 366,40","To allow the Department time to advertise a
new tender and handover to the successful
bidder","Failed tender processes; Restart tender
processes",Noting,2020/12/01,2021/04/30
55,2020/11/01,Department of Home Affairs (DHA),"Investigate, draft charges and act as initiator in a disciplinary
proceeding involving a senior official","Messrs Puke Maserumule
Attorneys",Not Stated,Insufficient legal capacity,"Easy way out (making deviations
normal way of procurement)",Not Supported,Not Stated,Not Stated
56,2020/11/30,Department of Home Affairs (DHA),MSA between DHA and EOH,EOH Mthombo,Not Stated,Not indicated,Not indicated,Noting,Not Stated,"Fina
Not Stated"
57,2020/12/15,Department of Home Affairs (DHA),Amendment of foreign exchange rate amount,NEC XON,"16 758 013,54",Not Stated,Business continuity,Noting,Not Stated,Not Stated
