,,,Deviations,,Quarter 4: Jan - Mar 2018,,,,,,
,Date Received,Department / Entry,Project Description,Supplier,Value of Contract,Reason for Deviation,"Award /
Recommendatio
n Date",Support Status,"Contract Start
Date","Contract End
Date",
1,2018/02/16,AEMFC,"Appointment of Pro-Networks for transfer of ICT
infrastructure from Sandton to Midrand Waterfall",Pro-Networks,345 870.00,"AEMFC must move before 28
February 2018 and Pro-Networks
were the inititial installer of ICT
infrastructure",2018/02/15,Pending,Not stated,Not stated,
2,2018/01/17,AEMFC,Removal and installation of equipment and material.,Raite Security Services and Consulting cc,86 937.54,Continuity of service,2017/10/26,Within AA / AO,Once-off,Once-off,
3,2018/02/09,AgriSETA,Administration of payroll system,SAGE,559 393.00,"The entity does not have an ICT/IT
division",2018/02/09,Supported,2018/04/01,2020/03/31,
4,2018/02/20,AgriSETA,"Preparation of 2017/18 Annual Financial Statements and
external audit",Deloitte,1 317 866.00,AgriSETA does not have a CFO,2018/02/20,Supported,2018/04/01,2018/07/31,
5,2018/03/02,Amatola Water Board,Subscribing and updating publication services,Afri-Coast Consulting Engineers (Pty) Ltd,Not stated,"Amatola Water never expected
National Treasury approve ex post
factor application",2018/01/26,Not Supported,Not stated,Not stated,
6,2018/03/28,Amatola Water Board,Implementation of Amatola Water Board turnaround plan,Zenande Leadership Consulting (Pty) Ltd,Not stated,Continuity of service,2018/01/26,Not Supported,Not stated,Not stated,
7,2018/03/22,Armscor,Uniform for cleaning staff,Unknown but off shelf,250 000.00,Additional cleaners,2018/03/22,Conditional Support,Once off,Not applicable,
8,2018/02/19,CEF (Pty) Ltd,Forensic investigation on an urgent basis,Cliffe Dekker Hofmeyr,Not stated,Continuity of service,2018/02/19,Not Supported,Not stated,Not stated,
9,2018/01/17,Compensation Fund,Internet Services,Liquid Telecom,339 893.28,Continuity of service,2017/12/11,Not Supported,Date of approval,6 months,
10,2018/01/12,Constitutional Hill,"Voices, data and SMS",Telkom,322 848.00,"Telkom qouted cheaper amount
than RT15",2018/01/12,Conditional Support,2018/02/08,2020/02/07,
11,2018/02/20,Council for Scientific and Industrial Research,Forensic services,Various Audit Firms,N/A,"Confidentality and sensitivity of the
service",2018/02/19,Conditional Support,Not stated,Not stated,
12,2018/02/08,DBSA,Support and promote long-term investment,Morfosis & MATMAP Consulting,2 067 322.00,"Lack of required skill within the
organisation",2018/02/08,Not Supported,2018/03/01,2019/09/30,
13,2017/12/06,Defence,HF Radios,Global Communications,141 601 321.71,Upgrading of existing equipment,2017/11/20,Not Supported,Not stated,Not stated,
14,2017/11/16,Defence,Installation of a security system in Eco Park,3rd Alternative Solutions,9 400 000.00,"Only service provider that met
vetting requirements",2017/11/14,Not Supported,Not stated,Not stated,
15,2018/01/31,Defence,Hiring of mobile ablutions for AFD,Various suppliers,4 100 000.00,"Required to supplement the existing
available ablutions at ASB Kimberly",2018/01/24,Conditional Support,Once off,Once off,
16,2018/01/31,Defence,Hiring of various busses for AFD,Various suppliers,23 000 000.00,"DoD does not have the required
number and type of busses",2018/01/24,Conditional Support,Once off,Once off,
17,2017/12/13,Defence,SAS Isandlwana Refit SOW,SA Shipyards,330 000 000.00,Continuity of service,2018/01/25,Supported,Not stated,3 years,
18,2018/01/25,Defence,Presidential Medical equipment,Not indicated,2 907 290.00,Classified equipment,2018/01/25,Conditional Support,Not applicable,Not applicable,
19,2018/03/26,Defence,"Buses to transport SAI BN Members for Mission readiness
training",Various service providers,2 500 000.00,"DoD does not have the required
number and type of busses",2018/03/13,Conditional Support,Once off,Not applicable,
20,2018/03/14,DHA,"Appointment of Global Aviation Operations for the
deportation of 300 Malawi foreign National",Global Aviation Operation,1 557 363.00,"The deportees must not be detained
for more than 120 days. And Swiftie
& NAC did not have the aircraft",2018/03/13,Not supported,Not stated,Not stated,
21,2018/01/23,DHA,"Appointment of Superway Pty Ltd for the maintenance of
heat & air-conditioning and electrical supply",Superway Pty Ltd,20 000.00,"Department of Public Works has
failed in the past three years in
maintaining the building",2018/01/22,Not supported,Not stated,Not stated,
22,2018/01/15,DPE,"Development of six business cases for the black industrialist
programme","University of Pretoria and Central University
of Technology",1 600 000.00,Preferred Bidder,2017/12/21,Supported,Not stated,Not stated,
23,2018/01/09,DTPS,"Procurement of data recovery, media, catering,
entertainment, motivational speakers and subscriptions",Not stated,Not stated,"Impracticality to follow procurement
process",2017/12/14,Not Supported,Date of approval,Not stated,
24,2018/01/17,DTPS,"Physical housing, operationalising and capacitating of the
cybersecurity hub",CSIR,10 295 340.00,"Due to memorandum of
understanding",2017/10/13,Supported,2017/10/13,2020/10/10,
25,2017/12/22,Economic Development,Establishment of dedicated government steel task team,TIPS,800 000.00,Single source,2017/12/22,Not Supported,Once off,Once off,
26,2018/03/13,Economic Development,Provision of legal opinion,Cheadle Thompson & Haysom Attorneys,350 000.00,Internal capacity constraints,2018/03/13,Within AA/AO mandate,2018/03/26,2018/05/31,
27,2018/01/16,Energy,"Design development, documentation, procurement and
contract administration",Mercedes Benz,1 071 716.20,"Mercedes Benz not includede in the
RT contract",2018/01/16,Not Supported,Not stated,Not stated,
28,2017/05/10,Environmental Affairs,"Disbursement of funds to expanded Public Works
programmes",Postbank,85 827 669.80,Contract in place with Postbank,2017/05/10,Not Supported,2017/05/05,2020/05/31,
29,2017/02/27,Environmental Affairs,To provide skills development programme for waste pickers,Reflections Development Institute,4 900 690.32,Validity of the advertised bid expired,2017/02/27,Supported,2018/03/01,2018/07/31,
30,2017/02/01,Environmental Affairs,"Development and operationalisation of National climate
change information system",SAEON,9 000 000.00,"These institutions generate high
volumes of data",2017/02/01,Not Supported,2018/3/1,2019/2/28,
