5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2021/2022 QUARTER 4 (16 Decemeber 2021 - 15 March 2022) REPORT DEVIATIONS,,,,,,,,,,
Number,"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","not supported/not
supported/Condition
al supported
(Use dropdown List)","""Award/recomme
nded by AO/ AA
date
(yyyy/mm/dd)""","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
,2021/12/30,Agricultural Research Council (ARC),Farm survey services,Not stated,659000.00,Closed BId,"Within AA/AO
mandate Noting",12/30/2021,Not stated,Not stated
,2022/01/22,Amatola Water,"Completion of the remaining work at
Nooitgedag/Coega Low Level Supply
Scheme (NCLLS): Phase","Afri-Coast Consulting Engineers
(Pty) Ltd",16800000.00,Continuity of service,Not Supported,2022/1/12,Not stated,Not stated
,2022/02/14,"Armaments Corporation of South Africa SOC
Ltd (ARMSCOR)","Procurement of a comprehensive high
speed linear tracker system",Horne Technologies,3105000.00,Preferred supplier,"Within AA/AO
mandate Noting",2/14/2022,Not stated,Not stated
,2021/12/20,Brand South Africa,Board Training,"INSTITUTE OF DIRECTORS IN
SOUTH AFRICA NPC (IoDSA)",204736.80,Single source,Conditional Support,14/12/2021,not indicated,not indicated
,2022/01/21,Broadband Infraco,Lease of Land,Ms Chriselda Boand Suping,416808.84,single source,Conditional Support,20/1/2022,1/2/2022,31/1/2027
,2022/01/24,Broadband Infraco,"Leasing of a fibre pair from Komatipoort
BBI PoP to Lebombo border (no man’s
land)",Liquid Telecom,1626633.60,Single source,Conditional Support,24/1/2022,1/2/2022,31/1/2027
,2022/01/25,Broadband Infraco,"Provision of services to Limpopo
Connexion SOC Limited",Paratus Telecommunications (Pty),1904760.00,Single source,Supported,25/01/2022,1/2/2022,31/1/2023
,2022/01/25,Broadband Infraco,"Provision of services to Limpopo
Connexion SOC Limited",Vodacom South Africa,738175.80,Single source,Supported,25/01/2022,1/2/2022,31/1/2023
,2022/01/25,Broadband Infraco,"Provision of services to Limpopo
Connexion SOC Limited",Dark Fibre Africa (Pty) Ltd,404064.00,Single source,Supported,25/01/2022,1/2/2022,31/1/2023
,2022/03/09,Broadband Infraco,Office lease in Western Cape,CZ Karoo Eiendomme BK,275921.92,Single source,Supported,9/3/2022,1/4/2022,31/3/2025
,2022/03/11,Denel,"The supply and integration of Synthetic
Aperture Radar (SAR)/PicoSAR",Leonardo MW Ltd,31542207.25,OEM,Conditional Support,3/7/2022,Not stated,Not stated
,2022/02/22,"Department of Agriculture, Land Reform and
Rural Development (DALRRD)","Support and maintenance of Gorthic
Lamps for a period of three (03) years",1 SPATIAL GROUP LTD,1136460.00,Sole supplier,Noting,Not stated,2022/2/10,2025/2/9
,2022/02/24,"Department of Agriculture, Land Reform and
Rural Development (DALRRD)","Implementation of a voucher payment
solution through the connected farmer
solution for the Presidential Employment
Stimulus (PES)",Vodacom,23000000.00,Continuity of service,Supported,2022/2/24,2022/4/1,2023/3/31
2022/03/11,,,"1. Kishugu Aviation
2.Gamework Hellicopters",50000000.00,Services were required on emergency basis,,2022/3/11,not stated,not stated
2022/01/17,Department of Basic Education (DBE),LAN and Desktop Support Services (LDSS),SITA,8966334.84,Preferred Supplier,Supported,8/3/2021,Not stated,Not stated
2022/02/11,Department of Basic Education (DBE),"Procurement of protection service on a
month-to-month for North West
administrator through a quotation process",Unknown,Not stated,Urgency of the required service,Not Supported,2/11/2022,Date of approval,month-to-month
2022/01/27,"Department of Communications and Digital
Technologies (DCDT)","To host and operate the Broadcasting
Digital Migration call centre",Sentech SOC LTD,Not indicated,Sole supplier,Supported,13/9/2021,Not indicated,Not indicated
2022/02/16,"Department of Communications and Digital
Technologies (DCDT)","To provide expertise in the
operationalising of the Cybersecurity Hub
and to physically host the Cybersecurity
Hub at the CSIR campus",CSIR,23010000.00,Single source,Conditional Support,18/1/2022,Not indicated,Not indicated
2022/01/17,Department of Correctional Services (DCS),Perishable items,Not stated,Not stated,Business continuity,Conditional Support,1/17/2022,Not stated,Not stated
2022/01/25,Department of Correctional Services (DCS),Forensic Investigations,Not stated,Not stated,Forensic Investigations,Conditional Support,1/25/2022,Not stated,Not stated
2022/02/08,"Department of Employment and Labour
(DEL)","Procurement of an external venue for IES
employment standard conference",Not indicated,Not Indicated,Single source,Not Supported,8/2/2022,23/2/2022,25/2/2022
2022/03/02,"Department of Employment and Labour
(DEL)","Venue of the 2022 Occupational Health
and Safety Conference",Durban ICC,1640630.00,Single source,Not Supported,1/3/2022,29/3/2022,31/3/2022
2022/03/11,"Department of Employment and Labour
(DEL)","Procurement of an external venue for IES
employment standard conference",Not indicated,Not Indicated,Single source,Not Supported,10/3/2022,23/2/2022,25/2/2022
2022/02/11,"Department of Environment, Forestry and
Fisheries (DEFF)","Phase two of the Strategic Environmental
Assessment for the
wind and solar renewable energy
development zones","Council for Scientific and Industrial
Research (CSIR)",6500000.00,Single Source,Not Supported,2/10/2022,Not Stated,Not Stated
2022/03/01,"Department of Environment, Forestry and
Fisheries (DEFF)","Provision of waste tyres depot operation
services",Depot Operators,7800000.00,Single Source,Not Supported,2/24/2022,2/1/2022,3/15/2022
2022/03/01,"Department of Environment, Forestry and
Fisheries (DEFF)","Support the Department in the review and
assessment of the implementation of the
2014 National Environmental compliance
and enforcement strategy (NECES) and for
the development of a new multi term
strategy and the undertaking of a work","Government Technical Advisory
Centre (GTAC)",2926022.55,Single Source,Not Supported,3/1/2022,Not Stated,Not Stated
2022/03/03,"Department of Environment, Forestry and
Fisheries (DEFF)","Conduct stakeholder engagement, review
Amathole feasibility study and compile
Amathole nomination dossier",Muvuledzi Consulting (Pty) Ltd,0.00,Single Source,"Within AA/AO
mandate Noting",3/2/2022,Not Stated,Not Stated
2022/03/15,"Department of Environment, Forestry and
Fisheries (DEFF)","To procure Polar Diesel for SANAE,
Marion and Gough Island",Engen Petroleum,20000000.00,"Awaiting for the award of the new transversal
contract",Conditional Support,3/14/2022,Not Stated,Not Stated
2022/03/15,,,Forestry South Africa,9000000.00,Single Source,,3/14/2022,Not Stated,Not Stated
