,,,3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 4 REPORT DEVIATIONS,,,,,,,,,
Number,"Period/ Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)",,"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)",Reason for Deviation,"Award by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)","Status
(Use dropdown List)"
DEVIATIONS REPORT,,,,,,,,,,,,
1,Q4 2023/24,2023/12/18,,South African Civil Aviation Authority (SACAA),Avaviation legislation services,Lexis,"R 2 914 692,00",sole supplier,2023/12/18,2024/03/01,2028/02/29,Reported
2,Q4 2023/24,2023/12/21,,Council for Geoscience (CGS),"Provision of hosting services of the
CGS’ disaster recovery and offsite backup
data centre",CSIR,"R 2 283 224,08",Continuity of service,2023/12/20,Not stated,Not stated,Reported
3,Q4 2023/24,2023/12/19,,South African Revenue Service (SARS),"The appointment of Multichoice Support Services (Pty)
Ltd for the DSTV Commercial Premium Subscription for
a period of thirty-six (36) months (3 Years) from 01 April
2024 to 31 March 2027 at an amount of R 791 252.80
(VAT Inclusive).",Multichoice Support Services (Pty) Ltd,"R 791 252,80",Single sourcing,2023/12/18,2024/04/01,2027/03/31,Reported
4,Q4 2023/24,2023/12/18,,National Arts Council of South Africa (NAC),Telephone Configuration,Vox Telecommunications,"R 5 750,00","Supply Chain Unit has finalised and concluded the RFQ for the
appointment of a service provider for the Provision of Microsoft
Teams Solutions. However, the service provider needs to
configure the telephones. The configuration of phones will
ensure that the NAC is still able to communicate with
beneficiaries and stakeholders in the arts fraternity whilst the",2023/12/04,2023/12/04,2023/12/14,Reported
5,Q4 2023/24,2023/12/18,,National Arts Council of South Africa (NAC),Year end catering and long service gifts,Three6ixty and Underwraps,"R 15 195,50","To obtain exemption approval from the Procurement Process,
in terms of Treasury Regulation 16A 6.4, for National Arts
Council to hold the year end lunch as appreciation to the staff
for the performance for the year. The NAC has worked
tirelessly over the past few months to ensure that
organisational targets are achieved and successful",2023/12/04,2023/12/04,2023/12/14,Reported
6,Q4 2023/24,2023/12/19,,"Banking Sector Education and Training Authority
(BANKSETA)SETA",Membership renewal,South African Institute for Business Accountants (SAIBA),"R 5 375,01","Single Source - Annual membership fees for Finance staff
member who is a member of this institution. Membership assist
him in his finance duties and keeps him abreast of finance
matters.",2023/12/05,Once-off,Once-off,Reported
7,Q4 2023/24,2023/12/19,,"Banking Sector Education and Training Authority
(BANKSETA)SETA",Telephone costs,Data proof,"R 7 146,10","Single Source - Telephone minutes utilised by BANKSETA
from a prior telephone contract",2023/12/05,Once-off,Once-off,Reported
