,Department/ Entity,Project Description,Supplier,Value of Contract,Reason for Deviation,"Award/recommeded by
AO/ AA","Supported/ Not
supported/ Conditional
Support",Contract start date,Contract expiry
1,AEMFC,Maintenance and repairs of equipment and machinery,Various Suppliers (OEMs),"0,00",Continuity of service,2017/01/04,Conditional support,Not stated,Not stated
2,AEMFC,Provision of King IV training,"The Institute of Directors in
Southern Africa","78 067,20",Single source,2017/01/13,Conditional support,Not stated,Not stated
3,AEMFC,"Provision of maintenance and repair service of current and
future purchase for the entire ICT infrastructure",Various Suppliers,"0,00",Continuity of service,2017/01/10,Conditional support,Not stated,Not stated
4,AEMFC,Conduct specialist wetland study on the directive of DWS,"Gudani Consulting Environmental
and Social Scientists","243 162,00",Continuity of service,2017/01/27,Conditional support,Not stated,Not stated
5,AEMFC,Procurement of diesel (500ppm),Iconic Venturers,"1 172,29",Closed bidding process,2017/01/18,Conditional support,2017/06/01,2020/05/31
6,AEMFC,Rental of water bowser/truck service,Aqua transport,"5 394 981,60",Closed bidding process,2017/01/18,Conditional support,2017/06/01,2020/05/31
7,AEMFC,Procurement of drilling and blasting services,Not stated,Not stated,Closed bidding process,2017/01/18,Not supported,2017/06/01,2020/05/31
8,AEMFC,Procurement of fuel management system,Not stated,Not stated,Closed bidding process,2017/01/18,Not supported,Not stated,Not stated
9,AEMFC,Rental of mining machinery and equipment,Bell Equipment,"326 155 390,80",Closed bidding process,2017/01/18,Conditional support,2017/06/01,2020/05/31
10,AEMFC,procure rental services of diesel truck,Aqua transport,"5 394 981,60",Closed bidding process,2017/01/18,Not supported,2017/06/01,2020/05/31
11,AEMFC,Procurement of Minex software license,"Dassault Systems South Africa
(Pty) Ltd","304 958,00",Continuity of service,2017/02/06,Conditional support,2017/01/01,2017/12/31
12,AEMFC,Procurement of CAD software license,Bentley Systems,"15 888,00",Continuity of service,2017/02/06,Conditional support,Not stated,Not stated
13,AEMFC,Procurement of Geobank software license,Micromine (Pty) Ltd,"68 481,00",Continuity of service,2017/02/06,Supported,2016/08/28,2017/08/28
14,AEMFC,Procurement of Weighbridge software license,Tontrac System Analytics,0.12 per ton,Continuity of service,2017/02/06,Conditional support,2016/04/01,2017/03/31
15,AEMFC,Procurement of geobrowser software license,Google (Pty) Ltd,Not stated,Continuity of service,2017/02/06,Not supported,Not stated,Not stated
16,AEMFC,Procurement of data countouring program software,Golden Software (Pty) Ltd,Not stated,Continuity of service,2017/02/06,Not supported,Not stated,Not stated
17,AEMFC,Procurement of red beam software license,DCI Scanning Systems (Pty) Ltd,Not stated,Continuity of service,2017/02/06,Not supported,Not stated,Not stated
18,AEMFC,Procurement of ICT server room air conditioning unit,Climatron Project (Pty) Ltd,"26 231,00",Continuity of service,2017/02/06,Conditional support,Not stated,Not stated
19,AEMFC,"Repair and maintenance of damaged access control system
equipment",SI Systems cc,"67 681,00",Continuity of service,2017/02/20,Conditional support,Not stated,Not stated
