,,,,,,,,
SUPPLY CHAIN MANAGEMENT: GOVERNANCE MONITORING COMPLIANCE REPORT OF DEVIATIONS: 2020/21 QUARTER 1 (27 MARCH TO 15 JUNE 2020),,,,,,,,
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start
date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,Accounting Standards Board,Provision of office accommodation,323 Festival Street (Pty) Limited,No Stated,Relocation costs high,Supported,Not Stated,Not stated
2,"African Exploration Mining and Finance Corporation
(AEMFC)","Appointment of a qualified Occupational Health Service Provider for medical
surveillance at the Vlakfontein Mine (Red Ticket)",Not Stated,Not Stated,"Ommited to advertise the tender on e-tender
portal",Not supported,Not Stated,Not Stated
3,Agricultural Research Council,Renewal of GenStat software license,GenStat,"703,685.00",Rand weakened,Supported,Not Stated,Not Stated
4,Air Traffic Navigation Services,"Provide cleaning services which includes sanitising, disinfecting,
decontamination and anti-microbial fogging to all ATNS Centres for a period of
6 months",Various Suppliers,"4,811,819.11",Emergency,Noting,Not Stated,Not stated
5,"Commission for Conciliation, Mediation & Arbitration",Provision of office accommodation - Johannesburg Office,CentPret Properties,Not Stated,"Current Rate leass than the market rate and
easy access to all users",Supported,Not Stated,Not Stated
6,"Commission for Conciliation, Mediation & Arbitration",Covid Emergency Supplies,Hychem,"676,085.00",COVID - 19 Pandemic,Noting,Once off,Once off
7,Compensation Fund,Provision of office accommodation,Delta Heights,"2,796,916.60",Delayed completion of Sunnyside HQ Building,Supported,1-Jan-2021,30-Jun-2024
8,Compensation Fund,Financial Management Support,SAICA,Not stated,"Established track record in providing financial
management support to the public sector",Not supported,20 June 2020,31 May 2022
9,Competition Commission,Appointment of Advocates,Covd-19 Consumer and Customer,Not stated,COVID - 19 Pandemic,Supported,1-Apr-2020,31-Aug-2020
10,Council for Geoscience,Appeal: Report on Necsa's reporting deviation,Nuclear Energy Corporation Limited,"3,545,778.53",Deviation was reported within 10 working days,Not supported,Not Stated,Not Stated
11,Cross-Border Road Transport Agency,Air ambulance services,Universal Air Evac,"1,415,337.00",Emergency,Noting,Not Stated,Not Stated
