2. GOVERNANCE MONITORING AND COMPLIANCE: 2020/2021 QUARTER 1 (16 June 2020 - 30 September 2020) REPORT DEVIATIONS,,,,,,,,,,
Number,"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)",Reason for Deviation,"not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by
AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
,2020/08/12,"Agriculture, Land Reform & Rural
Development","Establishment of a database of
wholesalers/retailers to support small
holder farmers during Covid-19 outbreak",Not Stated,"6 80 000 000,00",Emergency procurement,Not Supported,2020/05/05,Not stated,Not stated
,2020/08/13,"Airports Company of South Africa
Limited","VAT Recovery, related services and
Accounts Payable",Maximum Profit Recovery (Pty) Ltd,No Stated,Unsolicited Bid,Not Supported,2020/08/13,Not stated,Not stated
,2020/08/07,"Airports Company of South Africa
Limited","Personal Protective Equipment i.e. Face
shield Masks, 3ply Surgical Masks and
Gloves etc.",Various Suppliers,"28 481 902,39",COVID-19,Noting,2020/08/07,Not stated,Not stated
,2020/09/04,"Airports Company of South Africa
Limited","Appeal: VAT Recovery, relating services
and Accounts Payables Reviews",Maximum Profit Recovery (Pty) Ltd,"0,00",Unsolicited/restricted bid,Conditional Support,2020/08/31,Not stated,Not stated
,2020/09/11,Amatola Water Board,"To conduct Trade Test – Plumber, Pre-
Trade – Plumber and ARPL for eleven
(11) officials",EastCape Training Centre,"94 636,00",Second nearest training centre,Within AA/AO mandate Noting,2020/09/04,Not stated,Not stated
,2020/08/12,"Armaments Corporation of South
Africa Limited",Internal Audit Management Software,"Wolters Kluwer Tax and Accounting
Southern Africa (Pty) Ltd","2 540 000,00","Sole Supplier and/or Single Source –
e.g. OEM",Not Supported,2020/08/12,Not stated,Not stated
,2020/08/26,"Armaments Corporation of South
Africa Limited",95IPA ethanol Isopropanol,SASOL South Africa Ltd,"27 169 920,00",Value-for-money,Not Supported,2020/08/13,Not stated,Not stated
,2020/07/20,Autopax,"Procure spares/materials, diagnosis and
repair services directly from MAN to
repair their own buses",MAN,No Stated,"Unable to have its Metro Rail operate
due to the Rail infrastructure has
been vandalised and thus MAN
buses are used to transport
commuters",Not Supported,2020/07/20,Not stated,Not stated
,2020/08/04,"Banking Sector Education and Training
Authority",Provision of Membership,Institution of Directors South African (IoSA),53 000.00,Single Source procurement,Supported,2020/8/3,Once Off,Once Off
,2020/07/08,Basic Education,"Provision of question papers for non-
official languages of the National Senior
Certificate examinations",Independent Examination Board (IEB),"5 526 449,00",Sole Supplier,Supported,2020/07/08,2020/11/01,2022/06/30
,2020/09/04,Basic Education,"Provision of LAN/desktop support
services",SITA,"1 1 201 768,00",Continuation of service,Conditional Support,2020/09/04,Not stated,Not stated
,2020/09/04,Basic Education,"Provision of server hosting services at
Cape Town",SITA,"3 39 788,57",Continuation of service,Within AA/AO mandate Noting,2020/09/04,Not stated,Not stated
,2020/06/26,Basic Education,"Emergency supply of water and
sanitation to selected public schools",DBSA and Imvula Trust,"50 000 000,00",Emergency,Noting,2020/06/26,Not stated,Not stated
,2020/08/13,Broadband Infraco,Office Accomodation,Cream Property Groups (Pty) LTD,792 840.42,Sole Provider of Office accomodation,Supported,Not Stated,Not stated,Not stated
2020/06/28,Central Energy Fund (Pty) Ltd,"Supply of equalization fund with price
information for the LP Gas Sector",Argus Media Limited,"9 17 261,31","Argus Media can provide the landed
price of the LP Gas and shipping
costs",,2020/06/24,Not Stated,Not Stated
2020/08/12,Central Energy Fund (Pty) Ltd,"Appeal: Supply of equalization fund with
price information for the LP Gas Sector",Argus Media Limited,"8 91 558,20","Only Argus Media can provide the
landed price of the LP Gas and
shipping costs",Supported,2020/08/07,Not stated,Not stated
2020/08/24,"Construction Education and Training
Authority","CETA finance team on mandatory Grants
System (Dynamix AX)",Solugrowth,21 528.00,Single Source procurement,Supported,2020/08/20,once off,once off
2020/07/22,"Construction Industry Development
Board",Offiice Accomodation,Regus (Pty) Ltd,"531 565,00",Single Source procurement,Supported,2020/07/03,2020/8/1,2020/07/31
2020/07/22,Cooperative Governance,"legal expert to provide support on
litigation matters related to Covid-19
interventions","Advocate Mojanku Gumbi and Advocate
Leah Gcabashe","1 500 000,00",Service Delivery Urgency,Conditional Support,2020/06/04,not stated,not stated
2020/06/23,Cooperative Governance,"Public Notices
Server accommodation facilities",Government Printing Works,Not indicated,Service Delivery Urgency,Conditional Support,2020/06/15,not stated,not stated
2020/06/19,Council for Geoscience,,"State Information Technology Agency
(SITA)","294 607,04",Sole provider,Noting,2020/06/19,Not stated,Not stated
2020/08/13,Council for Medical Schemes,Inspection into affairs of Bonitas,Phandahanu Forensics (Pty) Ltd,"562 655,00",Continuation of service,Conditional Support,2020/08/13,Not stated,Not stated
2020/06/23,"Council for Scientific and Industrial
Research","Single Source: supply of wind tunnel test
rigs for DESTO wind tunnels",Technostar Engineering,"1 700 000,00",Single Source,Not Supported,2020/6/23,Not Stated,Not stated
2020/07/02,"Culture Arts Tourism Hospitality and
Sports ETA (CATHSETA)","TVET Lecture programmes for 100
members","South African College Principals
Organisation (SACPO)",2 800 000.00,"SACPO has the capability to
implement such projects and this is
attributed by the work completed with
other SETA’s, the National Skills
Fund and the development of higher
education",Supported,2020/2/20,Not Stated,Not Stated
2020/07/08,DENEL (Pty) Ltd,"Panel of Technical Experts to
Manufucture and Supply High Precision
Components and/or Sub-Assemblies,
Sub-Assemblies, Supply of Raw Material
For a Shorter Period of 14 working days",Not applicable,0,Service Delivery Urgency,Within AA/AO mandate Noting,2020/07/06,Not Stated,Not Stated
2020/07/15,DENEL (Pty) Ltd,Gun Fire Control Post,SIGMA,"268 065,00",Business continuity,Noting,2020/07/15,Not Stated,Not Stated
2020/08/25,DENEL (Pty) Ltd,"The supply of SQ2000 MLU /
UMKHONTO missile Vessel Mounted
Equipment/ SAM Display Unit Controller
(SDUC)",XPITEC (Pty) Ltd,"1 700 000,00",Service Delivery Urgency,Not Supported,2020/08/25,Not Stated,Not Stated
2020/07/07,DENEL (Pty) Ltd,"The Command Control Communication
System/ Software Development &
Services","Global Command and Control Technologies
(Pty) Ltd","5 000 000,00","Sole Supplier and/or Single Source –
e.g. OEM",Conditional Support,2020/07/27,Not Stated,Not Stated
2020/07/06,DENEL (Pty) Ltd,"Support services and licence fees for
ERP System",Qmuzik Technologies,"14 606 329,66","Sole Supplier and/or Single Source –
e.g. OEM",Conditional Support,2020/07/03,Not Stated,2022/03/31
2020/09/01,DENEL (Pty) Ltd,90mm Ammunition,SANDF,"692 208,00","Sole Supplier and/or Single Source –
e.g. OEM",Conditional Support,2020/09/01,Not Stated,not stated
2020/08/05,"Department of International Relations
and Cooperation",,,"0,00",,,,Not Stated,
