5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 2 REPORT DEVIATIONS,,,,,,,,,,,,,
DEVIATIONS REPORT,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"ValueofDeviation
(R)","Reason for Deviation
(Use dropdown List)","not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd),"Status
(Use dropdown List)"
1,Q2 2022/23,New,2022/07/15,"African Exploration Mining and Finance Corporation
SOC Ltd (AEMFC)","Sourcing of Higher Grade Coal for Quality
Management to service Eskom Supply Agreement",VAW Investment (Pty) Ltd,"R41 400 000,00",Original coal suppliers declared they do not have coal to sell to AEMFC,Noting,2022/05/30,2022/06/01,2022/11/30,Reported
2,Q2 2022/23,New,2022/07/15,"African Exploration Mining and Finance Corporation
SOC Ltd (AEMFC)",Rental of yellow equipment machine,Oketsa Group,"R68 448 000,00",Emergency: Contracted supplier withdrew their machine due to contractual dispute,Noting,2022/06/17,2022/06/20,2023/02/16,Reported
3,Q2 2022/23,New,2022/07/15,"African Exploration Mining and Finance Corporation
SOC Ltd (AEMFC)",Rental of yellow equipment machine,MJSL Group,"R89 240 000,00",Emergency: Contracted supplier withdrew their machine due to contractual dispute,Noting,2022/06/17,2022/06/20,2023/02/16,Reported
4,Q2 2022/23,New,2022/08/02,Airports Company South Africa (ACSA),"Request to restrict a bid for the PIDS support
maintanance",C3 Shared Services (Pty) Ltd,"R2 020 000,00","Single source, the only supplier that has been accredited by the OEM for the Perimeter Intrusion Detection
System (PIDS)",Noting,2022/05/06,2022/05/09,2023/05/08,Reported
5,Q2 2022/23,New,2022/08/02,Airports Company South Africa (ACSA),"Request to restrict a bid for the provision of supply
with new runway centerline light fitting at CTIA",ADB Safegate South Africa (Pty) Ltd,"R1 142 508,90","ADB safegate is a sole mandate supplier of airfield lights and equipment. CTIA wants to standardise the
lights on the runway in order to maintain the same quality and output of light.",Noting,2022/06/13,Not Stated,Not Stated,Reported
6,Q2 2022/23,New,2022/08/02,Airports Company South Africa (ACSA),"Emergency works for the supply, fubrication and
installation of tank 5 fire cooling ring",BP South Africa (Pty) Ltd,"R1 307 807,70","The unavailability of Tank 5 ring had been identified as a risk, with the explosion at Refinery. However, the
risk escalated as the dynamics around Jet Fuel drastically changed- the congestion at harbour resulting a
large drop in the Jet fuel stock uptake.",Noting,2022/06/23,Not Stated,Not Stated,Reported
7,Q2 2022/23,New,2022/07/08,Central Energy Fund SOC Ltd (CEF),"Annual subscription to LP Gas pricing in South
Africa",Argus Media Ltd,"R1 263 597,00",Sole Service Provider,Noting,2022/04/22,2022/06/01,2023/05/30,Reported
8,Q2 2022/23,New,2022/07/14,Commission for Conciliation Mediation & Arbitration,"Payment of annual membership fees to
professional body","Information Systems Audit & Control Association
(ISACA)","R2 678,05",Sole supplier,Within AA/AO,2022/06/23,Not indicated,Not indicated,Reported
9,Q2 2022/23,New,2022/07/14,Commission for Conciliation Mediation & Arbitration,"Payment of annual membership fees to
professional body",Institute of Internal Auditors South Africa (IIASA),"R20 286,00",Sole supplier,Within AA/AO,2022/06/19,Not indicated,Not indicated,Reported
10,Q2 2022/23,New,2022/07/14,Commission for Conciliation Mediation & Arbitration,"Payment of annual membership fees to
professional body",Compliance Institute of South Africa (CISA),"R2 950,00",Sole supplier,Within AA/AO,2022/06/09,Not indicated,Not indicated,Reported
