,Entity/ Department,Project Description,Supplier,Value of Contract,Reason for Deviation,"Award/ Recommended by
AO/ AA","Supported/ Not Supported/
Conditional Supported","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,"African Explaration Mining and
Finance Corporation (AEMFC)","Sourcing of up to 350kt coal from mines within 30km
radius of the Kendal power station.",Not Stated,Not Stated,"Closing the tender will minimize the cost of
transporting the coals to Kendal Power Station",2018/07/09,Supported,Not Stated,Not Stated
2,"African Explaration Mining and
Finance Corporation (AEMFC)","Re-appointment of Nedbank as project finance advisory
and capital raising agent for the T project",Nedbank,Not Stated,"Nedbank has already covered most of the work on
the project.",2018/07/19,Supported,Not Stated,Not Stated
3,Agricultural Research Council,Purchase of plot harvester,Wintersteiger,"2,250,000.00",Sole source,2018/09/19,Noted,Not Stated,Not Stated
4,"Agriculture, Forestry and
Fisheries",Roll-out of the sterile insect technique,Deciduous Fruit Producers,"44,023,000.00",Sole source,2018/04/14,Closed,2018/04/01,2021/03/30
5,Amatola Water Board,"Capacitate SCM with professional services not limited
to technical, financial and engineering tender evaluation
for the bulk water supply projects","Gilgal Development Consulting
Engineers",Not Stated,Lack of technical capacity within SCM,2018/07/31,Not Supported,Not Stated,Not Stated
6,Arts and Culture,Gym Management Service,Black Diamond Unlimited,"358,000.00",Two quotes received,2018/03/12,Not Supported,2018/04/01,2019/03/31
7,AUTOPAX,Supply of home based fuel,SASOL,Not stated,Continuity of service,2018/06/29,Not Supported,Not stated,Not stated
8,AUTOPAX,Approach refineries for supply of diesel in South Africa,Various service providers,Not stated,Sole supplier,2018/09/12,Supported,Not stated,Not stated
9,AUTOPAX,Bus repairs and diagnosis services,Mercedes Benz,Not stated,Business cintinuity and cost effective,Not stated,Not stated,Not stated,Not stated
10,"Banking Sector Education and
Training Authority","Re-design and presentation on the payscale salary
notches",Sunguti Business Solutions,"28,383.00",Continuity of service,2018/09/18,Not Supported,Not stated,Not stated
11,Basic Education,"Technical support for the implementation of the
Systemic Evaluation mode","Australian Council for
Education Research","14,700,000.00","Cheapest quote from international SP. Two
advertised tenders were non responsive in SA",2018/08/27,Pending,,
12,Brand SA,Provision of Legal Services,ENS Africa,"1,000,000.00",Urgency procurement method,2018/07/19,Supported,Not stated,Not stated
13,Brand SA,Digital news,CNN Television News Network,"6,548,960.00",Relevance of the platform and target market,2018/05/03,Noted,2018/05/03,2018/10/02
14,Brand SA,Pan African News Channel,CNBC,"2,750,000.00",Relevance of the platform and target market,2018/05/03,Noted,2018/05/03,2018/10/02
15,Brand SA,To house the Team SA hub at Davos Switzerland,Kirchner Museum,0.00,Davos has limited facilities,2018/05/03,Noted,Once off,Once off
16,Brand SA,Strategic marketing and communication programmes,Single source suppliers,0.00,Relevance of the platform and target market,2018/07/20,Not Supported,Not stated,Not stated
17,Brand SA,"Collaboration/ Partnership with basketball games in
Africa",National Basketball Association,US$212 750.00,Youth life skills development and other opportunities,2018/08/03,Not Supported,Once off,Once off
18,CCMA,Office accommodation- JHB Regional Office,Olitzi Property Holdings,0.00,Continuity of service,2018/06/18,Not Supported,From date of approval,2022/10/31
19,CCMA,Archiving services,Document Warehouse,499 040.00,Continuity of service,2018/08/01,Not Supported,2018/08/01,2018/10/31
20,Central Energy Fund (Pty) Ltd,Additional work to the strategy turnaround,Boston Consulting Group,Not Stated,Going through a competitive bidding process,2018/07/12,Not Supported,Not Stated,Not Stated
21,Central Energy Fund (Pty) Ltd,"Maintain and repair the CEF heating ventilation and air-
conditioning (HVAC) system",AigroServe (Pty) Ltd,"621,545.93",AigroServe (Pty) Ltd advised CEF to,2018/07/11,Not Supported,Not Stated,Not Stated
22,Companies Tribunal,Website support and Hosting,4Design Media,"301,000.00",procurement process took longer,2018/04/19,Not Supported,Not stated,2018/04/01
23,"Construction Education and
Training Authority","Provision of ICT Integrated Management Information
System",SoluGrowth,0.00,Expiry of SETA licence in 2020,2018/08/07,Not Supported,2018/09/01,2020/08/31
24,Cooperative Governance,Software licence-COGTA,Moya Technology CC (Moya,"756,106.00",Renewal of licence,2018/09/04,Supported,Not stated,2018/11/30
25,Council for Geoscience,Provision of legal services,Maponya Attorneys,Rate per hour,Single source,2018/06/18,Not Supported,Not stated,Not stated
26,Council for Geoscience,Provision of legal Services,Maponya Attorneys,0.00,Continuity of service,2018/06/18,Not Supported,Not stated,Not stated
27,Council for Geoscience,Hazmat deep cleaning - Block D,SpillTech,"616,987.87",Emergency procurement method,2018/08/08,Noted,Once Off,Once Off
28,"Council for Scientific and
Industrial Research","Marketing activities, brand management and
recruitment activities",LinkedIn,"4,714,153.00",Dominant player in professional network,2018/08/15,Supported,2018/08/15,2021/08/14
29,Council on Higher Education,Legal Services,"Cheadle Thompson and
Hayson Incorporated",0.00,Bid to be re-advertised,2018/08/16,Not Supported,Not Stated,Not Stated
30,DAFF,Trade Development Support,Internationa Trade Centre,"501,110.00",Spending unused funds of expired contract,2018/07/09,Supported,Not Stated,Not Stated
31,Department of Defence,Panel of forensic auditors,Various,"4,000,000.00",To carry out forensic investigaions,2018/05/08,Not Supported,Not stated,Not stated
32,Department of Transport,Audit for a newly installed MSI Equipment,"South African Maritime Safety
Authority","1,500,000.00",Cost saving,2018/06/19,Conditional Support,24 months,Not stated
33,Department of Women,"Develop gender responsive planning, budgeting,
monitoring, evaluation and auditing framework",Deborah Budlender,"483,000.00","Experience and expertise on gender responsive
services",2018/08/14,Not Supported,2018/08/01,2018/09/30
34,DST,Building Condition Assessment,Bigen Africa,"955,782.00","The appointment should be done with 60 days per
Notice",2018/07/18,Not Supported,Not Stated,Not Stated
35,"Education, Training and
Development Practices SETA",To train educators on skills development,"National Education
Collaboration Trust","163,774,700.00",Continuity of service,Undated,Conditional Support,2018/09/01,2020/08/31
36,Environmental Affairs,"To provide capacity building on the management of
marine protected area in South Africa",World Wild Fund South Africa,"350,000.00",Continuity of service,2017/11/01,Conditional Support,2018/09/01,2019/08/31
37,Environmental Affairs,Payment of Waste Tyres participants,Postbank,"475,000,000.00",Standardisation of the departments proceedures,2018/09/06,Supported,2018/10/01,2020/05/31
38,Environmental Affairs,Partnering in the creation of public awareness,"Thabede Menzi Films
Proprietary","31,842,488.00",Wildlife awareness,2018/09/04,Not Supported,2018/11/01,2019/10/31
