5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 1 REPORT DEVIATIONS,,,,,,,,,,,,,
DEVIATIONS REPORT,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Supported/Not
Supported/Noting
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd),"Status
(Use dropdown List)"
1,Q1 2023/24,New,2023/04/04,Public Protector South Africa,"Procurement of radio slot which is part of PPSA annual performance plan (Outreach
programme for Easter Cape Office)","Noponi Rural Development t/a
Ngqushwa Fm 99.5",R8 500.00,"PPSA does not have footprint to enable access to services required by the communities
in the identified areas. It is prudent for the institution to use this form of outreach
approach instead of establishing offices to conduct Imbizo’s. This method is more cost
effective and enables the office to reach out to more stakeholders.",Noting,2023/2/21,Once off services,Not stated,Reported
2,Q1 2023/24,New,2023/04/04,Public Protector South Africa,Procurement of training services for Compliance unit for POPIA,National School of Government (NSG),R16 000.00,"RFQ process was followed twice and both processes were non-responsive hence NSG
was approached to provide the services.",Noting,2023/2/27,Once off services,Not stated,Reported
3,Q1 2023/24,New,2023/04/04,Public Protector South Africa,Procurement of training services for Internal Audit,"Leadership Academy for Guardians of
Governance",R387 044.00,The service provider is sole supplier,Noting,2023/2/11,Once off services,Not stated,Reported
4,Q1 2023/24,New,2023/04/04,Public Protector South Africa,Renewal of SAGE VIP licence,SAGE South Africa Pty Ltd,R158 015.75,The service provider is sole supplier,Noting,2023/2/28,Once off services,Not stated,Reported
5,Q1 2023/24,New,2023/04/04,Public Protector South Africa,Procurement of Microsoft premium support services,Microsoft South Africa Limited,R667 000.00,The service provider is sole supplier,Noting,2023/3/15,Once off services,Not stated,Reported
6,Q1 2023/24,New,2023/04/04,Public Protector South Africa,Procurement of insurance services,GIB Insurance,R27 388.00,"The services were procured through emergency procurement process as the vehicles
were delivered without Toyota SA notifying PPSA on time. This was due to Toyota SA
operations being affected by floods which took place in Durban 2022.",Noting,2023/3/2,Once off services,Not stated,Reported
7,Q1 2023/24,New,2023/04/04,Public Protector South Africa,Leasing of office accommodation,"Public Investment Corporation c/o
Mowana Properties",R681 297.57,"The services were procured through emergency process as the Rustenburg Office is
under renovations and the officials has to work from home due to the destructions of the
building",Noting,2023/3/9,Once off services,Not stated,Reported
8,Q1 2023/24,New,2023/04/25,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Mfubesi Projects,R31 500.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/4/4,Once off delivery,Not stated,Reported
9,Q1 2023/24,New,2023/04/25,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Mfubesi Projects,R10 450.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/4/4,Once off delivery,Not stated,Reported
10,Q1 2023/24,New,2023/04/25,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Mfubesi Projects,R16 760.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/4/4,Once off delivery,Not stated,Reported
11,Q1 2023/24,New,2023/04/25,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",JB Catering Services,R70 630.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/4/4,Once off delivery,Not stated,Reported
12,Q1 2023/24,New,2023/04/25,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Juniicho Trading Project,R80 730.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/4/4,Once off delivery,Not stated,Reported
13,Q1 2023/24,New,2023/04/25,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Mfubesi Projects,R8 330.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/4/4,Once off delivery,Not stated,Reported
14,Q1 2023/24,New,2023/04/25,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",JB Catering Services,R50 910.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/4/4,Once off delivery,Not stated,Reported
15,Q1 2023/24,New,2023/04/25,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Mfubesi Projects,R6 360.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/4,Once off delivery,Not stated,Reported
16,Q1 2023/24,New,2023/04/25,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Come Again General Trading,R14 640.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/3/23,Once off delivery,Not stated,Reported
17,Q1 2023/24,New,2023/04/25,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Juniicho Trading Project,R6 210.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/4/4,Once off delivery,Not stated,Reported
18,Q1 2023/24,New,2023/04/25,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Mfubesi Projects,R37 710.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/4,Once off delivery,Not stated,Reported
19,Q1 2023/24,New,2023/04/25,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Juniicho Trading Project,R67 840.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/4/4,Once off delivery,Not stated,Reported
