5.5.2 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 1 REPORT EXPANSIONS,,,,,,,,,,,,,,,
EXPANSIONS REPORT,,,,,,,,,,,,,,,
"Numbe
r",Period / Quarter,"Rollover / New
(Use dropdown
List)","Date Received By
GMC (yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract
Expansion","Original Contract
Value","Value of Pevious
Expansion","not supported/not
supported/Conditional
supported","Award/recommended
by AO/ AA date
(yyyy/mm/dd)","Contract start
date
(yyyy/mm/dd)","Contract
expiry
(yyyy/mm/dd)",
,Q1 2023/24,New,2023/4/11,Justice and Constitutional Development,"Rendering of Guarding and Specialised Services in
various offices of the Department of Justice and
Constitutional Development, National Prosecution
Authority and Office of Chief Justice","1. Mabotwane Security Services
2. Fidelity Seurity Services
3. Phepha MV Security
4. Vhugi Protection Services
5. Zack Business Enterprise","Business continuity to allows for the finalisation of the
replacement procurement process.","R68,036,036.49","R749,586,384.22","R835,504,456.86",Noting,2023/03/28,2023/04/01,2023/04/30,
,"Q1 2023/24
Q1 2023/24","New
New","2023/4/4
2023/4/26","Public Protector South Africa
Special Investigation Unit","Procision of cleaning services for varios offices
namely : Mafikeng, Kimberley, Bloemfontein and
Rustenburg
Quantity Surveyor","M Jnr Consulting
Manzi quantity surveyor cc","The tender for appointment of service provider for
provision of cleaning services could not be finalised on
time due to none availability of some of BEC members
and conducting of due diligence which was part of the
evaluation process
Additional communiction services and equiment","R61 604.96
R52,800.00","R2 885 425.00
R352,000.00","Not Stated
Not Stated","Noting
Noting","2023/02/28
2023/03/31","2020/03/01
2023/04/01","2023/03/31
2023/04/30",
,"Q1 2023/24
Q1 2022/23","New
New","2023/4/26
2023/5/15","Special Investigation Unit
Armaments Corporation of South Africa Limited","Office Accommodation
Vehicle and machinery servicing and maintenance","Edge Bay Investment (PTY) LTD
Corline 162 cc","Due to the new building tenant Installations process.
Increase the order value to accommodate additional
operational repairs on machinery and vehicles","R530,866.54
R130 425.00","R4,094,004.60
R669 500.00","R2,117,100.00
R21 602 160.00","Noting
Noting","2022/10/31
2023/05/12","2022/11/01
2022/07/22","2023/04/30
2023/07/22",
,"Q1 2022/23
Q1 2022/23","New
New","2023/5/15
2023/5/15","Armaments Corporation of South Africa Limited
Armaments Corporation of South Africa Limited","Purchasing of meat frozen food products
Provisioning of C Band Circular Polarised Space
Satellite Segment (Bandwidth)","Prieska Slagtery Pty Ltd
Terrace Projects","New contract not in place
Order had to be extended by 9 months as they are still
finalising the new equipment","R131 014.43
R3 329 100.00","R873 429.56
R3 329 100.00","N/A
R591 840.00","Noting
Noting","2023/05/12
2023/05/12","2022/04/01
2023/05/01","N/A
2024/02/28",
,"Q1 2023/24
Q1 2023/24","New
New","2023/4/12
2023/4/12","Denel SOC Ltd
Eskom Holdings SOC Ltd","SQ2000 Mid-Life Upgrade
The provision of security guarding services: 24/7
unarmed physical/ static guarding, adhoc security
related services, K-9 services, crime prevention
patrols and armed response for Distribution
Limpopo Operating Unit","Xpitec
Securelife Security Services
Ensemble Security Trading 2366","Not stated
Modification 3 extension of time and add value. New
contract not yet in place.","R2 609 637.50
R28 176 984.00","R15 091 453.10
R117 619 087.76","R11 676 972.80
R75 700 347.68","Noting
Noting","2023/03/16
2023/04/06","2023/03/16
2021/03/01","31/12/2023
202307/31",
,Q1 2023/24,New,2023/4/12,Eskom Holdings SOC Ltd,"Provision of core technical services (Electrical
building maintenance services) to Eskom real
estate for Eskom Park zone – Mpumalanga
operating unit for a period of 36 months",Sakha Isizwe Engineering,"The modification for Mbombela will be to transfer the
remaining funds from the current contract number
4600068279 to Eskom Park contract number
4600068204 and to increase funds as
R477
follows:Emalahleni Zone Modification Value
540,00 and Mbombela Zone R747 640,98. Total
modification value is R1 225 180,98. The
modification for additional value is due to a
contractor that has been suspended.",R1 225 180.98,"R3 979 500,00",N/A,Noting,2023/04/26,2020/10/26,2023/10/25,
,Q1 2023/24,New,2023/4/12,Eskom Holdings SOC Ltd,"Design, supply, delivery, installation,
commissioning, support and training for the
upgrade of the Network Management Centre (NMC)
Data Centre for a period of three (3) years.","Reutech Solutions, a Division of Reutech (Pty) Ltd","To increase the contract value, to increase the
contract period by thirty-six (36) months from thirty-six
(36) months to seventy-two (72) months; to increase in
scope of work on the existing two sites; and to add a
new additional site and additional item which were not
part of the original contract approval.",R15 828 316.41,R24 550 404.35,N/A,Noting,2023/05/03,2021/09/01,2027/08/31,
,Q1 2023/24,New,2023/4/12,Eskom Holdings SOC Ltd,"The design, manufacture, testing, supply and
installation of Air Core Reactor at Gromis
Substation.",Afritek Pty (Ltd),"To increase the contract value by R171 710.69 from
R1 252 073.08 to R1 423 783.77 excluding Value
Added Tax (VAT) and contingency.To increase the
contract period by Three (3) Months from 30 April
2023 to 31 July 2023.",R171 710.69,R1 252 073.08,N/A,Noting,2022/02/03,2022/03/01,2023/07/31,
,Q1 2023/24,New,2023/4/12,Eskom Holdings SOC Ltd,"The construction of section C (91 km) of the
282KM 400kV line from Juno substation to Gromis
substation",Siyavuya Umso JV,"To modify contract period by four (04) months from 11
May 2023 to 08 September 2023.To increase contract
value by R25 011 037.00 excluding VAT","R25 011 037,00",R274 759 920.89,N/A,Noting,2020/10/26,2021/01/11,2023/09/08,
