Number,Date Received (yyyy/mm/dd),Entity/Department (Use dropdown List),Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/recommend
ed by AO/ AA","not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,2020/01/08,"African Exploration Mining and Finance Corporation
(AEMFC)",Hiring mining equipment,Aqua Transport (Pty) Ltd,"To ensure production continuity and
re-issue a tender","91,070,616.00","20,955,127.50","R 85,714,123.20",2020/01/08,Conditional support,2020/02/01,2020/04/30
2,2020/03/03,AgriSETA,"External filing system, archive and storage of AgriSETA
dicuments",Metrofile,Single Sorce,"14,844.40","55,582.56",R 0.00,2020/02/11,supported,2020/4/1,2023/03/31
3,2020/03/03,AgriSETA,Telephone PABX system and maintenance,Barmazel International cc,conclude bidding process,"7,000,126.10",2020/2/11,R 0.00,2020/02/11,supported,2020/4/1,2020/04/30
4,2020/03/19,Air Traffic Navigation Services,"Expansion of the lease contract to include 1st and 2nd floors
(896m2) in Block D",Mascena Investments (Pty) Ltd,Continuation of service,"61,807,860.00","17,372,640.00",R 0.00,2020/02/27,Supported,2020/05/01,2022/11/30
5,2019/12/14,Airports Company South Africa,"Provision of passenger perception data collection, process
observation and terminal and landside infrastructure
observation to ensure the monitoring of service standards as
per Section 21/7",Market Decisions CC,Continuity of Service,"R 2,645,961.86","R 440,944.00",,2019/11/26,Not supported,Not Stated,Not Stated
6,2020/01/13,Airports Company South Africa,"Supply, support and maintenance of IT Facilitates Power,
Cooling and Cabling Infrastructure",Sizwe Africa IT Group (Pty) Ltd,Continuity of Service,"R 161,962,532.45","R 26,507,260.53",,2019/11/26,Conditional support,2020/01/31,2020/03/31
7,2020/03/17,Airports Company South Africa,"Complete Baseline Studies, partner in the development of an
urban design plan, land use enablement and rezoning of the
Swartklip site",Built Environment Partnership,"Continuity of service, at the time of
contracting there were many
unknown variables","R 7,130,000.00","R 19,647,209.90",R 0.00,2020/03/13,Conditional support,Not Stated,Not Stated
8,2020/03/17,Airports Company South Africa,"Provision of preventative, corrective maintenance, software
support, supply of spares and minor access control for the
Shepperd Access Control System for the O R Tambo
International Airport, King Shaka International Airport and
Cape Town International Airport.",Cynaps Technologies,Continuity of service,"R 12,224,775.00","R 13,302,700.23",,2020/03/12,Not supported,2020/04/01,2022/03/31
9,2020/03/03,BANKSETA,Microsoft Dynamics AX,Solugrowth,Continuity of Service,"R 1,978,122.56","R 632,117.28",R 0.00,2020/02/24,Conditional support,2020/4/1,2020/7/31
10,2020/03/03,BANKSETA,BANKSETA Head Office Lease,Redefine Properties,Continuity of Service,"R 1,000,000.00","R 1,000,000.00","R 20,265,494.00",2020/02/20,Supported,2020/4/1,2020/7/31
11,2020/02/06,Basic Education,"Variation in excess of 20% for Professional Services fees on
ASIDI projects implemented by the Development Bank of
South Africa (DBSA)",Various Suppliers,"DBSA encountered challenges in the
implementation of ASIDI projects in
the Eastern Cape ranging from
community disruptions, inclement
weather and poor access to sites,
which resulted in delays in the
delivery of building materials to sites","R 124,587,195.00","R 33,408,577,798.45","R 25,867,485.00",2020/02/06,Not supported,Not Stated,Not Stated
12,2020/03/17,Basic Education,"Professional Support Unit (PSU) contract for Sanitation
Appropriate for Education (SAFE) initiative",Not Stated,Continuity of service,,"R 85,506,914.45",,2020/03/13,Conditional support,2020/01/04,31/3/2022
13,2020/03/24,BBI,Audit Services,SNG Grant Thornton,Continuity of service,"R 2,798,253.44","R 1,052,250.00","R 317,819.75",Not provided,Conditionally supported,2020/03/01,2020/09/30
