GOVERNANCE MONITORING AND COMPLIANCE: QUARTER 1 (APRIL - JUNE 2016) REPORT - EXPANSIONS,,,,,,,,,,
Department / Entity,Project Description,Supplier,Reason for extension,"Original
Contract Value","Value of
Contract
Extension","Value of
previous
extensions","Award/
Recommended
date by AO/AA","supported/ not
supported by
NT","Contract Start
Date","Contract End
Date"
"Agriculture, Forestry &
Fisheries",Gardening Services,Masana Hygiene servives,Dispute with Labour Unions,"4,973,160.00","207,215.33","234,628.00",not stated,not supported,01/07/2016,31/07/2016
"Agriculture, Forestry &
Fisheries",Gardening Services,Naledi Business Enterprise,Dispute with Labour Unions,"741,946.48","29,247.77","87,743.31",not stated,not supported,01/07/2016,31/07/2016
"Agriculture, Forestry &
Fisheries",Gardening Services,Rams and claeaning servives,Dispute with Labour Unions,"2,169,666.50","90,402.77","271,208.31",not stated,not supported,01/07/2016,31/07/2016
"Agriculture, Forestry &
Fisheries",Security Services,Mafoko Security Patrols (Pty) Ltd,Dispute with Labour Unions,"1,677,687.12","289,134.00","804 552,20",not stated,not supported,20/06/2016,18/09/2016
"Agriculture, Forestry &
Fisheries",Security Services,Linda Security CC,Dispute with Labour Unions,"5,888,554.57","819,696.90","2 405 470,39",not stated,not supported,19/06/2016,18/09/2016
Arts and Culture,Community Library Conditional grant,"Ms Emke, Mr Lebelo, Ms Siwahla",monitor the conditional grant,"22,061,592.00","36,769,320.00","0,00",26/05/2016,not supported,01/06/2016,31/05/2021
BankSETA,"Photocopies and printers rental, Employess welness and Telecomunication
services",ITEC South (Pty) Ltd,"current agreements with the service
provider",not stated,"148,701.60",not stated,not stated,not supported,not stated,not stated
BankSETA,"Photocopies and printers rental, Employess welness and Telecomunication
services",ICASA,"current agreements with the service
provider",not stated,"330,088.32",not stated,not stated,not supported,not stated,not stated
BankSETA,"Photocopies and printers rental, Employess welness and Telecomunication
services",Vodacom,"current agreements with the service
provider",not stated,"2,000,000.00",not stated,not stated,not supported,not stated,not stated
BankSETA,reporting alledged claims to the compensation commissioner,Compensation of Industrial Risk,continuation of the service,not stated,"10,000.00",not stated,not stated,not supported,01/04/2016,31/03/2018
BankSETA,maintenance agreement,Konica Minolta,continuation of service,not stated,"240,000.00",not stated,not stated,not supported,01/04/2016,31/03/2018
BankSETA,off-site document storage,Metro File,continuation of service,not stated,"130,000.00 p/a",not stated,not stated,not supported,01/04/2016,31/03/2018
BankSETA,provision of payroll,Sage,continuation of service,not stated,"259,191.09",not stated,not stated,not supported,01/04/2016,31/03/2018
Basic Education,ASIDI school building,Lubala SPS,Omission of items in the BOQ,"15,400,495.18","6,405,930.00","0,00",not stated,not supported,not stated,not stated
CETA,establishment of skills centre,Civik Construction and Plant Hire,repricing of the BOQ.,"925,806.89","1,179,410.42","304,120.69",not stated,supported,01/08/2016,31/12/2016
CETA,refurbishment of Zibalmbeleni centre,Buyelaphi and Son,additional material and labour,"471,500,20","231,219.00","457,773.00",not stated,supported,01/08/2016,30/09/2016
CIDB,Catering Services,Imbenge Events Management,"increase in the number of people
attending","5,500.00","7,150.00","0,00",05/05/2016,supported,once off,once off
Cooperative Governance,"Knowledge ,Skills with regards to monitoring and evaluation as well as
local and government sector.Back to basic monthly repoting indicator",Dr M Sutcliffe,"There is no internal capacity to undertake
such work","104,000.00","1,716,000.00","39 000,00",15/04/2016,supported,01/04/2016,31/03/2017
ETDP SETA,Learnership Programme,PC Training,109 additional leaners for KZN,"3,484,180.00","607,404.00","0,00",23/03/2016,supported,29/09/2015,31/12/2016
ETDP SETA,Backlog Information and services,Deloitte Consulting PTY LTD,additional resources,"2,640,000.00","1,214,538.00","0,00",21/07/2016,supported,14/09/2015,30/08/2016
ETDP SETA,leases for Free State provinces,the Michael Family,license renewal for operations/ existence,"1,954,241.02","1,129,149.00","0,00",27/06/2016,supported,01/07/2016,30/06/2018
ETDP SETA,leases for Mpumalang provinces,Road Hogg Tours,license renewal for operations/ existence,"2,728,944.23","1,381,514.63","0,00",27/06/2016,supported,01/07/2016,30/06/2018
ETDP SETA,Cleaning Services - KZN,Super Clean,continuity of services,"179,493.00","97,823.69","0,00",15/04/2016,not supported,01/04/2016,31/03/2018
