No,Department / Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/Recommendation
by/ date",Supported/Not supported,Contract Start Date,Contract End Date
1,ACSA,"License subscription, support
and maintenance",MINERP,"There are no readily available off
the shelf systems for the
industry safety management
standards","3 ,191,275.44","2 ,926,235.00",0.00,2017/03/30,Supported,4/1/2017,2019/03/31
2,ACSA,Software license subscription,Cura Software Solutions,"Original Equipment
Manufacturer (OEM)",1 106 955.21,"3 84,133.26",0.00,2017/03/31,Supported,4/1/2017,2018/03/31
3,ACSA,"Software license subscription
renewal",Oracle,"Original Equipment
Manufacturer (OEM)","9 ,872,632.00","20,490,140.18",0.00,2017/05/16,Conditionally Supported,2018/01/01,36 Months
4,ACSA,Extension of IBM services,"International Business Machines
Corporation -IBM","IBM is the Original Equipment
Manufacturer (OEM)","17,884,862.58","2 7,972,874.96",0.00,2017/05/16,Supported,2017/06/01,2020/07/31
5,ACSA,"Two dimension bar code-
boarding pass (2DBC-BP)","Materna GMBH Information and
Communication","Materna GMBH is the Original
Equipment Manufacturer (OEM)","1 3,192,932.00","2 ,728,440.15","1 2,940,820.00",2017/05/25,Supported,2017/04/01,2019/03/31
6,ACSA,"Emergency medical response
services","SA Red Cross Air Mercy
Services","To capitalise on economies of
scale","4,720,000.00","1,080,000.00",0.00,2017/05/25,Supported,2017/06/01,2018/03/31
7,ACSA,"Repairs and maintenance of
Uninterruptable Power Supply
(UPS) and battery chargers",Umbane Systems Pty Ltd,"The contract includes corrective
maintenance","2,595,934.20","482,456.00",0.00,2017/05/25,Supported,Not stated,2018/06/30
8,ACSA,"Additional 15 licenses and
duration of MDA software",MDA,15 more users were added,"1,280,128.04","619,522.00",0.00,2017/04/05,Conditional support,Not stated,Not stated
9,AEMFC,"Provision of legal services on a
labour dispute refered to CCMA
by an ex-employee",Mkhabela Huntley Attorneys,Continuity of service,"3 4,200.00","55,520.00",0.00,2017/05/10,Conditional support,2017/05/29,Once off
10,AEMFC,Renewal of a software licences,"CQS Technology Holdings Pty
Ltd",Sole source,Not stated,"5 0,117.00","2 64,268.00",2017/06/26,Supported,2017/07/01,2018/06/30
11,Amatola Water,"Provision Engineering Service
of the Bulk Sanitation
Infrastructure - Presidential
Intervention Project in Mthatha",UWP Consulting (Pty) Ltd,Continuity of service,"15,550,000.00","29,340,591.00","40,305,277.00",No Signed,Not supported,Not stated,Not stated
12,Arts & Culture,Litigation support,"Gobodo Foresinc Investigative
Accounting",Continuity of service,"1,000,000.00","1,000,000.00",0.00,2017/04/03,Not supported,2017/04/04,2018/03/31
13,Arts & Culture,Conferencing services,Lekgotla Events,Variation of scope,"20,500.00","10,500.00",0.00,2017/06/02,Supported,once off,once off
14,Arts & Culture,"Investigation to the allegation of
possible misrepresentation","Ernest & Young Advisory
services",Variation of Scope,"369,158.40","293,809.08",0.00,2017/04/24,Conditional support,Not stated,Not stated
15,Arts & Culture,Catering services,Nibahle Majuba Trading,Variation of Scope,"52,000.00",14000.00,0.00,2017/06/06,Not supported,once off,once off
16,BANKSETA,Appeal: Office space,IGS Consulting Engineers,"Minister of Higher Education
extended the SETA Licence by 3
years",Not stated,"1,682,046.00",0.00,2017/05/24,Conditional support,2017/04/01,2020/03/31
17,BANKSETA,Office Accommodation,Slip Knot,Continuity of service,Not stated,1 561 015 .00,0.00,Not stated,Conditional support,2017/04/01,2020/03/31
18,Basic Education,"Implementing the Accelerated
Schools Infrastructure
Development Initiative (ASIDI),
in respect of Mceteni Primary
School","Development Bank of Southern
Africa",Continuity of service,"1 0,709,662.04","8,547,771.44",0.00,2017/04/05,Not supported,Not stated,Not stated
19,Basic Education,"Implementing the Accelerated
Schools Infrastructure
Development Initiative (ASIDI),
in respect of Mceteni Primary
School","Development Bank of Southern
Africa",Continuity of service,"1 0,709,662.04","2 ,580,380.61",0.00,2017/04/05,Not supported,Not stated,Not stated
20,Basic Education,"To investigate fruitless wasteful
expenditure in the Kha Ri Gude
programme.","Cingco Consulting Group (Pty)
Ltd",Continuity of service,"1 0,709,662.04","2 ,580,380.61",-,2017/05/25,Not supported,Not stated,Not stated
21,Basic Education,"To provide legal opinion on
functionality evaluation of Bid
RT22-2016.",Makhubela Attorneys,Continuity of service,745 887.50,494 518.99,0.00,2017/05/25,Not supported,Not stated,Not stated
22,CCMA,Provision of WAN services,MTN,Expansion of scope,"19,500,000.00","4,595,362.89",0.00,6/26/2017,Conditional support,Ongoing,3/31/2018
23,CETA,"Implementation of targeted
threat protection facilities
module",Galix Networks,Single Source,"203,060.45","37,000.00",0.00,2017/30/03,Not supported,2017/02/01,2018/03/31
24,CIDB,Printers and maintenance,Sharp Electronics,Continuity of service,"5,192,166.99","913,960.08","929,825.04",2017/04/13,Not supported,2017/04/25,2020/04/24
25,CIDB,CIDB displinary hearing,T.T Hlapolosa,Continuity of service,"400,000.00","100,000.00",0.00,2017/04/13,Conditional support,2017/04/25,2020/04/24
26,CIPC,Printing and posting,South African Post Office,"More normal letters need to be
issued","1 8,111,155.85","3 30,400.00",0.00,2017/04/04,Supported,Not stated,Not stated
27,Council for Geoscience,Legal Services,Stegmanns Incoporated,Continuity of service,Not stated,"250,000.00",0.00,2017/05/23,Conditional support,Not stated,Not stated
28,Council for Geoscience,Appointment of CEO,Deloitte,"Panel could not find a suitable
candidate","480,984.00","148,120.47",0.00,Not stated,Supported,Once-Off,Once-Off
29,Council for Geoscience,"Maintenance of the ERDAS
IMAGINE licence",Geo Data Design,Sole supplier,"259,347.15","232,800.31",0.00,2017/05/31,Supported,2017/08/01,2018/07/31
30,"Council for the built
Enviroment","Provision of fraud hotline
services",Mazars Forensic Services,Continuity of service,"53,352.00","44,460.00",0.00,2017/06/08,Not supported,2017/06/01,2018/03/31
31,CSIR,Security services,"Bidvest Protea Coin Group (Pty)
Ltd","Competitive bidding process in
progress","2 6,500,000.00","3 ,600,000.00","3 6,900,000.00",2017/06/19,Supported,2017/07/01,Once off
