,Department / Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/Recommendation
by/ date",Supported/Not supported,Contract Start Date,Contract End Date,
1,ACSA,"Maintenance and support for DVTel
access control system",Mobeni Integrated Systems,"Corporate office needs
refurbishment",2 800 000.00,1 800 000.00,0.00,2018/05/09,Not supported,Not applicable,Not applicable,
2,"African Exploration Mining
Finance Corporation SOC Ltd",Remove and disposal of waste.,Emalahleni Waste Management,Additional scope of work,854 452.80,177 330.00,0.00,2018/05/10,Supported,2018/05/01,2019/07/31,
3,"Agricultural Sector Education
and Training Authority",Provision of security services,Eldna Security,"Finalise the procurement
process",371 723.82,17 450.68,52 352.04,2018/06/27,Not supported,2018/07/01,2018/09/30,
4,Amatola Water Board,Board Secretary Service,Keivela Secretarial Services,Continuity of service,215 200.00,55 200.00,0.00,2018/06/29,Supported,Not stated,Not Stated,
5,Amatola Water Board,Professional Fees,AfriCoast Consulting Engineers,Continuity of service,9 025 049.29,5 931 390.71,0.00,2018/06/29,Not supported,Not stated,Not Stated,
6,Arts and Culture,"To conduct a conflict of interest
assessment and shareholdind reports",Inoxico,Continuity of service,341 332.78,126 686.32,0.00,2018/06/07,Not supported,Not stated,Not Stated,
7,Basic Education,Professional services,BTKM,Continuity of service,46 639 100.00,115 474 978.59,122 360 344.21,2018/06/18,Supported,2018/07/01,2019/06/30,
8,Basic Education,Professional services,BBP,Continuity of service,43 360 800.00,64 220 225.58,179 304 273.03,2018/06/18,Supported,2018/07/01,2019/06/30,
9,Broadband Infraco,Provision of network architecture,Internet Solutions,Continuity of service,6 110 280.00,781 146.24,3 456 936.00,2018/05/31,Not supported,2018/06/01,2019/05/31,
10,Broadband Infraco,"Lease agreement for Maseru PoP at
Platenberg Drift Farm. Ladybrand",Eternal City Trading,Continuity of service,214 523.45,307 407.02,0.00,2018/06/26,Pending,2018/09/01,2022/08/31,
11,Broadband Infraco,"Lease agreement for Ramatlabama
PoP. Molopo District",Ms. Kandase Mosegendi,Continuity of service,175 826.88,251 955.76,0.00,2018/06/26,Pending,2018/08/01,2023/07/31,
12,Cathsseta,"Provision of Integrated Financial
Management System",Deloitte,Continuity of service,0.00,1 195 585.00,0.00,2018/06/26,Supported,2018/07/01,2019/03/31,
13,CCMA,APN/3G Cards,MTN,Continuity of service,19 500 000.00,347 132.53,0.00,2018/06/27,Conditional support,2018/07/01,2018/07/31,
14,"Chemical Industries
Education and Training
Authority","Office Accomodation at the Regionl
Offices",Unknown,Impractical to relocate,0.00,5 214 104.00,0.00,2018/04/03,Not supported,2018/04/01,2020/03/31,
15,"Chemical Industries
Education and Training
Authority","Office Accomodation at the Cape Town
Offices",Unknown,Impractical to relocate,0.00,550 450.00,0.00,2018/04/03,Not supported,2018/04/01,2020/03/31,
16,"Chemical Industries
Education and Training
Authority","Office Accomodation at the Durban
Offices",Unknown,Impractical to relocate,0.00,855 196.00,0.00,2018/04/03,Not supported,2018/04/01,2020/03/31,
17,Compensation fund,"Umehluko support and maintenance for
a period of 24 months.(NT approved 6
months)",RMA,Continuity of service,11 310 750.00,147 371 531.52,90 840 874.50,2018/03/20,Supported,2018/05/01,24 months,
18,"Council for Scientific and
Industrial Research",Provision of wetland offset study,Freshwater consulting,Continuity of service,133 050.00,68 655.00,66 300.00,2018/04/13,Not supported,Not stated,Not Stated,
19,EC Provincial Treasury,Photocopier machine,Konica Minolta SA,Continuity of service,6 637 587.17,164 000.00 per month,4 300 619.54,2018/03/01,Supported,Not indicated,Not indicated,
20,Environmental Affairs,Inspectors (EMI) hand book,Juta & Company,Expansion of contract,1 455 000.00,850 000.00,0.00,2018/04/06,Not Supported,2018/05/01,2020/04/30,
21,Environmental Affairs,"Conducting a source apportionment
study in the Vaal Triangle Airshed
priority area (VTAPA)",NorthWest University (NWU),Continuity of service,1 500 000.00,1 400 000.00,0.00,2018/05/15,Pending,Not stated,Not Stated,
22,Environmental Affairs,"Hosting the waste pickers research
conference",Manhattan Hotel,"Increase in the number of
delegates",49 200.00,24 600.00,0.00,2018/04/13,Noted,2018/02/01,2018/02/02,
23,Environmental Affairs,Executive coaching sessions,Nurturing Growth Trading,"Sessions increased by eight
sessions",45 508.80,41 607.00,0.00,2018/05/06,Pending,2017/11/13,2018/10/12,
24,Eskom,"Provision of EFC core banking systems
and IT infrastructure",Ernst and Young,"ESKOM is in the process of
disposing EFC and to start a
new bid.",18 951 495.00,15 284 448.,6 979 920.00,2018/06/19,Pending,Not indicated,Not indicated,
25,Eskom,"Upgrade of existing plant. design and
construction of new plant and materials
for the Ash Handling at Camden Power
Station","Rula Bulk Material Handling (Pty) Ltd
Continuation of services",Continuity of service,545 114 511.00,116 497 357.22,0.00,2018/02/22,Not supported,2018/03/03,2018/12/02,
26,Eskom,Project engineering services,57 Service providers,Continuity of service,43 700 000.00,17 250 000.00,0.00,2018/04/12,Not supported,2018/10/01,2019/06/30,
27,Eskom,Eletrical and Civil works,41 suppliers,Continuity of service,149 350 000.00,49 350 000.00,0.00,2018/03/23,Not supported,2016/07/01,2021/06/30,
28,Eskom,"Manufacture and supply of Power
QualityMonitoring Meters To Eskom","Actom Protection Control a Division
of Actom (Pty) Ltd","Funds depleted and additional
demand",18 908 520.00,12 718 760.47,0.00,2018/03/12,Not supported,2016/09/09,2019/09/14,
,Department / Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/Recommendation
by/ date",Supported/Not supported,Contract Start Date,Contract End Date,
29,Eskom,"Procurement of Plant Design. Supply
and Installation of Overhead Track
Equipment (OHTE).",Ircon International Ltd,"Complete the remaining scope
of work",649 997 067.24,0.00,0.00,2018/03/13,Supported,2017/03/14,2018/04/13,
30,Eskom,"Re-instatement of the Outside Plant MV
Switchgear board scope outstanding
works",Siemens (Pty) Ltd,Re-instatement of scope,270 568 947.18,20 637 527.49,0.00,2018/03/28,Not supported,2018/07/01,2021/12/31,
31,Eskom,"Re-instatement of the Outside Plant LV
Switchgear board scope outstanding
works",Siemens (Pty) Ltd,Re-instatement of scope,128 119 764.06,13 902 373.81,17 708 680.62,2018/03/28,Not supported,2018/07/01,2021/12/31,
32,Eskom,"Outside Plant and Water Treatment
Plant Contol and Instrumentation
Refurbishment at Tutuka Power Station",Yokogawa South Africa (Pty) Ltd,Funds depleted,139 696 225.83,13 139 015.89,195 623 858.61,2018/04/10,Conditional support,2018/05/01,2018/10/31,
33,Eskom,HV and MV feeder schemes,ABB South Africa (Pty) Ltd,"Finalise the compettive bidding
process",60 143 307.11,43 491 505.95,109 205 551.50,2018/04/23,Not supported,2018/03/01,2020/02/28,
34,Eskom,"Provision of Engineering and Project
Management at Kusile Power Station",Black & Veatch,Continuity of service,114 000 000.00,1 068 819 804.00,13 771 267 374.00,2018/02/12,Conditional support,2018/03/19,2020/06/30,
35,Eskom,"Provision of Engineering and Project
Management at Medupi Power Station",PB Africa (Pty) Ltd,Continuity of service,114 000 000.00,350 000 000.00,6 552 112 091.00,2018/02/12,Conditional support,2018/03/19,2019/12/31,
36,Eskom,"Installation and Erection of 160 Newly
Manufactured Low Burnerson (8) Units
at Camden Power Station","John Thompson a division of
ACTOM",Continuity of service,136 900 154.96,0.00,22 902 507.51,2018/03/28,Supported,2018/04/01,2022/03/30,
