GOVERNANCE MONITORING AND COMPLIANCE: 2019/2020 QUARTER 1 (APRIL-JUNE 2019) REPORT- EXPANSIONS,,,,,,,,,,
Number,"Entity/Department
(Use
dropdown List)",Project Description,Supplier,Reason for extension,Original Contract Value,"Value of Contract
Extension","Value of previous
extensions","not supported/not
supported/Conditio
nal supported
(Use dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,"Agriculture, Forestry and
Fisheries",Import-export e-certification system,Fruit South Africa,Business countinuity,"24,745,000.00",0.00,0.00,Supported,2019/04/01,2019/12/31
2,Arts and Culture,To investigate additional allegations,Morar Incoporated,"Allegations received from ex political
prisoner","468,786.00","272,412.00",0.00,Supported,Not Stated,Not Stated
3,Broadband Infraco,Co-Location and site sharing,Transnet Freight Rail,Continuity of service,"17,847,068.26","25,628,400.00","18,961,428.62",Not supported,2019/04/01,2022/03/31
4,Broadband Infraco,Leasing of fibre,Liquid Telecommunications,Continuity of service,"66,148,891.68","28,792,416.60","60,438,590.16",Pending,2019/04/01,2022/03/31
5,Broadband Infraco,Leasing of fibre,Liquid Telecommunications,Continuity of service,"18,517,521.60","25,628,400.00","9,999,246.96",Pending,2019/04/01,2022/03/31
6,Broadband Infraco,Extension of lease agreement,CZ Karoo Eiendomme BK,Continuity of service,"154,996.80","222,772.20","182,601.60",Not supported,2019/05/15,2022/05/14
7,Broadband Infraco,Extension of lease agreement,Matoppoi Investments,Continuity of service,"119,160.00","78,720.77","369,023.40",Not supported,2019/06/01,2020/05/31
8,CCMA,Extension of lease agreement,Real Net Properties,Continuity of service,"400,232.80","573,496.07",0.00,Supported,2019/09/01,2022/08/23
9,Compensation Fund,"Support and maintenance of uMehluko
contract",Rand Mutual Assurance,Finalise the migration to a new system,"11,310,750.00","39,735,958.20",Not stated,Supported,2019/05/01,2019/10/31
10,Competition Commission,Preparation of 2019 external audit service,Khulanathi Ma-Africa,Expansion of scope of work,"330,000.00","275,000.00",0.00,Supported,2019/05/15,2019/07/31
11,"Construction Industry
Development Board","Maintenance and support of the Microsoft
CRM",nVision IT (Pty) LTD,Continuity of service,"4,912,110.00","3,000,000.00",0.00,Supported,2019/06/1,2020/05/31
12,Council for Geoscience,Initiator and investigation services,Maponya Attorneys,Continuity of service,"450,000.00","314,000.00","2,500,000.00",Not supported,Not Stated,Not Stated
13,"Council for Scientific and
Industrial Research",Engineering services,BIV Consulting Engineers,Increase in construction cost,"3 86,500.00","247,018.00",0.00,Supported,Not stated,Not stated
14,DCS,"Reconcilliation of National and Regional
contract registers",Sedupe and Metja Consulting,Continuity of service,"357,000.00","498,681.40",0.00,Conditional support,Not stated,Not stated
15,DENEL (Pty) Ltd,"Group Irregular, fruitless and wasteful
expenditure for financial year 2018/2019",Altimax,Continuity of service,"218,500.00","383,000.00",0.00,Conditional support,Not stated,Not stated
16,DENEL (Pty) Ltd,Investigations into Chad Contract,Bowmans,Continuity of service,"694,048.00","2,686,448.06","3,530,089.79",Not supported,Not stated,Not stated
17,DENEL (Pty) Ltd,"Investigations into Transactions between
Denel and VR Laser Group",Grant Thorton- Prodogy JV,Continuity of service,"1,600,000.00","691,380.00",0.00,Not supported,Not stated,Not stated
18,"Department of Justice and
Constitutional Development",Primary Rate Interface lines,Luquid Telecom South Africa,Continuity of service,"588,072.00","32,085.00","73,830.00",Conditional support,2019/07/01,2019/08/30
19,"Department of Public
Service and Administration",Armed protection security services,Bophani Security (PTY) Ltd,Continuity of service,"484,800.00","484,800.00",0.00,Supported,2019/08/20,2020/02/19
20,"Department of Public
Service and Administration","Extension of contracts with health risk
managers appointed to the panel of
accredited health risk managers",Various service providers,"Competitive bidding process
underway","245,840,567.05","72,209,500.92","471,348,806.58",Supported,2019/07/01,2019/12/31
21,"Department of Social
Development",Security Services,Mafoko Security Patrols,Continuity of service,"3,272, 313.60","545,385.60","818,078.40",Supported,2019/06/01,2019/07/31
22,Eskom,Terrace Ash Coal System,ELB Engineering,Continuity of service,"972,425,261.00","87,661,835.00","374,965,537.00",Supported,Not stated,Not stated
23,ESKOM,"Unit Transformer System and Earthning
Equipment For Kusile Power Station",Actom (Pty) Ltd,Continuity of service,"215,192,778.28",0.00,0.00,Not supported,Not stated,Not stated
24,ESKOM,"Provision of Fuel Cards Facilities for Fuel,
Oil, Toll Fees, Repairs and Managed
Maintenance",Standard Bank,Continuity of service,"7,217,841.84","8,875,380.06","35,884,446.34",Conditional support,2019/04/08,2019/12/31
25,ESKOM,"Support and Maintenance of Eskom
Finance Bnaking Systems and IT
Infrastructure",Ernest and Young,Continuity of service,"18,954,495.00","3,667,950.00","29,519,222.94",Conditional support,2019/04/01,2019/10/31
,ESKOM,"Provision of Milling Plant Maintenance
Services and Rigging at Komati Power
Station",Actom John Thompson (Pty) Ltd,Continuity of service,"37,134,338.15","5,219,910.39",0.00,Conditional support,2019/04/17,2019/07/16
Number,"Entity/Department
(Use
dropdown List)",Project Description,Supplier,Reason for extension,Original Contract Value,"Value of Contract
Extension","Value of previous
extensions","not supported/not
supported/Conditio
nal supported
(Use dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
27,ESKOM,"Main Civil Works for Kusile Power Station
Project",Kusile Civil Works JV,Continuity of service,"2,898,939.00","545,931,498.00","4,759,041,466.00",Conditional support,2019/03/31,2021/06/30
28,ESKOM,"Transmission Power Delivery Projects-
Construction of the 400kV Medupi
Borutho Transmission Line-Section B",Consolidated Power projects (Pty) Ltd,Continuity of service,"158,259,330.15","23,982,908.77",0.00,Conditional support,Not stated,Not stated
29,ESKOM,"Supply, Transportation, Erection and
Dismantling of Scaffolding and Insulation
Material for Generation Power Stations
Including Group Capital (Refurbishment
Projects)","Southey Contacting (Pty) Ltd
Kafer Thermal Contracting Services (Pty) Ltd
SGB-Cape
TMS Group Industrial Services (Pty) Ltd",Continuity of service,"329,130,000.00","294,653,718.19","5,370,027,170.66",Noting,2019/06/01,2019/11/30
30,ESKOM,"Occupational Health Professional
Services",Tlakula Occupational Health Services (Pty) Ltd,Continuity of service,"3,000,000.00","1,811,480.05",0.00,Not supported,Not stated,2021/02/28
31,ESKOM,"Provision of Physical Guarding Services
at Permanent Sites, Adhoc Security
Services, Crime Prevention Patrols and
Security Escorting Services at Identified
Sites within Eskom Divisions and
National Key Points","Metro Security
Golden Security
Quick Save Security
Venus Security
Reliable Security
Bhakani Abantu Security
Full Serve
Ligit Security Solutions
Maximum Security/ Sihlomile
Moas Investments",Finalise the bidding process,"129,515,705.93","11,359,151.68",0.00,Conditional support,2019/05/01,2019/07/2019
32,ESKOM,IT Services during disengangement,T-Systems SA (Pty) Ltd,Continuity of service,"2,936,231,859.00","135,000,000.00","4,809,786,345.00",Conditional support,2019/07/01,2019/12/31
