,Entity/Department,Project Description,Supplier,Reason for extension,Original Contract Value,"Value of Contract
Extension","Value of previous
extensions","Award/recommend
ed by AO/ AA","Not Supported/Not
Supported/Conditional
support (Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,ACSA,Bussing Gates,"Arup, Naren Mistry, KDM, Worley
Parson, KVM",Continuity of services,"10 386 457,84","11 515 460,87","0,00",2018/01/22,Not Supported,Not stated,Not stated
2,ACSA,Maintenance of DVTela access control system,Mobeni Integrated Systems,Additional scope of work,"2 800 000,00","1 800 000,00","0,00",2018/08/29,Closed,Not stated,Not stated
3,"Airports Company of South
Africa","Ad-hoc maintenance and spares for storm water at
Cape Town International Airport",HSM AMANZI,Additional scope of work,"1 366 063,65","1 268 284,20",0.00,2018/06/29,Not Supported,2017/01/01,2021/02/28
4,"Airports Company of South
Africa",UPS at King Shaka International Airport,Engineering Data Systems cc,Funds depleted,"3 618 868,00","932 676,50",0.00,2018/06/04,Conditional support,2014/05/01,2019/04/30
5,Amatola Water Board,Professional Services: James Kleyhans,Bosch Stemele,"Additional Scope and termination of
contractor","10 103 185,73","5 465 825,55","0,00",2018/08/16,Not Supported,Not Stated,Not Stated
6,Arts and Culture,To provide litigation support services,Vernitos Consulting CC,Continuity of service,"488 376,00","481 250,00","0,00",2018/07/17,Supported,Once off,Once off
7,Arts and Culture,Provision of additional services rendered,Nhlanhla Catering Business,Additional requirements by SAPS,"82 500,00","116 900,00","0,00",2018/08/20,Not Supported,Not Stated,Not Stated
8,Artscape,Additional work to the generators,Zest Weg Electric,Re-location of the generator,"1 191 674,00","4 556 894,00","0,00",2018/08/23,Supported,Once off,Once off
9,"Banking Sector Education and
Training Authority",Provision of office accomodation -Midrand,Redefine Properties,Expiry of SETA license,"0,00","0,00","0,00",2018/09/17,Not Supported,2018/09/01,2020/03/31
10,Broadband Infraco,"Lease agreement for Maseru PoP at Platenberg Drift
Farm, Ladybrand",Eternal City Trading,Continuity of service,214 523.45,307 407.02,0.00,2018/06/26,Supported,2018/09/01,2022/08/31
11,Broadband Infraco,"Lease agreement for Ramatlabama PoP, Molopo
District",Ms. Kandase Mosegendi,Continuity of service,175 826.88,251 955.76,0.00,2018/06/26,Supported,2018/08/01,2023/07/31
12,Broadband Infraco,"Provision of network architecture which enables
interconnection with various internet service
providers clients",Internet Solutions,Continuity of service,6 110 280.00,781 146.24,3 456 936.00,2018/09/18,Supported,2018/06/01,2019/05/31
