5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2019/2020 QUARTER 2 (JULY 2019 - SEPTEMBER 2019) REPORT- EXPANSIONS,,,,,,,,,,
Number,"Entity/Department
(Use
dropdown List)",Project Description,Supplier,Reason for extension,"Original Contract
Value",Value of Contract Extension,"Value of previous
extensions","not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,"Airports Company South
Africa","Business Processes Management to include the following 7
(seven) additional divisions Phase 2",Ramgoolam Trivector Consortium,Continuity of service,"13,978,640.00","4,250,000.00",0.00,Not supported,Not Stated,Not Stated
2,Amatola Water Board,"Coffee Bay Water Supply Scheme extensions to Ward 23 and
Ward 24",Umso Construction (Pty) Ltd,Continuity of service,"164,804,372.14","865,091.11","19,545,403.45",Supported,Not Stated,Not Stated
3,Art-scape,Provision of cleaning services,Supercare,E-tender portal down,"6,771,166.22","409,456.88","818,913.76",Not supported,2019/8/1,2019/9/30
4,Basic Education,Implementing Agent: Water and Sanitation in the EC Schools,"Development Bank of South Africa,
Independent Development Trust, The
Mvula Trust, Mhlathuze Water, Coega
Development Cooperation (CDC)","President of RSA launched the sanitation
programme in August 2018. An additional
allocation of R2.8billion was added over the
2019",0.00,0.00,0.00,Supported,Not stated,Not stated
5,Broadband Infraco,Extension of lease agreement,Karoo Googland Municipality,Continuity of service,"231,506.64","541,794.60","360,240.64",Supported,6/1/2019,5/31/2024
6,CATHSSETA,Provision of security services,Peaceforce Security Group,"License to operate was granted in July
2019","474,651.00","474,651.00",0.00,Conditional Support,2019/10/1,2020/9/30
7,Cooperative Governance,Licenses and Maintenance of Procurement System (iQual),Predicate Logistics (Pty) Ltd,Continuity of service,0.00,"93,292.05",0.00,"Within AA/AO mandate
Noting",Not stated,Not stated
8,Council for Geoscience,Provision of physical security services for three (3) months,Cardura Trading Enterprise,"External sourcing of security services is
required to augment the current security
compliment","397,440.00","289,800.00",0.00,Withdrawn,2019/08/10,2019/11/10
9,DBSA,Professional services,Phanda and Pulse Personnel,Variation of order,"3 ,074,000.00","1,060,334.71","582,209.25",Not supported,2019/05/01,2019/06/30
10,DCS,External Investigator/initiator,AM Vilakazi Incorporation,Insufficient funds,Not stated,"500,000.00",0.00,Conditional support,Not stated,Not stated
11,DENEL (Pty) Ltd,Piping and Hoses for the RG12 MK6 Prototype Vehicle,Modules Hydraulics,Continuity of service,"15,659.79","43,768.58",0.00,Not supported,Not stated,Not stated
12,DENEL (Pty) Ltd,"Refurbishment, Supply and Install Boiler Chimney at Kempton
Park Campus",Rasimone Engineering Suppliers,Continuity of service,"370,404.37","195,746.93",0.00,Conditional support,Not stated,Not stated
13,Driving License Card Account,"Supply and delivery of Notice-to-Collect-Document (NCD) forms
for a period of twelve (12) months",Renform Litho CC,"A query run on the database established
that cards were diplucated and printed
resulting in wastage of NCD forms.","1,136,200.00","262,234.96",0.00,Supported,Not stated,Not stated
14,ECIC,Lease agreement,JR209 investments (Pty)Ltd,"To allow sufficient time to procure a new
building","31,933,627.00","13,865,898.00",0.00,Conditional support,Not stated,Not stated
15,Environmental Affairs,"Hosting of the learning network sessions relating to
management, leadership development in the public service",Burgers park hotel,Increase in the number of attendees,32 600.00,5 135.00,0.00,Supported,2019/6/21,2019/6/21
16,Environmental Affairs,Storage and pre-processing facilities,Different suppliers,"REDISA liquidation case is still in court and
not finalised",252 751 498.00,43 670 902.00,"17,069,808.42",Closed,2019/10/1,31/3/2021
17,ESKOM,"Construction of Majuba Rail Lines 1 and 2 at Majuba Power
Station",SS4P Joint Venture,Deferement of outage,"83,308,919.47","17,673,441.37",0.00,Not supported,2019/04/12,2019/09/30
18,ESKOM,Provision of Statutory Audit Services,"Sizwe Ntsaluba Gobodo and Grant
Thornton (SNG-T)",Continuity of service,"388,387,601.00","300,000,000.00","134,852,801.00",Conditional support,2019/08/01,2 years
19,ESKOM,"Provision of Financial Risk Management Analytics Software
Maintenance and Support",FinCad Europe Ltd,Continuity of service,"453,244.30","302,162.87","50,260.48",Conditional support,2019/07/24,2020/07/23
20,ESKOM,"Provision of Manufacturing, Supply and Delivery of High
Pressure, High Temparature Valves and Valves Spares","BBG Engineering (Pty) Ltd, DLC 56
Projects, Kulkoni (Pty) Ltd, PH Marketing
(Pty) Ltd and High Pressure Valve
Services (Pty) Ltd",Contracts ran out of funds,"707,375,030.00","1,433, 635, 630.85",0.00,"Within AA/AO mandate
Noting",Not stated,Not stated
21,ESKOM,"Legal Services Required to Support Eskom in Preparing For and
Conducting and Adjudication and/or arbitration proceedings",Koikanyang Incorporated,Continuity of service,"4,312,960.00","989,000.00",0.00,Conditional support,2019/08/15,2019/12/31
22,ESKOM,"Provision of Physical Security Guarding Services for the Ankerlig
Transmission Secondary Supply (ATKSS) Project Site, National
Key Point","Analytical Risk Management (Pty) Ltd t/a
2RM Security",Continuity of service,"886,116.24","443,028.12",0.00,Not supported,2019/08/01,2019/09/30
23,ESKOM,"The Provision of Physical Guarding Services at Permanent Sites,
Ad hoc Security Services, Crime Prevention Patrols and Security
Escorting Services at Identified Sites within Eskom Divisons and
National Key Points",Various security service providers,Continuity of service,"80,747,808.90","76,084,480.26",Not stated,Not supported,2019/08/01,2019/09/30
24,ESKOM,"Construction of Kusile Medium Voltage (MV) Switchgear For
Kusile Power Station Project",ABB South Africa (Pty) Ltd,Continuity of service,"346,808, 472.00",0.00,0.00,Conditional support,2019/06/28,2021/03/27
25,ESKOM,Provision of Catering Services at Hendrina Power Station,Duduza Hospitality Solutions (Pty) Ltd,Funds depleted on contract,"31,037,310.80","15,236,965.28","4,113,561.57",Not supported,Not stated,2020/05/30
26,ESKOM,Kusile Power Station Miscellaneous Structures,"Stefanutti Stocks Basil Read Joint
Venture (SBBR JV)",Access Delays,"1,877,170,003.43",0.00,"3,187,628,243.11",Conditional support,2019/09/29,2020/11/27
27,ESKOM,IT Services during Disengagement,T-Systems,Finalise competitive bididing process,"2,936,231,859.00","135,000,000.00","4,809,786,345.00",Conditional support,2019/09/01,2019/12/31
28,FoodBev SETA,Procurement of the MIS Systems and Payroll services,Solugrowth,Renewal of the SETA license,"9,094,850.35","2,340,643.68","3,260,708.11",Supported,2019/11/1,2020/10/30
