GOVERNANCE MONITORING AND COMPLIANCE: 2021/2022 QUARTER 2 (16 June 2021 - 15 September 2021) REPORT EXPANSIONS,,,,,,,,,,,,
Number,"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by AO/ AA date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),"Contract expiry
(yyyy/mm/dd)"
1,2021/07/07,Air Traffic and Navigation Services (ATNS),ERP system,ICT-Works,Continuation of work,"3 298 077,00","37 328 113,97","20 143 800,00",Not Supported,2021/07/07,Not Stated,Not Stated
2,2021/07/26,Air Traffic and Navigation Services (ATNS),"to provide support to employees in the form of Emotional and
Psychosocial and Employee Wellbeing training",ICAS,"ATNS tested the market to obtain the services and quotations received
were viewed as excessive, and for further comparison a quotation was
sourced from ICAS. If the ICAS contract can be extended, ATNS could
save an amount of R60 240.00","149 760,00","191 778,60","28 766,79",Not Supported,2021/07/26,Not Stated,Not Stated
3,2021/08/23,Airports Company South Africa (ACSA),Host-to-Host Banking Software License Subscription.,Appsolve (Pty) Ltd,Continuation of work,"1 979 059,15","2 185 846,40","0,00",Conditional Support,2021/08/23,Not Stated,Not Stated
4,2021/08/30,Boxing South Africa,"The design, development, support and maintenance of an online Licensee
Management System",Bantu Soft,Continuation of work,Not stated,Not stated,"0,00",Closed,2021/08/30,2021/09/01,2023/02/30
5,2021/07/26,Brand South Africa,Office accommodation,Growthpoint Properties,Continuation of service,"3 226 764,00","18 918 022,10","0,00",Conditional Support,2021/07/25,01/08/2021,31/7/2022
6,2021/07/29,Broadband Infraco,Office accommodation,Rezmar Bothma Beleggings BK,Continuation of service,"423 960,00","397 080,72","397080,72.",Supported,2021/07/13,1/9/2021,31/7/2021
7,2021/6/24,Central Energy Fund SOC Ltd (CEF),"To allow the necessary changes to be made on the Database
Management System (DBMS) and support/hosting of the system",AfriGIS,Continuation of work,"2 043 094,77","6 266 177,48","0,00",Not Supported,2021/06/24,2021/10/16,2022/3/31
8,2021/07/14,Central Energy Fund SOC Ltd (CEF),Provision of Mediation services,Tokiso Dispute Settlement,"Additional sessions are required due to the complexity of the
meditiation deliberations","48 300,00","48 300,00","0,00",Conditional Support,2021/07/14,Not Stated,Not Stated
9,2021/07/26,Companies and Intellectual Property Commission (CIPC),Storage facility,Iron Mountain,Continuation of service,"2 765 250,00","39 503 591,00","9 875 880,80",Conditional Support,2021/07/26,2021/08/22,2021/11/21
10,2021/07/22,Competition Commission,Annually increament,Ndzabandzaba Attorneys Inc,Continuation of service,Not Stated,Not Stated,Not Stated,Not Supported,2021/07/22,Not Stated,Not Stated
