Number,Department/ Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/
Recommended date
by AO/AA","not Supported/not
Supported",Contract Start Date,Contract End Date
1,ACSA,Maintanance and Support of CCTV,Sizwe Africa IT Group (Pty) Ltd,"Competitive bidding process in
progress",91 110 823.31,1 133 022.00,"145 949 074,00",Not dated,Supported,2016-12-01,2017-07-31
2,ACSA,Maintanance and Support of CCTV,Datacentrix (Pty) Ltd,"Competitive bidding process in
progress",46 696 099.74,28 104 000.00,"62 752 698,00",Not dated,Supported,2016-12-01,2017-11-30
3,ACSA,Maintanance and Support of CCTV,"Risk Detection System ( Pty)
Ltd","Competitive bidding process in
progress","108 000,00",85 824.60,163 560.00,Not dated,Supported,2016-11-01,2017-06-30
4,ACSA,Maintenance and support (CCTV),Baeletsi Technologies,"Delays in competitive bidding
process","756 000,00","42 564 721,00","158 130 248,00",Not dated,Supported,2016-12-01,2017-07-31
5,ACSA,Maintenance of cabling infrastructure,Infrasol (Pty) Ltd,"Delays in competitive bidding
process","282 246 196,00","475 906 223,00","0,00",Not dated,Supported,2016-12-01,2017-07-31
6,ACSA,Maintenance and support services,"Mobeni Integrated System
(KSIA)","Delays in competitive bidding
process","2 172 612,00","1 133 022,00","2 102 200,00",Not dated,Supported,2016-12-01,2017-07-31
7,ACSA,Maintenance and support of CCTV,"Mobeni Integrated System
(ORTIA)","Delays in competitive bidding
process","4 408 007,00","198 224 287,00","913 149 322,00",Not dated,Supported,2016-12-01,2017-07-31
8,ACSA,"To provide four main infrastructure
service towers",Puleng Technologies (Pty) Ltd,"Delays in competitive bidding
process","4 277 131 971,00","11 567 303 874,00","91 009 154,00",Not dated,Supported,2016-12-01,2017-07-31
9,Amatola Water,"Provision of external auditing
services",Ernst & Young,Unforeseen project overruns,"1 814 652,00","2 166 633,00","0,00",2013-09-20,Conditional support,2013-10-01,2016-09-30
10,BANKSETA,"Provision of VoIP at the regional
offices",Neotel,"IT infrastructure was affected by the
changes in BANKSETA which
resulted in high utilisation of
bandwidth","622 029,60",164 593.20,"0,00",2016-07-26,Supported,2016-04-01,2016-03-31
11,Broadband Infraco,"Modification of existing project
management co-source.","Africa-One consulting and
Research",Continuity of service,"980 000,00","3 500 000,00","0,00",2016-10-18,Supported,2016-11-01,18 Months
12,CATHSSETA,Consultancy services,Motseki Business Consulting,"To allow for the contunuity of the
services","3 008 787,00","2 987 000,00","5 157 920,00",2016-09-02,Not Supported,2016-11-01,2017-04-30
13,CATHSSETA,Consultancy services,Tenox Management,"To allow for the contunuity of the
services","3 391 500,00","3 517 470,00","5 813 000,00",2016-09-02,Not Supported,2016-11-01,2017-04-30
14,CBE,Travel Management Services,Nexus Travel,"To allow National Treasury to
finalise the transversal contract",1 800 000.00,604 000.00,Not stated,2016-10-26,Supported,2016-11-01,2017-03-31
15,CCMA,Office accomodation,"Olitziki Properties (OPH) City
Properties",Continuity of service,"49 300 857,06","0,00","0,00",2016-08-16,Supported,2016-11-24,5 Years
16,CCMA,"Financial Management and Supply
Chain Management Information
solution",Isitshixo Business Solutions,Continuity of service,"1 684 349,32","513 597,36","0,00",2016-12-02,Conditional support,2014-04-04,2017-03-31
17,CIDB,"to provide VPN Hosting and Internet
services on a month-to-month basis.",Telkom SOC SA,"To allow for the contunuity of the
services","6 853 327,83","944 463,88","0,00",17/11/2016,Supported,Month to month,Month to month
18,COGTA,"Renew the hardware maintenance
support contract",Hewlett Packard (HP),Continuity of service,"0,00","1 217 768,00","0,00",2016-10-25,Supported,Not stated,Not stated
19,COGTA,Renewal of the library subscriptions,"Juta, Sabinet, LexisNexis,
Parliamentary Monitoring
Group, South African Institute
of Race Relations and EBSCO",Continuity of service,"0,00","3 611 864,00","0,00",2016-10-25,Conditional support,Not stated,3 years
20,Council For Geoscience,Protection Services,Sekanani,Additional guards required,"2 303 460,00","2 122 092,00","0,00",2016/15/11,Supported,2016-12-01,2018/31/10
21,Council For Geoscience,Legal costs,Werksman Attorneys,Change in the scope of work,"94 050,00","263 340,00","0,00",2016/29/11,Supported,Ongoing,Ongoing
22,Council on Higher Educatio,nProgramme Acreditation Review,Neil Butcher & Associates (NBA,")
Allows for the continuity of service","81 200,00","165 300,00","0,00",2016/29/04,Supported,2016-10-12,2016-11-12
23,"Council on Higher
Education",Conference,Birchwood Hotel,"The number of delegates attending
the conference increased","111 740,00","21 000,00","0,00",2016-08-02,Supported,2016-08-23,2016-08-28
24,"Council on Higher
Education","strategic planning project within the
CHE",Neil Butcher & Associates,"To reconceptualise the CHE's audit
mandate","81 200,00","165 300,00","0,00",2016-04-29,Supported,2016-10-12,2016-11-12
25,CSIR,"Application development of DBA
skills and PeopleSoft",Britehouse,Ensure business continuity,"5 634 800,00","2 620 800,00","0,00",2016-11-01,Conditional support,2016-12-01,2017-03-31
26,CSIR,System administration skills,DATACENTRIX,Ensure business continuity,"1 916 160,00","582 045,00","0,00",2016-11-01,Conditional support,2016-12-01,2017-03-31
27,CSIR,Field support engineers,Gijima,Ensure business continuity,"10 486 392,00","2 861 153,00","0,00",2016-11-01,Conditional support,2016-12-01,2017-03-31
28,DBSA,Innovation Academy,Red Fox Ideation,Continuity of service,"927 000,00","396 637,11","0,00",2016-10-31,Conditional support,2016-11-01,2016-01-31
29,Department of Transport,"Marine pollution prevention and
salvage operation",Smit Amandla Marine,"Competitive bidding process in
progress",43 400 000.00,35 000 000.00,"0,00",2016-09-14,Supported,2016-10-01,2017-02-28
30,DPSA,Off-site records storage,Archiv Systems,Continuity of service,"398 939,25","110 846,08","0,00",2016-10-27,Conditional support,Once off,Once off
31,DPSA,Printing Annual Performance Report,Tahuti Trading,Continuity of service,"394 680,00","57 150,36","0,00",2016-10-14,Supported,Once off,Once off
32,DPSA,"Request for variations for travel with
flair",Travel with Flair,"Compliance with National Treasury
directive","90 000 000,00","20 000 000,00","30 000 000,00",2016-12-12,Supported,2017-02-01,2017/06/31
Number,Department/ Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/
Recommended date
by AO/AA","not Supported/not
Supported",Contract Start Date,Contract End Date
33,"Eastern Cape Provincial
Treasury",Unified Communications and Solution,Dimension Data,"Competitive bidding process in
progress",9 405 680.35,953 790.95,"0,00",2016-10-19,Supported,2017-02-01,2018-03-31
34,Environmental Affairs,"To conduct compliance audit (phase
two) on the implementation of the
integrated industry waste tyre
management plan",Isolveit Consultant (Pty) Ltd,"To allow for the contunuity of the
services",555 180.00,342 000.00,Not stated,2016-09-21,Supported,Not stated,Not stated
35,Environmental Affairs,"Venue hire - Protection of the
People’s Republic of China (PRC)",Premier Hotel,"The number of participants
increased from 20 to 30",20 250.00,8 175.00,Not stated,2016-08-01,Supported,Once off,Once off
36,Environmental Affairs,"The development of the
Environmental Programmes
Management System(EPMS)",SITA,To allow for continuity of services,1 541 280.00,1 540 000.00,Not stated,2016-10-03,Supported,Once off,Once off
37,Environmental Affairs,"Electronic Communication Tool (the
EMI Communicator) for the
Environmental Management
Inspectorate",D6 Technology,Sole provider,41 049.00,26 528.74,Not stated,2016-10-25,Supported,Once off,Once off
38,Environmental Affairs,"Services rendered for referal of
dispute to the bargaining council","Meridian Specialised Skills
Institute of S.A","To allow for the contunuity of the
services","100 000,00","300 000,00","0,00",2016-07-06,Supported,2016-07-06,2016-08-17
39,Environmental Affairs,"Cost benefit analysis for Air Quality
Management in South Africa",Mabu Management Solutions,"The existing model was not
compatible.","1 888 980,00","1 003 884,00","0,00",2016-07-06,Supported,2016-08-01,2016-08-01
40,Environmental Affairs,"the provision of advisory services and
technical support",McKinsey Consulting,"To provide an additional stream on
Rhino Conservation","14 400 000,00","4 800 000,00","0,00",2016-07-04,Supported,2016-09-01,2016-10-30
41,Eskom,"Provision of professional quantity
surveying services at Kusile Power
Station",Durapi Consulting,Continuity of sevices,"79 079 536,00","56 841 167,00","37 758 546,00",2016-11-22,Supported,Not stated,Not stated
42,Eskom,"Construction of terrace underground
facilities at Kusile Power Station",Esor Construction (Pty) Ltd,"Increase quantities due to additional
of scope","311 106 943,00","382 208 460,00","1 098 347 892,00",2016-11-11,Conditional support,Not stated,Not stated
43,Eskom,"Supply of 3 PSA Nitrogen Generation
Plant for Kusile Power Station",Nugen Technologies (Pty) Ltd,"Expansion of project duration due to
modification of scope","18 404 400,00","0,00","0,00",2016-11-17,Conditional support,Not stated,Not stated
44,Eskom,"Provision of raw water to Eskom
power stations","Department of Water and
Sanitation",Continuity of service,"3 394 000 000,00","1 844 811 849,00","1 301 534 473,00",2016-12-09,Supported,Not stated,Not stated
45,Eskom,"Manufacture, supply and delivery of
air heaters.",Howden Africa (Pty) Ltd,Funds depleted before expiry period.,"298, 800,000.00","218, 300,000.00","185 500 000,00",2016-09-26,Conditional support,04/10/2016,Not stated
46,Eskom,"Upgrading of four transformers for
Van der Bilj SS controller within
Gauteng Operating Unit",Rotek Industries SOC,"Additional scope of work still need to
be executed.","1 162 248,83","3 230 452,05",n/a,N/A,Supported,Not stated,Not stated
47,Eskom,National Security Services,"L.L Security Services cc,
Maximum Security Services,
and Double Barrel Security
Services cc","Additional sites without security are
being exposed to vandalism due to
absence of security.","65 037 601,16","41 601 695,05",None,2016-08-18,Supported,6 months,Not stated
48,Eskom,"Electrification and minor reticulation
projects on an as and when required
basis.",35 contractors on the panel,"Project delays due shortage of
Eskom trucks.","100 000 000,00","142 571 411,93","70 772 601,46",2016-09-26,Conditional support,Not stated,Not stated
49,Eskom,Supply of 600 000 tons of coal,Sudor Coal (Pty) Ltd.,"Competitive bidding process in
progress","1 586 995 200,00","162 486 000,00","1 598 391 048,00",2016-10-27,Conditional support,3 months,Not stated
50,Eskom,"Panel of suppliers for strategic
business management",Various Contractors,Additional projects identified,"605 000 000.00 (Excl
VAT)","1 200 000 000.00
(Excl VAT)",None,2016-10-27,Conditional support,3 years,Not stated
51,Eskom,"Supply of coal to Klipfontein ,
Leeupoort Colliers and Mooifontein
Beneficiation Plant",Iyanda Mining (Pty) Ltd.,"Competitive bidding process in
progress","506 018 266,67","93 656 544,67","321 558 500,67",2016-10-13,Conditional support,1 Month,Not stated
52,Eskom,"Construction, installation, erection
and commissioning of miscellaneous
building",Basil Read (Pty) Ltd,Delays in construction,"521 471 349,41","740 887 566.21
(Excl VAT)","953 270 107,91",2016-10-06,Conditional support,24 Months,Not stated
53,Eskom,"Construction services for major
reticulation contracts for the Gauteng
Operating Unit",Various Contractors,Funds depleted before expiry period.,"50 000 000,00","12 420 176,47","248 403 529,36",Not specified,Conditional support,Not stated,Not stated
54,Eskom,"Combustion of waste terrace at
Kusile Power Station",WBHO Construction (Pty) Ltd,Revised Bill of Quantities,"656 204 475,81","213, 972,010.48","1 494 366 263,90",2016-11-11,Conditional support,60 Months,Not stated
55,Eskom,"Extension of construction of various
buildings at Medupi Power Station",Aveng Africa Limited,"Extension of duration to assess
completion of all contractual
obligations","232 211 127,00","Time only no value
equied appoval","807 906 320,00",2016-11-24,Supported,18 Months,Not stated
56,Eskom,"Maintenance and outage repair
services for boiler pressure parts at
coal fired power stations","Actom, Babcock and
Steinmuller","Allow sufficient time for competitive
bidding process","740 000 000,00","2 505 875 132,00","3 171 875 133,19",2016-11-30,Conditional support,12 Months,Not stated
57,Eskom,"Supply of Coal to Komati Power
Station",Koornfontein Mines (Pty) Ltd,Continuity of service,"341 544 200,00","6 955 200 000,00","87 093 771,00",N/A,Conditional support,Not stated,Not stated
Number,Department/ Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/
Recommended date
by AO/AA","not Supported/not
Supported",Contract Start Date,Contract End Date
58,Eskom,"Technical support and maintenance
of air heaters and draught plant fans",Howden (Pty) Ltd,Continuity of service,"655 300 000,00","674 800 000.00
(Excl VAT) and 67
400 000.00 for any
unforeseen
contingencies (Excl
VAT)","1 372 900 000,00",2016-09-26,Conditional support,2016-09-26,6 months
59,Eskom,"Design, manufacture, supply,
installation, commissioning and
testing, control and instrumentation
system for units 1 to 6 and the
balance of plant at Kusile Power
Station Project (P21)",ABB South Africa,Previous contractors terminated,"2 522 783 814,38","550 0044 229.00
with an additional
contingency fee of
30 000 000.00",NONE,Not specified,Conditional support,Not stated,Not stated
60,Eskom,Physical security services in Limpopo,Various,"Competitive bidding process in
progress",70 503 708.88,31 020 156.69,"0,00",2016-11-24,Conditional support,2016-12-01,2017-03-30
61,ESKOM,"Expansion of contract for general
good,services for Grootvlei station",Not stated,Project value under estimated,"39 544 817,20","23 409 758,00","5 604 430,00",2016-07-11,Supported,Not stated,Not stated
