,,,Expansions Quarter 3: October - December 2017,,,,,,,,,
,Date Received,Department / Entry,Project Description,Supplier,Reason for Extension,"Original Contract
Value","Value of Contract
Extension","Value of Previous
Extensions","Award /
Recommendation Date",Support Status,Contract Start Date,Contract End Date
1,2017/10/06,ACSA,Software licences,IDI Technology Solutions,Increase in service demand,1 589 820.00,650 000.00,0.00,2017/09/11,Conditional support,2017/10/26,Not stated
2,2017/10/06,ACSA,"Maintenance and support of
parking management system",Intellepark (Servest),Competitive bid in progress,3 825 524.00,1 890 884.33,141 634.98,2017/10/04,Conditional Support,2017/11/01,Not stated
3,2017/11/02,ACSA,"Professional Project
Management Services",Arup (Pty) Ltd,Additional costs incurred,10 386 457.84,11 515 460.87,0.00,2017/10/18,Not supported,N/A,N/A
4,2017/11/24,AirChefs,Procurement services,South African Strategic Sourcing,Expansion of scope,423 000.00,391 125.00,0.00,2017/11/21,Not supported,2017/12/01,2018/03/31
5,2017/11/28,BANKSETA,Head Office Lease,Redefine Properties,"The extension is in line with the
BANKSETA operating licence.",2 544 624.00,2 323 268.00,0.00,2017/11/27,Supported,2018/02/28,2020/03/31
6,2017/11/07,Basic Education,EU SPSP projects,Not stated,"Project managers indicated that
they would not be able to
conclude their project activities by
30 September 2017",Not stated,Not stated,Not stated,2017/11/02,Not supported,Once-Off,Once-Off
7,2017/10/30,Basic Education,"Construction of 3 schools in
KZN (ASIDI)",Adopt a School Foundation,Remedial Construction work,47 774 160.00,15 808 000.00,9 355 760.00,2017/10/25,Supported,2017/10/30,Once off
8,2017/11/06,Bloem Water,"Supply and installation of Steel
line with Denso Butyl primer,
Butyi mastic, S43 Butyi and R23
outer wrap with both tapes 55%
overlap",SixMD Projects,"Item of wrapping was omitted on
the original Bill of Quantities",595 803.64,173 868.50,0.00,2017/11/06,Not supported,Once-Off,Once-Off
9,2017/06/02,Bloem Water,Registration of Servitude,Mhlokonyo Attorney Contract,"Additional surveys needed to be
done",24 576.44,12 871.00,6 509.25,2017/06/01,Not supported,Once-Off,Once-Off
10,2017/09/20,Bloem Water,"Construction monitoring service
for Bulk water supply project",Nala Consulting,"The contractor was encountering
cash flow problems",1 298 687.50,1 316 448.00,531 000.00,2017/09/20,Not supported,2015/04/28,2017/08/28
11,2017/10/25,CETA,Network services,EOH Mthombo (Pty) Ltd,To avoid service disruptions,2 391 423.28,2 532 000.00,0.00,2017/10/17,Not supported,2018/04/01,2020/03/31
12,2017/11/28,Compensation Fund,"Provision of hygiene and pest
control services",Kusile Hygiene N' Industrial,Continuity of service,109 147.77,109 147.77,0.00,2017/11/20,Conditional support,2017/12/01,2018/02/28
13,2017/11/22,Cooperative Governance,Membership subscription fee,Municipal IQ,Annual renewable membership,299 000.00,299 000.00,0.00,2017/11/17,Supported,Not stated,3 years
14,2017/10/02,CPSI,Fix line voice service,X-DLS Networking Solutions,Continuity of service,107 924.94,6 029.46,43 030.63,2017/9/29,Supported,2017/10/01,2017/12/31
15,2017/10/06,Defence,Travel agency services,Travel With Flair,Competitive bid in progress,3 500 000.00,1 328 188.56,0.00,2017/11/21,Conditional support,2017/10/26,2018/02/28
16,2017/10/19,Ditsong Museum,Placement of the CFO,Deloitte,Continuity of service,73 000.00,10 678.00,32 022.72,2017/10/18,Not supported,2017/11/01,2017/11/30
17,2017/11/22,DLCA,"Provide NCD forms for
production of driving licence
card","Combination Printers and
Projects CC",Continuity of services,1 748 760.00,0.00,0.00,2017/11/20,Not supported,2016/11/09,2017/11/20
18,2017/10/06,Environmental Affairs,"To manage the development
and implementation of the value-
added industries programme","Forest Fire Association Operation
(Pty) Ltd T/A Working on Fire
(Pty) Ltd",Continuity of Service,48 332 110.00,5 200 000.00,0.00,2017/10/04,supported,2017/10/03,2018/09/30
19,2017/11/02,ESKOM,"Construction of waste water
treatment plant",Tubular Zamani,Delays in providing access to site,131 681 936.89,70 493 167.80,155 038 578.50,2017/10/01,Conditional support,2018/04/01,2018/06/30
20,2017/10/26,ESKOM,"Permanent Railway Line for
Majuba Power Station",Aveng Africa (Pty) Ltd,Continuity of services,573 119 300.28,81 032 153.42,38 594 427.00,2017/08/29,Conditional support,Not Stated,7 months
21,2017/11/07,ESKOM,"Travelling wave locator system
on transmission lines to the
transmission division on an as
and when required basis",H.V Test (Pty) Ltd,Competitive bid in progress,15 097 619.70,4 309 151.81,2 220 598.16,2017/10/11,Conditional support,Not Stated,Not Stated
,,,Expansions Quarter 3: October - December 2017,,,,,,,,,
,Date Received,Department / Entry,Project Description,Supplier,Reason for Extension,"Original Contract
Value","Value of Contract
Extension","Value of Previous
Extensions","Award /
Recommendation Date",Support Status,Contract Start Date,Contract End Date
22,2017/12/13,ESKOM,"Rehabilitation of civil items at
First Falls, Second Falls and
Collywobbles dams that feed
Eskom owned related hydro
stations situated in the Eastern
Cape Province.","Surface Preparations Equipment
and Coatings (Pty) Ltd","Delays caused by weather
conditions",27 714 925.81,0.00,0.00,2017/12/13,Conditional support,Not Stated,7 Months
23,2017/10/18,ESKOM,Security Services,Born to Protect,Continuity of services,15 605 942.86,6 436 211.46,43 558 206.59,2017/10/18,Conditional support,2018/01/01,2018/03/30
24,2017/11/10,Eskom,"Conservacy Tanks at Kusile
Power Station",Moreki Distributors,Continuity of service,8 228 000.00,15 444.00,0.00,17/12/2017,Conditional support,2017/12/01,2018/11/30
25,2017/11/10,Eskom,"Supply, Cleaning and servicing
of chemical toilets including
unirals at Kusile Power Station",Moreki Distributors,Continuity of service,30 411 700.00,62 499 000.00,0.00,2017/11/10,Conditional support,2017/12/01,2018/11/30
26,2017/10/20,Eskom,"Site cleaning services at Kusile
Power Station","Bravo Guzubane Youth Co-
Operative Limited",Continuity of service,10 245 214.00,14 746 471.00,3 878 073.00,2017/10/19,Conditional support,2017/10/27,2018/10/25
27,2017/11/20,Eskom,"Medium and Low Pressure
Valves and Valves Spares","Ainsworth Diagosys JV, Ithuba
Valves and Industrial Suppliers
CC, Mitech Mokoena JV &
Zenzele Premier JV",Continuity of service,78 329 552.00,166 823 975.00,54 846 471.00,2017/11/20,Conditional support,2017/11/02,2018/03/31
28,2017/11/28,Eskom,Western Cape Operating Unit,"Gordian Fence sa (Pty) Ltd and
Afriwire",Continuity of service,16 666 666.00,7 500 500.00,14 914 057.00,2017/11/28,Conditional support,2017/12/04,2018/03/03
