5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2018/2019 QUARTER 3 (OCTOBER - DECEMBER 2018) REPORT- EXPANSIONS,,,,,,,,,,,
Number,"Entity/Department
(Use dropdown
List)",Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/recommend
ed by AO/ AA","Not supported/Not
supported/Conditional
supported (Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,Agricultural SETA,Upgrade of the Siemens HiPath and PABX system,Barmazel,Increase in the number of employees,"99,316.80","78,000.00",0.00,2018/11/12,Supported,2018/04/01,2020/03/31
2,Airport Company South Africa,"Consultancy services for new domestic arrivals at Cape Town
airport",Various consultants,Growth necessitated an expansion of the airport,"980,000,000.00","692,356,822.00",0.00,2018/10/24,Conditional support,Not indicated,Not indicated
3,Amatola Water Board,Construction of Police Band Outfall Sewer.,Mpumalanga Construction,"Including 131m from Noewood Outfall sewer,
additional scope caused by delays due to land
access issue","53,643,428.00","3,738,725.49","4,992,283.87",2018/10/11,Not supported,Not stated,Not stated
4,Basic Education,Professional Conference Organiser,Travel with Flair,Unexpected delays in the procurement process,"19,032,818.00","1,136,470.45","2,454,063.00",2018/11/23,Conditional support,Not stated,Not stated
5,Bloem Water,Ductile Iron Pipeline,Razzmatazz,Continuity of service,"70,145,059.71","8,522,654.60","19,964,637.70",2018/11/01,Conditional support,Not stated,Not stated
6,Broadband Infraco,Provision of office accomodation,Keenland Investments 125,Continuity of service,"636,866.58","1,082,020.06",0.00,2018/11/29,Supported,2018/12/01,2021/11/30
7,Broadband Infraco,Provision of office accomodation,Business Connexion,Continuity of service,"4,586,268.58","352,049.45","7,049,472.34",2018/11/29,Not supported,2018/12/01,2019/11/30
8,Broadband Infraco,Lease of office accomodation - Parklands and Bryanston,Internet Solutions,Continuity of service,"3,547,537.00","3,235,410.00",0.00,2018/12/12,Closed,2019/01/24,2022/01/23
9,Broadband Infraco,"Selection and Provision of headhunting placement of a Chief
Sales and Marketing Officer",Mindcor Executive Search,Continuity of service,517 500.00,"185,220.05",0.00,2018/12/19,Closed,From date of approval,Once off
10,"Community Scheme Ombud
Service",Extension of ICT managed services contract,"Black Movement IT Solutions and
marketing",Competitive bid in progress,"83,530.00",Not stated,0.00,2018/10/08,Not supported,2018/10/12,2019/04/11
11,"Construction Education Training
Authority",Insurance services,Kunene Makopo Risk Solutions,Additional vehicle procured,"622,099.92","136,466.67",0.00,2018/12/05,Supported,2018/04/01,2020/03/31
12,"Construction Education Training
Authority",Insurance on vehicles,Kunene Makopo Risk Solutions,Additional vehicles procured,"622,099.92","46,799.20","136,466.67",2018/12/13,Not supported,2019/01/01,2020/03/31
13,"Construction Education Training
Authority",For unified e-mail management services,Galix Networking,Additional users,"470,849.37","153,850.10",0.00,2018/11/30,Supported,2018/03/01,2020/02/29
14,"Construction Industry Development
Board",To provide temporary resources,Dante Personnel Recruitment,CIDB is in the process of recruiting,"91,080.00","30,360.00","13,800.00",2018/11/12,Supported,2018/11/15,2018/12/16
15,"Construction Industry Development
Board",Hosting and internet services,TELKOM SA,Agreement between SITA and CIDB,"6,853,327.83","2,880,000.00","4,856,890.00",2018/10/24,Supported,2018/11/01,2019/10/31
16,"Construction Industry Development
Board","Provision of an integrated IP based VOIP, centrally managed
telephone solution","Nashua ECN (Pty) Ltd T/A Panasonic
Business Solution",Agreement between SITA and CIDB,"2,567,473.27","900,000.00","287,847.44",2018/10/26,Supported,2018/12/01,2019/11/30
17,Cooperative Governance,Urban Conference,Forum Company,Additional delegates,"439,852.00","161,966.00",0.00,2018/10/29,Supported,2018/10/30,2018/10/31
18,Council for Medical Schemes,"Drafting of Social Responsibility & Ethics Policy including training
for the Council",Peter Goss (Pty) Ltd,Continuation of work and alignment,"140,000.00","50,000.00",0.00,2018/11/22,Supported,Not stated,Not stated
19,Council for Medical Schemes,Additional Security Officer for the day shift,Perfect Solution Security,Eliminate risk for staff and visitors,"345,910.00","R 80,159.00",0.00,2018/09/26,Supported,Not stated,Not stated
20,Council of Geoscience,Hazmat deep cleaning of all D block building floors,Spilltech,Emergency procurement method,"616,987.87","247,970.00",0.00,2018/09/26,Noting,Once off,Once off
21,"Culture Arts Tourism Hospitality
and sports SETA",Provision of the wide area network and IP Telephony services,Vodacom,Procurement process to be finalised,0.00,"600,000.00",0.00,2018/10/29,Not supported,2018/11/01,2019/01/30
22,"Culture Arts Tourism Hospitality
and sports SETA","For the support on the integrated financial management
systemand financial solutions",Solugrowth,"The bid had to be cancelled due to incorrect
information on the advertisement of the bid",0.00,"1,590,063.60",0.00,2018/09/26,Conditional support,2018/10/01,2020/03/31
23,"Department of Environmental
Affairs",DNA Barcoding,University of Johannesburg,Single source procurement method,"4,789,232.65","9,733,159.28",0.00,2018/08/07,Supported,2019/01/03,2022/01/02
24,"Department of Environmental
Affairs",Provision of Artisan Programmes,Various suppliers,Certification is granted after 3 years,"78,577,664.00","159,371,023.19",0.00,2018/09/26,Supported,2018/12/01,2021/02/27
25,"Department of Environmental
Affairs",Provision of additional projects,Nelson Mandela University,Single source procurement method,"734,200.00","8,500,000.00",0.00,2018/10/02,Supported,2018/10/05,2020/10/04
26,"Department of Environmental
Affairs",Transport 110 volunteers,Faith CP Projects,"Permit challenges with taxi associations in the
area","9,490.00","6,310.00",0.00,2018/10/18,Noting,Once off,Once off
27,"Department of Environmental
Affairs",Increase in the scope of work- Aquaculture sea,CSIR,Single source procurement method,"450,341.40","630,430.00",0.00,2018/10/11,Closed,2018/11/21,2019/06/20
28,"Department of Environmental
Affairs",Hosting of the biodiversity economy stakeholder meeting,Hilton Hotel,Due to international coverage,"21,674.00","3,627.00",0.00,2018/09/19,Closed,2018/07/26,2018/07/29
29,"Department of Environmental
Affairs",System maintenance and support services,Business Connexion (Pty) Ltd,Expansion of the scope of work,"6,545,346.57","3,718,023.40","524,089.24",2018/09/26,Not supported,2018/10/01,2021/09/30
30,"Department of Environmental
Affairs",To extend various contracts,"Cleanhet Academy; Zama Training &
Development; The Pyramid
Conference & Venue Centre; African
Skills Private College; M2 Engineering
Academy and HTA Training &
Development","QTCO will only accredit qualifications that run
over a three year period","78,577,664.00","159,371,023.19",0.00,2018/09/26,Closed,2018/12/01,2021/02/27
Number,"Entity/Department
(Use dropdown
List)",Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/recommend
ed by AO/ AA","Not supported/Not
supported/Conditional
supported (Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
31,"Department of Environmental
Affairs","Expansion of scope - Hosting of the BRICS environment working
group","South African National Botanical
Institute",Increase in the number of delegates from 40 to 60,"49,500.00","21,000.00",0.00,2018/10/11,Closed,2018/05/14,2018/05/16
