,,,,,,,,,,
"GOVERNANCE, MONITORING AND COMPLIANCE: 2019/2020 QUARTER 3 (OCTOBER - DECEMBER 2019) REPORT - EXPANSIONS",,,,,,,,,,
Number,"Entity/Department
(Use dropdown
List)",Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,"Value of previous
extensions","not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,"Agricultural Sector Education and
Training Authority",ICT Services,Solugrowth (Pty) Ltd,Continuity of service,"3 4,125,715.00","3 ,808,898.68","1 8,028,373.00",Supported,2020/04/01,2021/03/31
2,Airports Company South Africa,"Supply, support and maintenance of IT network connectivity, IP telephony
and IT network security service",Sizwe Africa IT Group (Pty) Ltd,Continuity of service,"115,979,772.65","16,889,228.86",0.00,Conditional support,2019/12/01,2020/05/31
3,Airports Company South Africa,"Provision of Passenger Perception Data Collection, Service Excellence
Perception Surveys and Commercial Infrastructure observation",Ratile Research (Pty) Ltd,Continuity of service,"2,999,363.43","494,895.00",0.00,Supported,2019/12/01,2019/12/31
4,Airports Company South Africa,"The supply, maintenance, management and support of IT Workplace
service",Stortech Technology (Pty) Ltd,Continuity of service,"61,273,948.00","17,696,853.23",0.00,Conditional support,2020/03/01,2020/03/30
5,Airports Company South Africa,"Architectural and Design Service for the Office Reconfiguration Project at
Cape Town International Airport",EHH Architects,"Continuity of service and increase in work cost
estimates","4,134,657.72","2,250,190.01",0.00,Not supported,Not Stated,Not Stated
6,Airports Company South Africa,"Transformation services relating to the Office Reconfiguration Project at
Cape Town International Airport",Ramcon CC,"Continuity of service and increase in work cost
estimates","372,120.00","78,582.00",0.00,Not supported,Not Stated,Not Stated
7,Airports Company South Africa,"Project Management Service for Office Reconfiguration Project at Cape
Town International Airport",Ramcon CC,"Continuity of service and increase in work cost
estimates","784,170.00","992,783.33",0.00,Not supported,Not Stated,Not Stated
8,Airports Company South Africa,"Quantity Surveying Services relating to the Office Reconfiguration Project
at Cape Town International Airport",MR QS,"Continuity of service and increase in work cost
estimates","522,741.25","581,866.03",0.00,Not supported,Not Stated,Not Stated
9,Arts and Culture,Commemoration of the legacy of Dr. J.L. Dube,Risimati Consulting (Pty) Ltd,Continuity of service,"25,746,115.96","10,443,437.91",0.00,Supported,Not Stated,Not Stated
10,Art-scape,Catering services,Fedics (Pty) Ltd,Bid process not concluded,0.00,0.00,0.00,Not supported,2019/12/01,2020/03/31
11,Basic Education,Implementation of SAFE Initiative,"National Education Collaboration Trust
(NECT)","Capacity and capability to perform as an
Implementing Agent",0.00,0.00,0.00,Conditional support,Not Stated,Not Stated
12,Brand SA,Provision of legal services,Advisory Fluidrock,Expansion of scope,"1 5,525.00","1 5,525.00",0.00,Supported,Once off,Once off
13,Brand SA,Legal services,MT Silinda and Associates,Variation of order,"5 00,000.00","4 49,915.00",0.00,Supported,2018/11/16,2019/07/17
14,Broadband Infraco SOC,Lease agreement - Swaziland Border,Mahamba Boerdery BK,Continuity of service,"1 31,832.00","1 37,537.47",0.00,Supported,2019/11/01,2024/10/31
15,Broadband Infraco SOC,Lease of piece of Land: 10m x 10m,Stephanus Nel,Continuity of service,"3 1,165.44","1 10,034.34","105,465.89",Supported,2019/11/01,2024/10/31
16,CCMA,Extension of lease agreement - Port Shepstone,The Chambers Property Holding CC,Continuity of service,"4,115,950.00","662,508.88",0.00,Supported,2019/08/01,2020/07/31
17,CCMA,Lease agreement - Tzaneen,Reality 1 Rentals,Continuity of service,"1 29,779.10","2 22,605.28","208,042.32",Supported,2019/12/01,2020/11/30
18,CCMA,Lease agreement of office accomodation- East London,Border Remedies,Continuity of service,"1 1,327,921.81","2 ,216,997.60",0.00,Supported,2020/02/01,2020/12/31
19,CCMA,Lease agreement of office accomodation- Bloemfontein,Michael Family Trust,Continuity of service,"2 3,086,465.31","9 61,675.38","3,830,210.64",Supported,2020/03/01,2020/05/31
20,CCMA,Lease agreement of office accomodation- Ekurhuleni,City Properties,Continuity of service,"2 0,917,007.89","5 ,184,082.20",0.00,Supported,2020/06/01,2021/05/31
22,"Civilian Secretariat for Police
Service",Travel Management Services,Travel With Flair,Continuity of service,"2 3,877,501.00","3 ,000,000.00","7,000,000.00",Supported,2020/01/01,2020/03/31
23,"Construction Industry
Development Board",Facilitation of the joint National Stakeholders Forum,Plus 94 Research,Continuity of service,171 120.00,67 160.00,0,Not supported,2019/09/13,2019/09/13
24,"Construction Industry
Development Board",Appeal:Additional facilitation of the Joint Natonal Skakeholder forum,Plus94 Research,Continuity of service,"171,120.00","67,160.00",0.00,Not supported,Not Stated,Not Stated
25,Council for Geoscience,Provision of canteen services,Nwankumi Development Projects cc,To insource the service,"500,000.00","450,000.00",R 0.00,Not supported,Not stated,Not stated
26,Council for Medical Schemes,Security remedial work on the firewall and VPN configuaration,Information Security Architects (ISA),Urgency procurement method,"3 90,105.81","62,100.00","51,750.00",Supported,Not stated,Not stated
27,"Council for Scientific and Industrial
Research",Access control upgrade,SCW Turnkey,Increase of scope,"7,000,000.00","4,634,038.00",0.00,Supported,Not Stated,Not Stated
28,"Cross Border Road Transport
Agency",Provision of Office Accomodation,Erf 49 Menlyn (Pty) Ltd,Continuity of service,"42,263,086.00","2,062,962.00",0.00,Supported,2020/02/01,2020/03/31
29,DBSA,Professional services,Various service provider,Continuity of service,"7 4,775,077.04","1 3,928,380.87","32,928,380.87",Within AA mandate,2019/10/01,2020/03/31
30,DBSA,Development of single and integrated Revenue Management Framework,Manto Management,Continuity of service,"2 ,567,124.00","4 ,052,004.00",0.00,Supported,2019/11/30,2020/02/27
31,DPSA,Provision of physical security services,Bophani Security Services,Continuity of service,"4 84,800.00","4 84,800.00","4 84,800.00",Not supported,2020/02/01,2020/08/31
32,DPSA,Provision of incapacity leave and ill-health retirement (PILIR),Various service providers,Continuity of service,"2 45,840,567.05","3 08,635,125.62","144,419,001.84",Supported,Date of approval,2 Years
33,EAAB,Legal Services,Mamathuntsha Attorneys,Increases scope of the case,"500,000.00","114,376.48",0.00,Supported,Not stated,Not stated
34,ECIC,Printer and toner services,Bytes documents solutions,Insufficient funds,"878,724.60","5,161.72","131,808.69",Supported,Not stated,2020/01/31
35,Energy,Lease of storage space for 13 427 solar water heater geysers,"Nuclear Energy Corporation of South
Africa",Delays in the bid process,0.00,"128,143.00",0.00,Not supported,Not Stated,Not Stated
36,Environmental Affairs,"Hosting of the 2nd annual National priority area authority summit for quality
management",Manhattan Hotel,Variation of Order,"24,600.00","4,510.00",0.00,Supported,2019/03/19,2019/03/19
37,Environmental Affairs,Stakeholder Consultation session,Protea Hotel,Variation of Order,"23,550.00","4,550.00",0.00,Supported,2019/08/05,2019/08/05
38,Environmental Affairs,"Conference of the parties to the United Nations convention to combat
desertification (UNCCD COP 14)",Protea Hotel Fire & Ice,Variation of Order,"403,140.00","115,392.25",0.00,Supported,2019/08/07,2019/08/09
39,Environmental Affairs,Provision of accounting services,Middel and Partners Incorporated,Variation of Order,"154,917.54","88,578.44",0.00,Not supported,Not Stated,Not Stated
40,Environmental Affairs,Provision of accounting services,Rossal 98,Variation of Order,"199,400.00","62,031.28",0.00,Not supported,Not Stated,Not Stated
41,Environmental Affairs,IPCC review workshop,Protea Hotel,Variation of Order,"12,200.00","5,700.00",0.00,Supported,2019/08/23,2019/08/23
42,Environmental Affairs,Hosting of the legal educationa and awareness training workshop,"Cape Town International Convention
Centre",Variation of Order,"20,530.02","4,771.79",0.00,Supported,2019/11/08,2019/11/08
43,Environmental Affairs,Training workshop on climate change information system,Hotel Osner,Variation of Order,"55,300.00","8,970.00",0.00,Supported,2019/09/04,2019/09/05
44,Environmental Affairs,Hosting of conference venue for the 5D Lekgotla,Peermont Hotel T/A Emperors Palace,Variation of Order,"135,445.00","30,300.00",0.00,Supported,2019/07/08,2019/07/08
45,Environmental Affairs,Training workshop on climate change information system,"Mercure Hotel T/A Premier Lodge
Nelspruit",Variation of Order,"59,400.00","23,232.00",0.00,Supported,Not Stated,Not Stated
46,Environmental Affairs,"To conclude an investigation on the recruitment and selection frame work
of SANBI",Meridian Specialised Skills Institute,Continuity of service,"72,000.00","52,900.00",0.00,Not supported,Not Stated,Not Stated
47,Eskom,"Application and Support of MeterData Repository, TX MDMS and KSACS
Metering Data Management Support",Nextec (Pty) Ltd,Continuity of service,"13,377,733.58","11,913,528.93",0.00,Conditional support,2019/11/01,2020/10/30
Number,"Entity/Department
(Use dropdown
List)",Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,"Value of previous
extensions","not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
