5.5.2 GOVERNANCE MONITORING AND COMPLIANCE: 2021/2022 QUARTER 3 (16 SEPT - 15 DEC) REPORT EXPANSIONS,,,,,,,,,,,,
Number,"Date Received By
GMC (yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","not supported/not
supported/Conditional
supported
(Use dropdown List)","Award/recommended by AO/
AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
,2021/10/22,"Agricultural Sector Education and Training Authority
(AgriSETA)SETA",ICT Services,Solugrowth,Extension,1 531 227.40,34 125 715.00,29 599 726.50,Not Supported,10/14/2021,12/1/2021,3/31/2022
,2021/12/13,Airports Company South Africa (ACSA),"Additional Baggage Carousel at the ACSA O.R. Tambo International
Airport",KVM Risk Solutions (Pty) Ltd,Business Continuity,958 842.50,830 398.80,377 632.40,Supported,2021/12/10,Not Stated,Not Stated
,2021/9/27,Bloem Water,"Construction of the new bypass 1000mm diameter Steel pipeline
from Leeuwkop Chamber to Brandkop Reservoir",Udumo Trading 26 (Pty) Ltd T/A Ultimate Dynamic,"Extension of Time and Change in design due to
unforseen circumstances",38 066 450.37,359 669 847.95,49 087 444.14,Conditional Support,2021/9/8,Not Stated,Not Stated
,2021/10/6,Broadband Infraco,Office accommodation,CZ Karoo Eiendomme,Extension of lease,222 772.20,153 003.80,222 772.20,Not Supported,4/10/2021,15/05/2019,14/5/2022
,2021/11/24,Broadband Infraco,Office accommodation in Durban for a period of twelve,Keenland Investment 125 (Pty) Limited,Business continuity,"371 744,40","1 054 463,28","0,00",Conditional Support,23/11/2021,12/1/2021,2022/11/30
,2021/11/25,Central Energy Fund SOC Ltd (CEF),Provision of legal services,Mkhabela Huntley Attornerys,Continuation of services,2 564 500.00,1 351 480.00,0.00,Supported,11/25/2021,Not Stated,Not Stated
,2021/10/29,"Commission for Conciliation, Mediation and Arbitration
(CCMA)","Provision of Disaster Recovery as a service (DRAAS) and Backuop
as service (BAAS) for a period of 24 months",SGT Solutions (Pty) Ltd,Business continuity,"2 511 600,00","6 145 912,89","0,00",Supported,26/10/2021,1/1/2022,31/12/2023
,2021/11/18,Council for Geoscience (CGS),airworthiness services (maintenance services),Fly High Aviation,Continuation of services,2 649 134.01,287 416.97,0.00,Not Supported,11/9/2021,Not Stated,Not Stated
,2021/10/28,Council for Scientific and Industrial Research (CSIR),Provision of Short Term Insurance Brokerage Services,Marsh (Pty) Ltd,Variation,23 000 000.00,53 660 608.00,0.00,Closed,5/27/2021,4/1/2018,3/31/2023
,2021/10/28,Council for Scientific and Industrial Research (CSIR),"Management and implementation of the Experiental Training
Programme (ETP) - an annual student's placement training
programme","Southern African Society for Cooperative Education
(SASCE)",Expansion,427 680.00,8 196 363.00,0.00,Not Supported,10/26/2021,6/1/2021,3/31/2022
,2021/12/9,Council for Scientific and Industrial Research (CSIR),Provision of Short Term Insurance Brokerage Services,Marsh (Pty) Ltd,Variation,23 000 000.00,56 415 736.62,0.00,Conditional Support,5/27/2021,4/1/2018,3/31/2023
,2021/10/19,Department of Cooperative Governance (DCoG),Security Services,Wenzile Phaphama Security,Business Continuation,423 836.44,33 769 546.72.,4 955 484.74,Conditional Support,2021/10/19,5 weeks,5 weeks
,2021/11/30,Department of Correctional Services (DCS),Cleaning services,Afriboom (Pty) Ltd,Complete the tender process,481 320.02,1 443 960.06,2 406 600.10,Conditional Support,11/30/2021,12/1/2021,1/2/2022
,2021/10/1,"Department of Environment, Forestry and Fisheries
(DEFF)",To implement the Working on Fire Programmes,Working on Fire,Business continuity,55 000 000.00,350 000 000.00,0.00,Conditional Support,10/1/2021,10/6/2021,1/5/2022
,2021/10/28,"Department of Environment, Forestry and Fisheries (DEFF)",National Environmental Monitors Programmer (NEMP),SANParks,Extension,0.00,195 000 000.00,0.00,Conditional Support,10/27/2021,12/1/2021,3/31/2022
,2021/10/28,"Department of Environment, Forestry and Fisheries (DEFF)",National Environmental Monitors Programmer (NEMP),Isimangaliso,Extension,0.00,86 000 000.00,0.00,Conditional Support,10/27/2021,12/1/2021,3/31/2022
,2021/12/2,"Department of Environment, Forestry and Fisheries (DEFF)",Working on fire programme,Working on Fire,Extension,660 000 000.00,350 000 000.00,165 000 000.00,Conditional Support,12/1/2021,1/6/2022,1/5/2023
,2021/12/14,"Department of Environment, Forestry and Fisheries (DEFF)","Hosting, maintenance and technical support services for the South
African Atmospheric Emissions Licensing & Inventory Portal
(SAAELIP)and the South African Greenhouse
Gas Emissions Reporting System (SAGERS)",EnfoTech & Consulting.,Extension,13 484 015.00,29 459 088.00,0.00,Not Supported,11/11/2021,Not Stated,Not Stated
,2021/9/27,Department of Home Affairs (DHA),Extension of physical guarding services contract for Western Cape,Bamogale Enterprise,Tender process underway,"8 083 698,48","35292052,48","5560975,17",Not Supported,27/9/2021,1/10/2021,31/3/2022
,2021/11/18,"Department of Justice and Constitutional Development
(DoJ&CD)",Cash in transit services,Fidelity Cash Solutions,Complete the tender process,106 786 900.59,16 362 651.64.,14 786 420.19,Not Supported,11/15/2021,11/19/2021,3/31/2022
,2021/9/16,Department of Public Works and Infrastructure (DPWI),"Office accomodation for Department of Investigative Directorate
Independent Police",Mayula Procurement and Property Management,Additional Space Requirement,4 260 421.52,12 562 525.17,0.00,Conditional Support,7/23/2020,11/12/2020,3/31/2029
,2021/10/14,Department of Public Works and Infrastructure (DPWI),"Upgrading of Civil Engineering Services: Lenasia Police Station and
Lenasia Magistrate Court",Mafafo Building Construction and Kgotsong Namukelwe JV,Re-measurements,1 368 739.20,20 741 692.40,3 760 676.18,Not Supported,9/28/2021,Not Stated,Not Stated
