SCM GOVERNANCE MONITORING AND COMPLIANCE: 2020/2021 QUARTER 3 (16 SEPTEMBER 2020 - 15 DECEMBER 2020) REPORT EXPANSIONS,,,,,,,,,,,,
Number,Date Received By GMC (yyyy/mm/dd),"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","not supported/not
supported/Conditional
supported
(Use dropdown List)","Award/recommended by AO/
AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
,2020/12/14,Agrément South Africa,Office Accomodation,"Council for Scientific and Industrial Research
(CSIR)",Contract extension,Not Stated,Not Stated,Not Stated,Conditional Support,2020/12/14,2021/03/01,2024/02/28
,2020/10/29,Air Traffic and Navigation Services (ATNS),Total Airport and Airspace Modeler (TAAM) Fast Time Simulation Software,TAAM,"To finalise reseach and
develop specifications for the
next tender process","7 468 315,56","11 425 284,00",0.00,Supported,2020/10/29,2020/11/16,2022/11/15
,2020/11/23,Air Traffic and Navigation Services (ATNS),Dynamics GP Support,Braintree VOX Telecommunications,New strategy adopted,"1 189 905,00","2 379 810,00",0.00,Supported,2020/11/23,2020/12/03,2021/05/02
,2020/09/21,Airports Company South Africa (ACSA),"Slot Management Solution for the Development, Support and Maintenance
of SCORE",Prolog Development Centre (PDC),"Difficult for users to do slot
coordination optimally and on-
going maintenance is","2 703 293,00","6 468 854,00","720 824,00",Conditional Support,2020/09/21,2021/04/01,2024/03/31
,2020/09/29,Amatola Water,"Professional services implementation Mthatha Bulkwater master plan,
refurbishment of Mathata Thornhill raw water pipeline, upgrading of Mthata
water supply, Thornhill bulk water supply upgrade and rehabilitation and
Rosedale to Libode WSS",Gibb (Pty) Ltd,"Adjust values to be in line with
final construction cost","90 092 303,74","61 877 515,08","329 787 116,17",Not Supported,2020/07/23,Not stated,Not stated
,2020/10/26,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Cafeteria services,The Compass Group,Extension of Contract,"485 599,98",4 868 329.90,971 199.97,Not Supported,2020/10/26,2020/10/01,2021/03/31
,2020/12/10,Brand South Africa,Extension of brand agencies contracts,Various suppliers,Tender process in progress,"15 861 000,00",159 816 990.00,46 810 000.00,Conditional Support,2020/12/08,2021/01/01,2021/03/31
,2020/12/15,Central Energy Fund SOC Ltd (CEF),Provision of legal services,Gildenhyns Malatji Incorporated (GMI),"Senior resource was used to
provide the required services","334 500,00","144 900,00",240 350.00,Not Supported,2020/11/16,Not stated,Not stated
,2020/12/15,"Commission for Conciliation, Mediation and
Arbitration (CCMA)",Extension of lease for office space at Kimberly office,Pniel Road Investments cc / Hostprop 1111cc,Business Continuity,"1 608 408,36",4 377 307.62,"2 141 607,36",Conditional Support,2020/12/15,2021/04/01,2022/03/31
,2020/12/15,"Commission for Conciliation, Mediation and
Arbitration (CCMA)",Extension of lease for office space at Ekurhuleni office,City Property,Business Continuity,"4 948 233,24",20 917 007.89,5 184 082.20,Conditional Support,2020/12/15,2021/04/01,2022/03/31
,2020/12/15,"Commission for Conciliation, Mediation and
Arbitration (CCMA)",Extension of lease for office space at Mbombela Office,Vukile Property Fund,Business Continuity,"694 711,18",2 133 44.50,"1 686 224,67",Conditional Support,2020/12/15,2021/05/01,2022/04/30
,2020/12/15,"Commission for Conciliation, Mediation and
Arbitration (CCMA)",Extension of lease for office space at Bloemfontein Office,Michael Family Trust,Business Continuity,"3 846 701,56",23 086 465.31,"8 638 587,54",Conditional Support,2020/12/15,2021/06/01,2022/05/31
,2020/12/15,"Commission for Conciliation, Mediation and
Arbitration (CCMA)",Extension of lease for office space at East London office,Border Remedies,Business Continuity,"1 656 000,00",11 327 921.81,"2 216 997,6",Conditional Support,2020/12/15,2021/02/01,2022/01/31
,2020/12/15,"Commission for Conciliation, Mediation and
Arbitration (CCMA)",Extension of lease for office space at Polokwane office,Delta Property Fund,Business Continuity,"2 436 115,56",15 059 111.81,"4 383 646,2",Conditional Support,2020/12/15,2021/11/01,2022/10/31
,2020/12/15,"Commission for Conciliation, Mediation and
Arbitration (CCMA)",Extension of lease for office space at Tzaneen office,Reality 1 PG Rentals,Business Continuity,"254 860,77",129 779.10,668 835.25,Conditional Support,2020/12/15,2021/12/01,2022/11/30
,2020/11/09,"Companies and Intellectual Property Commission
(CIPC)",Storage facilities,Iron mountain,"Price change after
appointment","3 950 359,00","39 503 591,00","48 063 837,00",Conditional Support,2020/09/11,22/02/2021,2021/08/21
,2020/11/02,"Construction Education and Training Authority
(CETA)SETA",Head Office Lease Agreement,Slip Knot,Contract extension,"510 837,64",4 831 285.80,766 256.45,Not Supported,2020/10/31,2020/11/01,2021/02/28
,2020/10/29,Council for Geoscience (CGS),"Provision of additional services of heating, ventilation and air condition
(HVAC) system",Amakhaza Moia (Pty) Ltd,Conditional assessment report,"34 957 247,24","41 507 455,78",0.00,Supported,2020/10/29,Not stated,Not stated
,2020/11/25,Council for Medical Schemes (CMS),Provision of Internet Services,Internet Solutions,"Allow time to finalise the
tender process","50 554,00","75 831,00",0.00,Supported,2020/11/19,2020/12/01,2021/01/31
,2020/12/14,"Council for Scientific and Industrial Research
(CSIR)",Scanning Electron Microscope,SPS Scientific Electron Optics,Changes in Rate of Exchange,"736 435,00","2 947 636,10",0.00,Not Supported,2020/12/10,Not Stated,Not Stated
,2020/11/25,"Department of Communications and Digital
Technologies (DCDT)","provision of expertise in the operationalising of information and
communications technology System for the financial 2020/2021",CSIR,Business Continuity,Not Stated,Not stated,Not Stated,Not Supported,2020/09/30,Not stated,Not stated
,2020/09/22,Department of Cooperative Governance (DCoG),Team mate licence,"PricewaterhouseCoopers (Agent) of Wolters
Kluwer Tax",Expansion of scope,"958 596,85","486,554.28",0.00,Conditional Support,2020/09/22,12 months,12 months
,2020/11/30,Department of Cooperative Governance (DCoG),Annual membership subscription,Municipal IQ,Continuation of service,"1 015 000,00",Not stated,Not stated,Supported,2020/10/06,2020/12/01,2023/11/31
,2020/09/24,"Department of Environment, Forestry and
Fisheries (DEFF)","Hosting the convention on international trade in endangered species of
wild Fauna and Flora conference meeting held on 6 November 2019",Fortis Hotel,15% variation of contract,"9 750,00",18 250.00,0.00,Supported,2020/09/24,2019/11/06,2019/11/06
,2020/10/19,"Department of Environment, Forestry and
Fisheries (DEFF)",Hosting the 5D Lekgotla meeting,Saint George Hotel,15% variation of contract,"26 100,00",73 904.00,0.00,Supported,2020/10/16,2020/02/05,2020/02/05
,2020/11/02,Department of Health (DoH),"Managing strategic communication with special focus on Covid-19 and the
NHI",Digital Vibes,"Allow time to finalise the
tender process",Not Stated,"124 015 676,00",Not Stated,Supported,2020/10/29,2020/12/01,2021/03/31
