5.5.2 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 3 REPORT EXPANSIONS,,,,,,,,,,,,,,
EXPANSIONS REPORT,,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Pevious Expansion
[]","not supported/not
supported/Conditional
supported
(Use dropdown List)","Award/recommended by AO/
AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,Q3 2022/23,New,2022/11/04,Armaments Corporation of South Africa Limited,"Supply, installation and commissioning 2X rental chiller unit","Power Compressor Exchange Holdings and Pool
Construction","Service provider will not be able to complete the work
at the stipulated timeframes","R 396 000,00","R 792 000,00",R -,Noting,2022/11/04,2022/03/16,2022/12/30
2,Q3 2022/23,New,2022/12/06,Central Energy Fund SOC Ltd (CEF),"Renewal of the Sage 300 ERP, BPM, VRM and Assetware system licences and provide
support",AccTech System,"This extension is an interim solution while
Procurement runs the process of sourcing a service
provider to renew Sage 300 ERP, BPM, VRM and
Assetware licenses and support","R 352 179,18","R 598 353,35",R -,Noting,2022/11/25,2022/12/01,2023/05/31
3,Q3 2022/23,New,2022/09/20,Centre for Public Service Innovation,Point to data connectivity service,Ubuntu Technologies,Single source,"R 82 828,68","R 82 828,70",R -,"Within AA/AO mandate
Noting",2022/09/19,Not stated,Not stated
4,Q3 2022/23,New,2022/11/10,Council for Medical Schemes (CMS),Renewal of lease agreement for a period of 1 year from 1 May 2023,Faerie Glen Waterpark,"Extension of contract while finalising the procurement
process","R 15 299 608,32","R 101 136 898,01","R 33 309 113,55",Noting,2022/11/09,2023/05/01,2024/04/30
5,Q3 2022/23,New,2022/09/28,Council for the Built Environment (CBE),"Approval granted for a price and period extension of three months for the contract on
Internet Services",X-DSL Networking Solutions (Pty) Ltd,"The CBE is in the process of planning its office
relocation. The contract was extended to ensure that
there are internet services whilst the relocation is
being finalised.","R 33 424,46","R 396 642,84","R 56 670,27","Within AA/AO mandate
Noting",2022/08/03,2022/08/04,2022/11/03
6,Q3 2022/23,New,2022/11/28,"Department of Mineral Resources and Energy
(DMRE)","Render cleaning services, hygiene services, pest/fumigation control and food service aid
in the Gqeberha Regional Office",Upview General Trading,"Procurement process not finalised prior to expiry of
the existing contract","R 59 965,87","R 1 049 403,07","R 149 914,72",Noting,2019/05/22,2019/06/01,2023/04/30
7,Q3 2022/23,New,2022/11/28,"Department of Mineral Resources and Energy
(DMRE)","Render cleaning services, hygiene services, pest/fumigation control and food service aid
in the Kimberley Regional Office",Randgate Fleet Management,"Procurement process not finalised prior to expiry of
the existing contract","R 102 336,38","R 1 400 200,01","R 255 840,96",Noting,2019/05/22,2019/06/01,2023/04/30
8,Q3 2022/23,New,2022/11/28,"Department of Mineral Resources and Energy
(DMRE)","Render cleaning services, hygiene services, pest/fumigation control and food service aid
in the North West Regional Offices",Randgate Fleet Management,"Procurement process not finalised prior to expiry of
the existing contract","R 109 551,23","R 1 836 646,50","R 275 373,08",Noting,2019/05/22,2019/06/01,2023/04/30
9,Q3 2022/23,New,2022/11/28,"Department of Mineral Resources and Energy
(DMRE)","Render cleaning services, hygiene services, pest/fumigation control and food service aid
in the Polokwane Regional Office",Calvary Cleaning Services,"Procurement process not finalised prior to expiry of
the existing contract","R 65 442,82","R 1 145 249,53","R 163 607,05",Noting,2019/05/22,2019/06/01,2023/04/30
10,Q3 2022/23,New,2022/11/28,"Department of Mineral Resources and Energy
(DMRE)","Render cleaning services, hygiene services, pest/fumigation control and food service aid
in the Springbok Regional Office",Samagaba Cleaning Services,"Procurement process not finalised prior to expiry of
the existing contract","R 35 691,20","R 536 935,60","R 89 228,01",Noting,2019/05/22,2019/06/01,2023/04/30
11,Q3 2022/23,New,2022/11/28,"Department of Mineral Resources and Energy
(DMRE)","Render cleaning services, hygiene services, pest/fumigation control and food service aid
in the Welkom Regional Office",Calvary Cleaning Services,"Procurement process not finalised prior to expiry of
the existing contract","R 71 471,84","R 1 250 757,40","R 178 679,65",Noting,2019/05/22,2019/06/01,2023/04/30
12,Q3 2022/23,New,2022/11/28,"Department of Mineral Resources and Energy
(DMRE)","Render cleaning services, hygiene services, pest/fumigation control and food service aid
in the Witbank Regional Office",Calvary Cleaning Services,"Procurement process not finalised prior to expiry of
the existing contract","R 70 821,18","R 1 239 370,70","R 177 052,96",Noting,2019/05/22,2019/06/01,2023/04/30
13,Q3 2022/23,New,2022/12/15,Department of Science and Innovation (DSI),"Approve the payment of additional costs anticipated by Meeting Planners International
(MPI amounting to R1 289 000",Meeting Planners International (MPI),"Due to increased number of delegates which resulted
in additional management fees among others.","R 1 289 000,00","R 4 950 197,03",R -,"Within AA/AO mandate
Noting",2022/09/16,2022/11/11,2023/06/30
14,Q3 2022/23,New,2022/10/12,"Department of Sports, Arts and Culture (DSAC)",Maintenance and support on asset management system,Kreston SA Pretorian,"Estimated amount bfor Maintemanve support was not
included in the SLA between DSAC and Kreston SA","R 59 800,00","R 407 906,00",R -,"Within AA/AO mandate
Noting",2022/10/03,2021/12/01,2024/11/30
15,Q3 2022/23,New,2022/10/26,"Department of Sports, Arts and Culture (DSAC)",Support for Silape welness programme,Indingliz Advertising and marketing,"Additional funds due to inclusion of athletes to the
programme due to merger of Department of Arts and
Culture and Sport and recreation","R 2 236 935,00","R 14 912 901,00",R -,"Within AA/AO mandate
Noting",2022/10/21,2020/11/01,2023/10/30
16,Q3 2022/23,New,2022/11/25,Department of Transport (DOT),Development of a public Transport Subsidy Policy,Future of Transport Consulting,"Reappointment of Future of Transport Consulting to
develop a public Transport subsidy Policy at no cost
with the remaining budget of R469 966.61","R 468 966,61","R 4 203 427,91",R -,Noting,2022/09/14,2022/09/23,2023/04/30
17,Q3 2022/23,New,2022/11/25,Department of Transport (DOT),Development of the White Paper on National Rail Policy and the National Rail Bill,RCS-SMEC-MNS,"Cost extension of current contract for a period of five
months due to an increase in the scope of work which
amounts to 9.7% variation of the original contract price","R 1 032 516,00","R 10 600 000,00",R -,Noting,2019/03/18,2022/08/25,2022/12/31
18,Q3 2022/23,New,2022/12/15,Department of Transport (DOT),"Guarding Security Services to the Department of Transport for the period of four (4)
months",Eldna Security Services,"The Current Contract will expire before a new bidding
process is concluded, extending the current contract
will allow sufficient time to conclude the new
competitive bidding process.","R 1 116 775,00","R 5 727 352,50",R -,Noting,22/09/2022,30/09/2022,31/01/2023
19,Q3 2022/23,New,2022/11/25,Department of Transport (DOT),"To render guarding security services to the Department of Transport for the period of four
months",Eldna Security Services,"The current contract will expire before a new bidding
process is concluded, extending the current contract
will allow enough time for a competitive bidding
process.","R 1 116 775,00","R 5 727 352,50",R -,Noting,2022/09/22,2022/09/30,2023/01/31
20,Q3 2022/23,New,2022/11/25,Department of Transport (DOT),"Variation of additional of four hours for consultation services to complete the review of
the Firewall rules Audit Project",Syrex (Pty) Ltd,"The outstanding work needs additional four hours to
conclude the firewall rules review project","R 5 750,00","R 553 076,85",R -,Noting,2022/08/30,Not stated,Not stated
21,Q3 2022/23,New,2022/12/15,Department of Transport (DOT),Standby Tug Agreement for Pollution Prevention and Emergency Response,African Marine Solutions (AMSOL),"The new bid DOT/01/2022/MT and
DOT/02/202225/MT was advertised and evaluated.
The Department is as yet not in a position to appoint.
The current contract expired on 30 November 2022. It","R 468 966,61","R 275 880 000,00","R 34 344 186,78",Noting,30/11/2022,30/11/2022,31/05/2023
22,Q3 2022/23,New,2022/10/17,Ditsong: Museums of Africa,"Appointment of a service provider to provide twenty-four hour security service to Ditsong
Museums of South Africa (DMSA) for a period of thirty-six (36) months",Senegal Security,"was extended for six (6) months at a 13.05 %
DMSA is in discussion with DPWI and are considering
working with them for the total facilities management
contract which includes soft services- cleaning and
security. In light of DPWI's agreement for DMSA to","R 9 886 647,83","R 49 185 196,56",R -,"Within AA/AO mandate
Noting",Not Stated,2022/11/01,2023/04/30
23,Q3 2022/23,New,2022/10/17,Ditsong: Museums of Africa,"APPOINTMENT OF INTERNAL AUDITORS TO UNDERTAKE AN AD HOC ASSIGNMENT
/ SPECIAL INVESTIGATION INTO SCM FOLLOWING FROM ALLEGATIONS
CONTAINED IN THE WHISTLEBLOWER REPORT",OMA CHARTERED ACCOUNANTS,"participate in the TFM services, DMSA decided to not
DMSA RECEIVED A WHISTLEBLOWER REPORT
AND THE AD HOC ASSIGNMENT / SPECIAL
INVESTIGATION SEEKS TO DETERMIINE THE
VERACITY OF THE ALLEGATIONS AS THEY","R 200 427,75","R 5 427 860,41",R -,"Within AA/AO mandate
Noting",Not Stated,2022/10/06,Not Stated
24,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,Ash Plant Cleaning for 6 months at Tutuka Power Station,Lesemola Transport and Projects,"RELATE TO SERVICE PROVIDERS WHO MAY
Contract Extension","R 7 776 086,74","R 7 120 680,00",R -,Noting,2022/09/09,2022/06/23,2022/12/12
25,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,Ash Plant Maint Monthly Fixed Cost,African Commodity Handling PRO,Contract Extension,"R 9 329 898,60","R 6 164 262,51","R 2 163 872,48",Noting,2022/10/14,2022/04/01,2022/12/22
26,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,Boiler and Turbine Cleaning at Tutuka Power Station,Lesemola Transport and Projects,Contract Extension,"R 8 624 259,60","R 4 196 522,46",R -,Noting,2022.10.05,2022.04.07,2022.10.06
27,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,Cleaning and gardening services -Groblersdal Zone,Utshalomali Cleaning and Hygiene Solutions (Pty) Ltd,Contract Extension,"R 474 295,06","R 280 684,81",R -,Noting,2022/08/18,2022/08/19,2022/10/18
28,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,Cleaning and gardening services -Lephalale Zone,Utshalomali Cleaning and Hygiene Solutions (Pty) Ltd,Contract Extension,"R 570 375,94","R 162 939,21",R -,Noting,2022/08/18,2022/08/19,2022/10/18
29,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,Cleaning and gardening services -Polokwane Zone,Utshalomali Cleaning and Hygiene Solutions (Pty) Ltd,Contract Extension,"R 776 406,93","R 86 988,75",R -,Noting,2022/08/18,2022/08/19,2022/10/18
30,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,Cleaning and gardening services -Thohoyandou Zone,Utshalomali Cleaning and Hygiene Solutions (Pty) Ltd,Contract Extension,"R 596 158,50","R 106 927,88",R -,Noting,2022/08/18,2022/08/19,2022/10/18
31,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,Cleaning and gardening services -Tzaneen Zone,Utshalomali Cleaning and Hygiene Solutions (Pty) Ltd,Contract Extension,"R 493 521,04","R 87 128,39",R -,Noting,2022/08/18,2022/08/19,2022/10/18
32,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,Cooling Towers,Industrial Water Cooling,"Mod to increase quantity and value due to estimation on
contract award not sufficient","R 157 407 495,70","R 32 551 873,79",R -,Noting,2022/10/13,2021/11/19,2025/11/18
33,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,"Engineering and support on the procol P13/P14/PF DCS system on units 1-6 at Arnot Power
Station for the period of 36 months",ABB South Africa (Pty) Ltd,Contract Extension,"R 38 397 662,64","R 7 041 948,02",R -,Noting,2022/10/13,2022/07/01,2025/07/01
34,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,ERE Facilities Management Services (non-technical services) for Aliwal North zone.,Ngqutuka Transport Services,"Allow time to follow tendering process effectively to
establish a new contract","R 8 840 599,84","R 1 199 863,84","R 741 983,51",Noting,2019/05/02,2019/06/01,2023/03/31
35,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,ERE Facilities Management Services (non-technical services) for East London zone,Nozinga Group (Pty) Ltd,Allow sufficient time to follow tendering process,"R 18 031 654,33","R 2 468 959,44","R 574 763,14",Noting,2019/04/04,2019/05/03,2023/03/31
36,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,Facilities Management in Empangeni,Amile Projects (Pty) Ltd,Include the Newcastle Sites,"R 15 739 253,13","R 4 166 893,32",R -,Noting,2021/10/08,2021/10/08,2024/09/30
37,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,Facilities Management in PMB,Tefla Group (Pty) Ltd,Include the Area Offices Sites,"R 15 425 612,15","R 8 544 696,83",R -,Noting,2021/11/11,2021/11/11,2024/11/11
38,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,Home work home transport for employees,Naremotho Trading Enterprise CC,Modification 1,"R 2 072 508,48",R -,R -,Noting,2022.06.06,Not stated,Not stated
39,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,Home work home transport for employees,Naremotho Trading Enterprise CC,Modification 1,"R 15 966 713,00","R 4 400 000,00","R 2 072 508,48",Noting,2022/06/06,2018/09/01,2023/08/31
40,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,Kendal Power Station Transportation of Coarse Ash,Mphegolle Trading Enterprise (Pty) Ltd,Additional Time and Value,"R 15 657 772,57","R 11 417 000,00",R -,Noting,2022/10/12,2022/08/01,2023/06/30
41,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,Maintenance of the Blowdown Compressors at Ingula Pumped Storage Scheme,Stocklog,Business Continuity,"R 8 294 227,44","R 10 665 593,79","R 1 210 174,51",Noting,2020/09/22,2020/09/22,2020/09/30
42,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,"Provision of office moves and services at Megawatt Park (MWP), Lobedu,ERIC building in
Rosherville and Eskom Academy of Learning (EAL",I Moves SA (Pty) Ltd,"Modification 1, to increase value","R 1 381 528,80","R 2 181 528,80",R -,Noting,04.05.2022,05.05.2022,04.05.2025
43,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,Provision of QS Services for period of 12 months,Nelvic Projects,Contract Extension,"R 844 800,00","R 352 000,00",R -,Noting,2022/10/18,2021/11/01,2023/04/01
44,Q3 2022/23,New,2022/12/15,Eskom SOC Limited,"The Provision of maintenance for the perimeter intrusion monitoring system in and around the
Koeberg Owner controlled area at Koeberg Operating Unit",Reutech (Pty) Ltd,Contract Extension,"R 6 200 159,00","R1 518 865,00",R -,Noting,2022/10/31,2017/11/01,2023/10/31
45,Q3 2022/23,New,2022/12/13,Financial Intelligence Centre,"Request for approval for the extension of the Microsoft Enterprise agreement for Azure
services for a period of three years from 1 June 2025 to 31 May 2028",Microsft,"To allow the FIC to adopt a cost-effective approach to
acquire and implement additional services as and
when required for periods of three years.",R -,R -,R -,"Within AA/AO mandate
Noting",2022/12/01,TBC,TBC
46,Q3 2022/23,New,2022/12/13,Financial Intelligence Centre,"Request for approval for the extension of the panel of service providers for professional
services, project management, enterprise architecture and information and
communications technology for a period of 12 months from 27 February 2023 to 26
February 2024",Various Suppliers,"To allow service providers that have been appointed
for critical projects that are running currently and are
anticipated to be finalised beyond the current panel
duration, to continue in this position",R -,R -,R -,"Within AA/AO mandate
Noting",2022/12/01,TBC,TBC
47,Q3 2022/23,New,2022/12/13,Financial Intelligence Centre,"Request for approval for the extention of the contract of Intellehub for the solutions
architect for a period of one year for phase 2 of the Line of Business (LOB) solutions
modernisation programme",Intellehub,"For a smooth continuation of these services, the
contractof Intellehub must be extended for one year to
secure the services on the basis thatMr Dzebu will
provide these services","R 2 313 000,00",R -,R -,"Within AA/AO mandate
Noting",2022/12/02,TBC,TBC
48,Q3 2022/23,New,2022/12/13,Financial Intelligence Centre,"Request for the Bid Adjudication Committee to recommend the extension of the 21st
Century contract period with twelve months for web-based national salary survey with no
additional financial implications",21st Century,"The FIC signed a contract with 21st Century in
December 2021, to provide web-based national salary
survey for a period of twelve months. Upon the
payment stage it was noted that the amount on the",R -,R -,R -,"Within AA/AO mandate
Noting",2022/12/05,TBC,TBC
49,Q3 2022/23,New,2022/11/18,Financial Intelligence Centre,"Request for variation of cost for the Mondtes Holdings contract to provide payroll
services for the Financial Intelligence Centre",Mondtes Holdings,"contract is not aligned to the pricing conditions as
To allow the procurement process to be finalised","R 193 459,04","R 454 132,25","R 208 016,49","Within AA/AO mandate
Noting",2022/10/27,TBC,TBC
50,Q3 2022/23,New,2022/12/13,Government Pensions Administration Agency,Provision of multiprotocol label switch services (MPLS),MTN Business,"tender process is underway, through SITA","R 60 205 103,39","R 32 380 923,34","R 50 689 314,28","Within AA/AO mandate
Noting",28/10/2022,2022/01/11,31/10/2024
