Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,"Value of previous
extensions","Award/recommend
ed by AO/ AA","supported/not
supported/Conditional
support","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd)
1,"African Explaration Mining and
Finance Corporation (AEMFC)","Conducting tender process review for tenders from
R10 million",PricewaterhouseCoopers,Additional scope of work,"255,369.00","244,631.00",0.00,2019/03/11,Not supported,Not stated,Not stated
2,Agricultural Research Council,Supply NRA extraction kits,AEC Amersham,Change of scope,"12,530.00","5,026.00",0.00,2019/02/01,Supported,Not stated,Not stated
3,"Air Traffic Navigation Services SOC
Ltd",Professional Services variation,"Naren Mistry Architects CC T/A The
Creative Axis Architects",Scope not included,"2,038,000.00","9,499,880.46",Not stated,2019/03/11,Supported,Not stated,Not stated
4,Arts and Culture,"Ms Winnie Madikizela Mandela brandfort museum
project",Risimati Consulting Engineers,Expansion of scope,"1,926,705.81","2,964,420.64","1,600,157.00",2019/02/01,Within AA/AO mandate Noting,Not stated,Not stated
5,Basic Education,Professional Conference Organiser,Travel with Flair,"To allow department to finalise the
tender process","19,032,818.00","2,272,940.89","2,454,063.00",2019/02/28,Supported,2019/03/01,2019/04/30
6,Basic Education,"Conducting condition assessment for the provision of
sanitation facilities in schools",BTKM,Emergency programme,"46,639,100.00","74,704,195.50","475,475,422.21",2019/03/06,Not supported,Not stated,Not stated
7,Broadband Infraco,"Leasing of fibre and supporting infrastructure for
national long distance",Transnet Freight Rail,Continuity of service,"32,199,846.65","27,704,461.20",0.00,2019/03/27,Supported,2019/04/01,2021/03/31
8,Broadband Infraco,"Leasing of fibre and supporting infrastructure for
metro",Transnet Freight Rail,Continuity of service,"14,272,945.28","11,318,455.23",0.00,2019/03/27,Supported,2019/04/01,2021/03/31
9,Broadband Infraco,"Synchronous transfer module level 1 lines for
schedule C",Transnet Freight Rail,Continuity of service,"15,009,185.91","11,902,294.79",0.00,2019/03/27,Supported,2019/04/01,2021/03/31
10,CCMA,Office accommodation for the entity in Bloemfontein,Michael Family Trust,"Allow business continuity while tender
processes are underway","23,086,465.31","3,830,210.64",0.00,2019/01/23,Conditional support,2019/03/01,2020/02/28
11,CCMA,Office accommodation for the entity in Welkom,"Barbour & Thorne Property
Professionals","Allow continuation of work to finalise
tender process","2,365,140.35","643,930.85","303,741.00",2019/02/11,Supported,2019/03/01,2020/02/28
12,CCMA,Office accommodation for the entity in Mbombela,Vukile Property Fund Limited,"Allow continuation of work to finalise
tender process","2,133,440.50","698,328.86","296,183.52",2019/02/20,Supported,2019/05/01,2020/04/30
13,CIPC,Office Premises,SKG Properties,Additional parking and consumables,"1,785,148.00","1,077,913.00",0.00,2019/03/15,Not supported,2019/02/01,2024/01/31
14,"Civilian Secretariat for Police
Service",Travel Management Services,Travel With Flair,"The procurement process is under
review","23,877,501.00","3,500,000.00",0.00,2019/03/27,Supported,2019/04/01,2019/09/30
15,Compensation Fund,Umehluko support and maintenance contract,Rand Mutual Assurance,"Allow continuation of work to finalise
incomplete work and transition","11,310,750.00","39,735,958.20",0.00,2019/01/25,Not supported,2019/05/01,2019/10/31
16,"Construction Education and
Training Authority",Insurance Services,Kunene Makopo Risk Solutions,"CETA had procured additional three
vehicles that were not initially included
as part of the comprehinsive insurance","622,099.92","46,799.20",136 466.67,Not Stated,Supported,2019/01/01,2020/03/31
17,"Construction Education and
Training Authority","Procurement of additional seat counts on mimecast
Services",Galix Networking (Pty) Ltd,Additional users on the system,"470,849.37","153,850.10",0.00,2018/11/30,Supported,once off,once off
18,"Construction Education and
Training Authority",Printing Maintenance and services,Konica Minolta,"Underestimation of monthly copy
volumes","1,074,381.60","1,213,874.28",0.00,2019/03/18,Not supported,2019/04/1,2020/03/31
19,Cooperative Governance,"Software licences, maintenance and support of
PRIMNET System",Moya Technology CC,Competitive bid in progress,0.00,"71,625.54",0.00,2018/12/21,Not supported,2019/01/01,2019/05/31
20,"Council for Scientific and Industrial
Research",Experiential Training Progrmmes,SASCE,"SASCE has a contract with member
institutions","1,441,890.00","1,034,557.00",0.00,2019/02/15,Supported,2019/04/01,2021/05/31
21,"Culture Arts Tourism Hospitality and
Sports ETA (CATHSETA)",WAN and IP Telephony services,Vodacom,"Operational handover by current
supplier",0.00,"765,000.00",0.00,2019/02/7,Not supported,2019/02/1,2019/05/15
22,"Department of Cooperative
Governance","Provision of software licences, maintenance and
support of PRIMNET System",Moya Technology CC,Continuity of service,Not stated,"71,625.54",Not stated,2019/12/12,Not supported,2019/01/01,31/05/2019
23,Department of Transport,Cleaning services contract,Phetha Trading Enterprise,Continuity of service,"9,282,329.44","2,618,631.24",Not stated,3/20/2019,Supported,2019/04/01,2019/09/31
24,ECIC,Legal Services,ENSAfrica,Extension of period,"32,200.00","133,762.25",0.00,2019/02/04,Not supported,Not stated,Not stated
25,"Education Training and
Development Practices SETA",Office accomodation,Cushman & Wakefield Excellerate,RFP did not yield results,"3,368,919.00","1,051,762.25",Not stated,2019/03/12,Supported,2019/04/1,2020/01/30
