"5,5,2 GOVERNANCE MONITORING AND COMPLIANCE: 2021/2022 QUARTER 4 REPORT DEVIATIONS) REPORT EXPANSIONS",,,,,,,,,,,
Number,"Date Received By
GMC (yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract
Value
[R]","Value of Previous
Expansion
[R]","not supported/not
supported/Conditional
supported
(Use dropdown List)","Award/recommen
ded by AO/ AA
date
(yyyy/mm/dd)","Contract start
date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
,2022/03/04,Agricultural Sector Education and Training Authority (AgriSETA)SETA,Solugrowth,Extension of Contract,396535.83,881190.68,0.00,Not Supported,2022/03/03,4/1/2022,5/30/2024
,2022/01/18,Airports Company South Africa (ACSA),Morar Incorporated,Continuity of service,520000.00,1347812.00,0.00,Conditional Support,2022/1/18,Not stated,Not stated
,2/10/2022,Amatola Water,"Element Consulting
Engineering",Continuity of service,48289943.20,0.00,0.00,Closed,2/10/2022,Not stated,Not stated
,2022/03/11,Artscape,"Hollard Insurance Company
(Pty) Ltd",Extension of Contract,88707.79,209838.34,0.00,Supported,2022/03/11,2022/04/01,2022/09/30
,2022/03/11,Artscape,"Insurance Underwriting
Managers (IUM)",Extension of Contract,20054.79,40000.00,9863.04,Supported,2022/03/11,2022/04/01,2022/09/30
,2022/01/27,Bloem Water,"Udumo Trading 26 Pty Ltd T/A
Ultimate Dynamic",Continuity of service,39060379.27,359669847.95,63824418.41,Not Supported,2022/1/21,Not stated,Not stated
,2/16/2022,Broadband Infraco,Growthpoint Properties,Lease extension,4159365.72,"30 556 554,13","42 563 508,14",Conditional Support,Not indicated,01/03/2022,31/08/2022
,2022/1/31,Central Energy Fund SOC Ltd (CEF),"Gildenhuys Malatji
Incorporated",Continuity of service,380000.00,1633969.63,0.00,Conditional Support,2022/1/28,Not stated,Not stated
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)","City Property Representing
Olitzki Properties (OPH)",Cost efficient,9564255.60,"47 124 106,73","0,00",Not Supported,13/12/2021,01/11/2022,31/12/2023
,13/12/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",The 78 Partnership CC,Cost efficient,11457116.00,"43 995 676,98","0,00",Conditional Support,13/12/2021,01/04/2022,31/07/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)","Vukile Property Fund
Represented by Broll Property
Group Ltd",Cost efficient,869612.32,"2 133 440,50",2380935.84,Conditional Support,13/12/2021,01/05/2022,31/08/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Realty 1 PG Rentals TZ,Cost efficient,226278.26,129779.10,"923 696,02",Not Supported,13/12/2021,01/12/2022,30/11/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)","MFT Property Management
Trust/ Micheal Family Trust",Cost efficient,4496387.52,"23 086 465,31","12 485 289,10",Conditional Support,13/12/2021,01/06/2022,30/09/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Realnet,Cost efficient,180004.44,"400 232,80","573 496,07",Not Supported,13/12/2021,01/09/2022,31/08/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Hostprops 1111 CC,Cost efficient,1920000.00,"4 377 307,62","1 608 408,36",Conditional Support,13/12/2021,01/04/2022,31/07/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Delta Property Fund,Cost efficient,2438905.42,"15 059 11,81","6 819 761,76",Not Supported,13/12/2021,01/11/2022,31/10/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Heracle Share Block,Cost efficient,6250077.60,"20 917 007,89","10 994 471,76",Conditional Support,13/12/2021,1/6/2022,30/9/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Nganya,Cost efficient,4570836.00,"26 418 772,20","0,00",Conditional Support,13/12/2021,1/7/2022,31/10/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Sinmark Investments CC,Cost efficient,3719037.07,"21 718 525,22","3 012 420,08",Conditional Support,13/12/2021,1/4/2022,31/7/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Border Remedies,Cost efficient,2347380.00,"11 327 912,81","3 872 997,60",Conditional Support,13/12/2021,1/2/2022,31/5/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Rebosis,Cost efficient,16624923.68,"56 906 451,46","0,00",Not Supported,13/12/2021,1/8/2022,30/11/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Redefine Properties,Cost efficient,1670880.00,"9 403 543,98","1 322 502,85",Conditional Support,13/12/2021,1/3/2022,30/11/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Viking Pony Properties,Cost efficient,3700622.46,"3 085 622,46","0,00",Not Supported,13/12/2021,1/7/2022,31/10/2023
,3/14/2022,"Commission for Conciliation, Mediation and Arbitration (CCMA)","CSK Cleaning Services (Pty)
Ltd",Business continuity,161930.00,"169 116,00","25154,94",Supported,11/3/2022,21/3/2022,31/1/2023
,3/14/2022,"Commission for Conciliation, Mediation and Arbitration (CCMA)","Lifeshield home security &
projects",Business continuity,149500.00,"103 500,00","14 950,00",Supported,14/03/2022,01/04/2022,31/1/2023
,3/15/2022,Council for Medical Schemes (CMS),Siphalo Consulting,Continuity of service,4102.80,19697.20,0.00,Supported,3/15/2022,8/1/2021,7/31/2022
,2022/02/09,Council for Scientific and Industrial Research (CSIR),"Delta Built Environment
Consultants (Pty) Ltd",Variation of Contract,350000.00,102235.00,0.00,Supported,2021/11/18,Not Stated,Not Stated
,2022/03/09,Council for Scientific and Industrial Research (CSIR),New Urban Meago (Pty) Ltd,Delays in the project,145048.49,202387.43,179374.90,Conditional Support,3/1/2022,Not Stated,Not Stated
,2022/03/09,Council for Scientific and Industrial Research (CSIR),"MMPA Quantity Surveyors &
Projects Managers (Pty) Ltd",Delays in the project,96905.83,131250.00,121131.79,Not Supported,3/1/2022,Not Stated,Not Stated
,2022/03/09,Council for Scientific and Industrial Research (CSIR),"BVi Consulting Engineers Cape
(Pty) Ltd",Delays in the project,24678.98,71500.00,160731.92,Not Supported,3/1/2022,Not Stated,Not Stated
,2022/02/14,Denel,"Public Demand Enterprise
(Pty) Ltd",Liquidity Challenges,2961201.40,15874697.88,84084.60,Conditional Support,2/11/2022,3/1/2022,5/31/2022
,3/7/2022,Department of Basic Education (DBE),Programme Support Unit (PSU),Continuity of service,55000000.00,89999900.00,614965193.49,Conditional Support,3/3/2022,4/1/2022,3/31/2023
,3/18/2022,Department of Basic Education (DBE),"Professional Service
Providers appointed by DBSA",Continuity of service,39582893.00,163933336.00,0.00,Conditional Support,3/8/2022,1/11/2021,31/3/2023
,1/25/2022,Department of Correctional Services (DCS),Entsika consulting,Business Continuation,7509500.00,8428437.72,1264265.61,Conditional Support,1/21/2022,2/1/2022,8/31/2022
,2022/03/02,Department of Correctional Services (DCS),Various,Business Continuation,22171039.52,83075968.88,Not stated,Conditional Support,2/21/2022,Not applicable,Not applicable
,1/13/2022,Department of Employment and Labour (DEL),Tech Mahindra,COVID-19,0.00,434751219.66,Not indicated,Noting,28/12/2021,Not indicated,Not indicated
,2/17/2022,Department of Employment and Labour (DEL),"Morena Corporate Services
(Pty) Ltd",Business continuity,969626.55,"5 329 326,66","727220,00",Conditional Support,17/02/2022,01/03/2022,30/06/2022
,2022/01/25,"Department of Environment, Forestry and Fisheries (DEFF)","Sandock Austral Shipyards
(SAS)",Continuation of services,833333.33,5000000.00,0.00,Not Supported,2022/01/25,Not stated,Not stated
,2022/02/09,"Department of Environment, Forestry and Fisheries (DEFF)",EnfoTech and Consulting,Variation of Contract,13484015.00,29459088.00,0.00,Not Supported,2021/02/09,2022/04/01,2023/03/31
,3/15/2022,Department of Health (DoH),"Dischem, Pharmacy Direct and
DSV Healthcare",Continuity of service,288782685.51,1543597628.46,562493514.24,Conditional Support,3/14/2022,4/1/2022,9/30/2022
,2/3/2022,Department of Home Affairs (DHA),"SITA Technologies B,V",Business continuity,0.00,Not indicated,Not indicated,Not Supported,28/1/2022,Not indicated,Not indicated
,2022/01/13,Department of Mineral Resources and Energy (DMRE),Public Investment Corporation,"DPWI is delaying provision of
office space to DMRE",78146069.04,230607180.00,116666720.08,Supported,2022/1/12,2022/3/1,2024/3/31
,2022/01/05,Department of Mineral Resources and Energy (DMRE),Not Stated,Continuity of service,0.00,Not Stated,Not Stated,Noting,2021/12/22,Not stated,Not stated
,2022/02/16,Department of Science and Innovation (DSI),"The Innovation Hub
Management Company
(TIHMC)",Extension of Contract,640516.62,497598.70,0.00,Conditional Support,2022/02/08,2022/03/01,2022/08/31
,2022/02/16,Department of Science and Innovation (DSI),"The Innovation Hub
Management Company
(TIHMC)",Extension of Contract,663623.26,507411.00,0.00,Conditional Support,2022/02/08,2022/03/01,2022/08/31
,2022/01/03,Department of Tourism (DT),"Kamohelong Luxury
Accommodation","Number of delegates exceeded
the initial target",18136.50,15729.00,0.00,Not Supported,Not stated,2021/11/22,2021/11/22
,2022/01/03,Department of Tourism (DT),Sedibeng Guest House,"Number of delegates exceeded
the initial target",19100.00,15996.50,0.00,Not Supported,Not stated,2021/11/30,2021/11/30
,2022/01/26,Department of Tourism (DT),Mixoni (Pty) Ltd,Continuation of services,106410.00,358400.00,0.00,Not Supported,2022/01/26,2022/02/01,2022/04/30
,2021/12/22,Department of Transport (DOT),Searchlight,Finalizing a new tender,240295.25,480590.50,0.00,Conditional Support,2021/12/22,2022/1/1,2022/1/31
,2/9/2022,Department of Transport (DOT),Searchlight,Finalizing a new tender,240295.25,480590.50,0.00,Noting,2021/12/22,2022/1/1,2022/1/31
,1/14/2022,Development Bank of Southern Africa (DBSA),Vexocom PTY,Business continuity,4857600.00,"4 452 800,00","0,00",Conditional Support,01/02/2022,31/1/2024,14/1/2022
1/14/2022,Development Bank of Southern Africa (DBSA),,Business continuity,2530809.60,"3 796 214,40","0,00",,01/03/2022,28/4/2024,14/1/2022
1/14/2022,Development Bank of Southern Africa (DBSA),Samantha Naidu,Business continuity,4435200.00,"6 156 150,00","0,00",Conditional Support,01/03/2022,28/4/2024,14/1/2022
1/14/2022,Development Bank of Southern Africa (DBSA),Bernadette Leon,Business continuity,4371840.00,"6 557 760,00","0,00",Conditional Support,01/03/2022,28/4/2024,14/1/2022
1/14/2022,Development Bank of Southern Africa (DBSA),Sefu Consulting,Business continuity,3801600.00,"5 702 400,00","0,00",Conditional Support,01/03/2022,28/4/2024,14/1/2022
