5.5.2 GOVERNANCE MONITORING AND COMPLIANCE: 2020/2021 QUARTER 4 (16 DECEMBER 2020 - 31 MARCH 2021) REPORT EXPANSIONS,,,,,,,,,,,,
Number,"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","not supported/not
supported/Conditional
supported
(Use dropdown List)","Award/recommended by AO/
AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,2021/01/06,Department of Home Affairs (DHA),"Extension of contract for the facility management of the Lindela holding facility
for 12 months",Enviromongz Projects,To commence new bid process,"92 505 748,00","547 851 209,70","15 000 000,00",Not Supported,2021/01/06,2021/02/01,2022/01/31
2,2021/01/14,Sentech,Procurement of 36 MHZ of Ku-band satellite capacity for a period of 1 year,Intelstat,To commence new bid process,7 895 232 .00,4 346 784.00,"0,00",Conditional Support,2021/01/14,2021/04/01,2022/03/31
3,2021/01/13,"Department of Public Service and Administration
(DPSA)",Provision of the non-mandatory services (service management service),SITA,Business Continuity,"1 200 000,00","507 058,64","0,00",Conditional Support,2021/01/13,2021/04/01,2023/03/31
4,2021/01/15,South African Revenue Service (SARS),Provision of medical aid brokerage services,Assegai Strategic Investments (Pty) Ltd,"Tender process in progress to be finalised
by 31 March 2021",0.00`,No implication,"0,00",Supported,2021/01/15,2021/02/01,2021/04/30
5,2021/01/25,Development Bank of Southern Africa (DBSA),"Variation of the Cloud Essentials contract for the migration of the email archive
to Exchange",Galix Networking,Business strategy,"109 125,00","422 740,00","0,00",Conditional Support,2021/01/19,2020/07/01,2021/01/31
6,2021/01/25,"Department of Public Service and Administration
(DPSA)","Provision of dedicated internet services (Increase of dedicated lines from
27Mbps to 60Mbps)",SITA,Increased demand on bandwith,"965 130,78","1 582 710,54","308 511,39",Conditional Support,2021/01/25,2021/02/01,2023/03/31
7,2021/01/26,Electoral Commission (IEC) of South Africa,Renewal of panelists contract for the provision of internal audit services,"PricewaterhouseCoopers [PWC];
SizweNtsalubaGobodo [SNG] and Nexia-SABT
and NYZ AfriPeak Consortium [SABT]","Allow completion for a tender process and
handover process by end March 2023.","24 303 000,00","0,00","0,00",Not Supported,2021/01/25,Not stated,Not stated
8,2021/01/27,"Department of Communications and Digital
Technologies (DCDT)","SITA (RFB 2005 and RFB 2007) contract for the supply of ICT goods and
services to Government",SITA,Business Continuity,"0,00","0,00","0,00",Conditional Support,2021/01/06,2021/02/01,2021/04/30
9,2021/01/29,South African Revenue Service (SARS),Extension of lease agreement between SARS and DPWRI,"Dept of Public works, Roads and infrastructure","Lease rate/ market square meter of DPWRI
is cheaper and convinient","2652173,00","2023713,43","0,00",Supported,2021/01/28,2021/04/01,2026/03/31
10,2021/01/29,State Information Technology Agency (SITA),"Extension of RFB 1584/2017-Supply, installation and maintenance of strcuted
LAN cabling system, switching equipment and related electric HVAC solutions",Ubuntu Technologies,To minimize risks,"5232012,51","5780055,26","0,00",Supported,2021/01/26,Not stated,Not stated
11,2021/02/04,National Treasury,Supplier to render online newspaper subscription and newspaper distribution,"Calandria 159 t/a Newspaper Direct South
Africa",Sole Supplier,"309950,00","282445,00","312900,00",Supported,2021/02/03,2021/03/01,2022/02/28
12,2021/02/03,Development Bank of Southern Africa (DBSA),compensation event for professional service provider,SML Projects,Change of project scope and amount,1 629 157.25,3 615 248.26,"0,00",Conditional Support,2021/02/03,Not Supported,Not stated
13,2021/02/03,Development Bank of Southern Africa (DBSA),compensation event for professional service provider,Takgalang Consulting CC,Change of project scope and amount,905 391.10,2 716 131.83,"0,00",Conditional Support,2021/02/03,Not stated,Not stated
14,2021/02/04,South African Revenue Service (SARS),Various residential accommodation in Ladybrand for a period of five years,DRB Development Trust,Incorrect calculations,5 090 990.6,2 782 968.6,"0,00",Supported,2021/02/04,2020/10/01,2025/09/30
15,2021/02/10,National Treasury,"Extension of the supply of software licenses (products) and a limited number of
associated consulting services",Oracle Corporation (South Africa) (Pty) Ltd,Business Continuity,"343661187,00","756200000,00","0,00",Conditional Support,2021/02/09,2021/04/30,2026/04/29
16,2021/02/10,Industrial Development Corporation (IDC),East London regional office accommodation,Chesswood Holdings 55 (Pty) Ltd,Business Continuity,"1395459,76","5 773 774,32","210 140,00",Conditional Support,2021/02/10,2021/06/01,2023/12/31
17,2021/02/10,Industrial Development Corporation (IDC),Durban regional office accommodation,Delta Property Fund Limited,Business Continuity,"3907571,20","2 435 990,64","236 031,00",Conditional Support,2021/02/10,2021/06/01,2026/01/31
18,2021/02/10,Industrial Development Corporation (IDC),Upington regional office accommodation,Edidor 111 (Pty) Ltd,Business Continuity,"1276183,92","907 245,57","0,00",Conditional Support,2021/02/10,2021/03/01,2024/02/28
19,2021/02/11,South African Revenue Service (SARS),Feedback on market analysis for lease renewal of the Newcastle tps office,Victorian Trust,Insufficient market,Not indicated,Not indicated,Not indicated,Noting,11/2/2021,Not indicated,Not indicated
20,2021/02/11,South African Revenue Service (SARS),Lease extension for Bethlehem Maluti Square Branch office,Platoon Trade Invest 76 Pty (Ltd),"The building is strategically located in city
central and cost effective","12114033,64","5 607 992,79",8 266 010.42,Conditional Support,11/2/2021,1/4/2021,31/3/2026
21,2021/02/18,State Information Technology Agency (SITA),Contract variation request for the implementation of the Broadband services,Liquid Telecom,Cost effective,"165960170,39","4820669714,55","0,00",Conditional Support,16/2/2021,1/6/2019,30/5/2029
22,"G
2021/02/18",overnment Pensions Administration Agency (GPA,"A)
Feedback on the extension request for MPLS and Call Centre services",MTN,Feedback,"0,00","0,00","0,00",Noting,16/2/2021,Not indicated,Not indicated
23,2021/02/09,Unemployment Insurance Fund (UIF),Increase scope and supply ICT resources to develop and support systems,Vindhya Systems,"Covid19 and delays in SAP implemantation
plan","11215800,00","45203445,30","0,00",Not Supported,9/2/2021,24/7/2021,24/1/2022
24,2021/02/24,Electoral Commission (IEC) of South Africa,Lease for Mpumalanga warehouse,Silvercore Trading 10 CC,Business Continuity due to failed tender,"1269258,22","593108,00","889666,98",Supported,25/1/2021,1/5/2021,31/12/2021
25,2021/02/17,Department of Employment and Labour (DEL),"Maintenance support and regular updates of the Psychometric Assessment
tool, Situation Specific Evaluation Expert (SPEEX)",Assessment World (Pty),Business contunuity and Covid19,"8100000,00","5459627,70","0,00",Not Supported,17/2/2021,Not indicated,Not indicated
26,2021/03/02,"Department of Communications and Digital
Technologies (DCDT)","Provision of expertise in the operationalising of information and
communications technology System for the financial year 2020/2021 and 2021-
2022",CSIR,Business continuity,"15961910,00","10295340,00","0,00",Conditional Support,1/3/2021,Not indicated,Not indicated
27,2021/03/02,"Department of Public Service and Administration
(DPSA)","Expansion of contract for the application maintenance and server
administration e_Disclosure",SITA,Business continuity,"17780270,26","9842599,54","13925162,22",Conditional Support,2/3/2021,1/4/2021,31/3/2024
28,2021/03/04,Department of Home Affairs (DHA),"Extension of HANIS and intergrated justice system support and maintenance
contract",NEX OXN,Single source,"205009897,75","248945522,72","0,00",Conditional Support,3/3/2021,1/4/2021,31/3/2023
29,2021/03/04,National Treasury,"Request to increase and assign a total contract value to the agreement for
professional services",Dimension Data,Assigning total contract value,"42500000,00","15918000,00","0,00",Not Supported,4/3/2021,28/11/2018,27/11/2021
30,2021/02/22,"Commission for Conciliation, Mediation and
Arbitration (CCMA)",Continuation of services of the CCMA digital online platform,4IR Holdings,Single source,"776000,00",345 000.00,"0,00",Conditional Support,9/2/2021,1/6/2021,31/12/2022
31,2021/03/08,National Treasury,Contact centre support services,ICT-Works Pty (Ltd),Tender process underway,"0,00",56 145 081.28,"0,00","Within AA/AO mandate
Noting",5/3/2021,1/4/2021,30/9/2021
32,2021/03/08,"Commission for Conciliation, Mediation and
Arbitration (CCMA)",Telephone system maintenance and support for a period of 4 months,IIIation (Pty) Ltd,Tender process underway,"971576,52","3643411,95","0,00",Supported,3/3/2021,1/4/2021,31/7/2021
33,2021/02/11,National Treasury,financial restructuring of Eskom,Deloitte and Touché,"Delay in payment is due to the prolonged
process on Deloitte’s side in verifying all
expenses.","1733972,19","8100600,00","0,00","Within AA/AO mandate
Noting",11/2/2021,1/9/2019,31/12/2019
34,2021/03/09,"Land and Agricultural Development Bank of
South Africa (Land Bank)",Transitional Services,Unigro,Business continuity,Not indicated,Not indicated,Not Indicated,Supported,9/3/2021,1/4/2021,30/9/2021
35,2021/03/12,"Commission for Conciliation, Mediation and
Arbitration (CCMA)",Extension of the cleaning service contract for 6 months,Chakvest,"Align the cleaning services contract with the
current office lease contract","474265,32","346085,52","0,00",Closed,2021/03/11,1/9/2021,28/2/2022
36,2020/12/16,National Research Foundation (NRF),Lease expansion for SARAO in Cape Town Office Building,Black River Park Investments (Pty) Ltd,"Awaiting approval of the new Science
Operations Centre (SOC)","58 255 265,40","40 149 984,45","2 845 862,77",Supported,2020/12/11,2021/03/01,2024/02/28
37,2021/01/14,"Department of Small Business Development
(DSBD)",Travel Management Services,Travel With Flair (Pty) Ltd,Competitive bidding in progress,"3 500 000,00","21 661 867,94","0,00",Supported,2021/01/13,2021/06/01,2021/07/31
38,2021/01/20,"Council for Scientific and Industrial Research
(CSIR)",Scanning Electron Microscope,SPS Scientific Electron Optics,Changes in Rate of Exchange,"736 435,00","2 947 636,10","0,00",Not Supported,2021/01/19,Not Stated,Not Stated
,2021/01/22,Small Enterprise Finance Agency (SEFA),Printing Solution,Bytes Document Solutions (Pty) Ltd,To participate in a RT3 contract,"65 000,00","1 879 577,45","469 894,36",Supported,2021/01/02,2021/02/05,2021/03/30
,2021/01/19,"Department of Sports, Arts and Culture (DSAC)","Management and disbursement of the Presidential employment stimulus
Programme (PESP).",South African Cultural Observatory (SACO),Prefered service provider,"30 000 000,00",70 002 431.52,"0,00",Supported,2020/11/11,2021/02/01,2021/03/31
,2021/01/28,"Construction Industry Development Board
(CIDB)",Internal Audit Services,Big Innovation Group (Pty) Ltd,New tender process not concluded,"100 000,00","2 259 077,00","338 861,55",Not Supported,2021/01/29,2021/02/01,2021/02/28
,2021/01/22,"Food and Beverage Manufacturing Industry
Sector Education and Training Authority
(FoodBev SETA)SETA",Audit Services,Duja Consulting (Pty) Ltd,Continuation of service,175 576.03,273 815.00,"0,00",Conditional Support,2021/01/21,2021/02/01,2021/03/31
,2021/02/02,Market Theatre Foundation,Parking lot construction,LH Langa,Unforeable circumstances 644.000.00,,"1 974 637,50","631 345,60",Conditional Support,2021/02/01,Not Stated,Not Stated
,2021/02/03,"South African National Biodiversity Institute
(SANBI)",infrastructure developments at the Pretoria,"EOH Coastal and Environmental Services
(EOH)",Continuation of service,"113,164.44","201,666.00.","0,00",Not supported,2021/02/02,Not Stated,Not Stated
,2021/02/03,"South African National Biodiversity Institute
(SANBI)",Adjustments of professional fees,GIBB,Continuation of service,"174,036.35.","547,806.61","0,00",Not Supported,Not Stated,Not Stated,Not Stated
,2021/02/03,"South African National Biodiversity Institute
(SANBI)",Adjustments of professional fees,Derek Kock and Associates,Continuation of service,145 504.37,649 196.00,2 063 167.00,Not Supported,Not Stated,Not Stated,Not Stated
,2021/02/03,"South African National Biodiversity Institute
(SANBI)",Adjustments of professional fees,Bartsch Consult,Continuation of service,1 638 759.36,477 660.00,"0,00",Not Supported,Not Stated,Not Stated,Not Stated
,2020/12/16,"Department of Women Children and Persons
with Disability (DWCPD)",Office lease,Sugar Creek Trading 278,"DPWI is in the process of procuring office space
on behalf of DWCPD.",0.00,"558,467.00","0,00",Conditional Support,2020/10/20,2021/01/01,Not Stated
,2021/02/08,"Department of Public Works and Infrastructure
(DPWI)",Additional Office Space for National DSAC,Ascension Properties,Merge between DAC and DSR,"35 902 337,28","169 893 867,48","0,00",Conditional Support,2020/10/19,2021/03/05,2024/08/31
,2021/02/05,"Fibre Processing and Manufacturing Sector
Education and Training Authority (FP&M
SETA)SETA",Provision of MIS system,Solugrowth (Pty) Ltd,Continuation of service,2 515 653.34,4 082 081.06,2 593 045.63,Not Supported,2021/02/04,2021/04/01,2022/03/31
,2021/02/16,National Research Foundation (NRF),Review of process followed for Conflict resolution,Conflict Dynamics (Pty) Ltd,Adjustment of hours,"40 468,50","33 327,00","0,00",Conditional Support,2021/02/16,2020/12/03,Not Stated
