"5,5,2 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 4 ( 16 December 2022 - 15 March 2023) REPORT EXPANSIONS",,,,,,,,,,,,,,,
Number,,,,,,,,,,,"not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),"Contract Expiry Date
(yyyy/mm/dd)",
,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]",,,,,
EXPANSIONS REPORT,,,,,,,,,,,,,,,
1,Q4 2022/23,New,2023/01/16,"Department of Sports, Arts and Culture (DSAC)","Request for approval of variation and increase budget for
Risimati Consulting Engineering contract for project management
services and implementation of capital projects.",Risimati Consulting Engineering,"Continuation of the project due to Covid 19, KZN Riots/looting, inclement
weather, site invasion by local sub-contractors, NUMSA strike, delays of
steel delivery and discovered of underground rock.","R9 797 692,00","R25 746 116,00","R0,00",Within AA/AO mandate Noting,2022/11/16,Not stated,Not stated,
2,Q4 2022/23,New,2023/01/18,"Food and Beverage Manufacturing Industry Sector
Education and Training Authority (FoodBev
SETA)SETA",Cleaning Services,Naledzi Cleaning Services (Pty) Ltd,Services required beyond contract expiry date,"R28 536,60","R225 973,69","R225 973,69",Within AA/AO mandate Noting,2022/10/30,2022/11/01,2023/03/31,
3,Q4 2022/23,New,2023/01/18,Human Sciences Research Council (HSRC),SAGE 300 support,Phuthumani IT Solution,Additional 300 support hours,"R306 840,00","R357 000,00","R0,00",Within AA/AO mandate Noting,2022/12/22,2022/10/01,2023/03/31,
4,Q4 2022/23,New,2023/01/18,Human Sciences Research Council (HSRC),Laptop Rental,Innovent Rentals,Additional laptop required,"R7 711,90","R13 030,79","R0,00",Within AA/AO mandate Noting,2022/12/22,2022/12/22,2023/01/31,
5,Q4 2022/23,New,2023/01/30,Department of Higher Education and Training (DHET),"Variation of scope and cost, and the recommencement of of
construction works at Sterkspruit Campus of Ikhala TVET college",Uphahla Construction,"Additional scope expansion due to construction requirements for rising main
and conservancy tank","R221 410 103,59","R153 382 812,93","R166 423 085,81",Within AA/AO mandate Noting,2022/12/10,2023/01/01,"Construction contract in terms of JBCC.
Project will run till completion, coupled
with extension of time where applicable.
No set contract expiry date.",
6,Q4 2022/23,New,2023/02/08,South African National Space Agency (SANSA),Provision of SANSA Board pack Software,Ability Holdings (PTY) LTD,"Facilitation of electronic distribution of meeting packs and documents for a
period of three years. Additional licences required for the new board
members and new executives.","R180 000,00","R781 080,00","R0,00",Within AA/AO mandate Noting,2022/08/19,2022/09/01,2025/04/30,
7,Q4 2022/23,New,2023/02/08,South African National Space Agency (SANSA),Recruitment Services,"MasTech, Phaki Personnel and Mogale
Solutions)","SANSA has staff memebrs who are contractors belonging to the 3 service
providers which will end in 31 March 2023","R750 000,00","R2 937 035,73","R0,00",Within AA/AO mandate Noting,2022/11/25,2022/12/01,2023/03/01,
8,Q4 2022/23,New,2023/02/08,South African National Space Agency (SANSA),Student Residence Revamp Catering,Gilbert's Catering,"Delays in construction of the student residence. Students were unable to
access the kitchen faclities, there provision of catering services had to be
extended by 1 week.","R15 620,00","R56 490,00","R0,00",Within AA/AO mandate Noting,2022/11/04,2022/11/04,2022/11/11,
