,Department/ Entity,Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,Value of previous extensions,"Award/
Recommended
date by AO/AA","Supported/Not
Supported","Contract Start
Date","Contract End
Date"
1,ACSA,"Friction testing on runways at all
Airports",SRT,The number of tests estimated increase,"4 240 686,00","2 528 888,00","0,00",Not dated,Supported,2017/01/01,2017/03/30
2,ACSA,Friction Testing for airfield grounds,ADB Airfield Solution,Expansion of scope of work,"4 708 478,43","2 631 547,48","0,00",2017/01/30,Supported,Not stated,2017/07/31
3,ACSA,"Application of property rights &
finalisation ACSA park township","African Development Planning
Company",Expansion of scope of work,"2 180 000,00","7 40 000,00","0,00",2017/02/07,Supported,Not stated,Not stated
4,AEMFC,"Storage of employees medical
surveillance records",Clinic Plus Occupational Service,Increase in number of employees.,"156 152,00","810 540,00","0,00",2017/02/02,Conditional support,2017/04/01,2020/03/31
6,AEMFC,"Provision of minining service at
Vlakfontein mine",Concor Opencast Mining,Finalise transition process.,"252 000 000,00","33 000 000,00","444 000 000,00",2017/02/22,Conditional support,2017/04/01,2017/05/31
7,Arts and Culture,Services of a sculptor,Ernst & Young,Additional scope,"369 158,40","490 809,08","0,00",2017/01/17,Not Supported,Once off,Once off
8,Basic Education,"ASIDI School building programme -
Lubala PS in the Eastern Cape","Development Bank of Southern
Africa (DBSA)",Omission in the BOQ and change of scope.,"15 400 495,18","6 405 928,50","0,00",2017/02/01,Conditional support,Not stated,Not stated
9,Basic Education,"ASIDI School building programme -
Nobantu PS in the Eastern Cape","Development Bank of Southern
Africa (DBSA)",Replacement of contractors,"13 799 778,56","25 750 453,43","0,00",2017/02/01,Not Supported,Not stated,Not stated
10,Basic Education,"ASIDI School building programme -
Qaka PS in the Eastern Cape","Development Bank of Southern
Africa (DBSA)",Replacement of contractors,"11 497 390,17","27 994 662,64","0,00",2017/02/01,Not Supported,Not stated,Not stated
11,Basic Education,"ASIDI School building programme -
Ntsonyini PS in the Eastern Cape","Development Bank of Southern
Africa (DBSA)",Replacement of contractors,"4 446 071,44","15 071 635,54","0,00",2017/02/01,Not Supported,Not stated,Not stated
12,Basic Education,"ASIDI School building programme -
Ngidini PS in the Eastern Cape","Development Bank of Southern
Africa (DBSA)",Replacement of contractors,"11 497 390,17","3 400 067,88","0,00",2017/02/01,Not Supported,Not stated,Not stated
13,Basic Education,"ASIDI School building programme -
Ndluzula JP in the Eastern Cape","Development Bank of Southern
Africa (DBSA)",Replacement of contractors,"11 497 390,17","4 986 525,22","0,00",2017/02/01,Not Supported,Not stated,Not stated
14,Basic Education,"ASIDI School building programme -
Nomandla PS in the Eastern Cape","Development Bank of Southern
Africa (DBSA)",Replacement of contractors,"11 497 390,17","6 532 049,56","0,00",2017/02/01,Not Supported,Not stated,Not stated
15,Basic Education,"ASIDI School building programme -
Gcinisizwe PS in the Eastern Cape","Development Bank of Southern
Africa (DBSA)",Replacement of contractors,"11 497 390,17","4 534 741,19","0,00",2017/02/01,Not Supported,Not stated,Not stated
16,CBE,Travel Services,Nexus Travel,Continuity of service,"1 800 000,00","250 000,00","604 000,00",2017/03/06,Conditional support,2017/04/01,2017/05/31
17,CCMA,Travel Management Services,Travel with Flair,Competitive bidding process in progress,"2 735 071,09","679 561,60","679 561,60",2017/03/22,Conditional support,2017/04/01,2017/09/30
18,CETA,Fleet servicing,Toyota and Nissan,Fleet out of warranty,Not Stated,"4 937 002,18","0,00",2017/09/02,Conditional support,2017/01/03,2020/01/04
19,CETA,Panel of car rentals,"Capital Car Hire, Sizwe Car
Rental and Europcar",Competitive bidding process in progress,"4 719 574,32","64 829,93","0,00",2017/03/30,Conditional support,2017/01/04,2017/04/30
20,CIDB,"Microsoft Software Development,
maintenance and support on the CRM
system",nVision IT (Pty) Ltd,Competitive bidding process in progress,"6 566 400,00",1 200 000.00,"0,00",2017/02/13,Conditional support,2017/01/01,2017/12/31
21,COGTA,Extension of the current NPO contracts,Various NPOs,Procurement process has not yet commenced,Not stated,Not stated,Not stated,2017/01/30,Not Supported,2017/04/01,2017/09/30
22,CSIR,Provision of the security services,"Bidvest Protea Coin Group (Pty)
Ltd",Competitive bidding process in progress,"26 500 000,00","6 500 000,00","19 900 000,00",2017/03/03,Supported,2016/04/01,2017/09/30
23,CSIR,Landscaping and gardening services,Servest Landscaping (Pty) Ltd,Competitive bidding process in progress,"5 561 697,00","1 202 156,00","0,00",2016/11/23,Supported,2017/12/01,2017/05/31
24,CSIR,Travel management services,Carlson Wagonlit Travel,"Travel Policy Framework not published yet by
National Treasury","25 970 624,00","4 274 748,00","0,00",2017/03/13,Supported,2017/04/01,2018/03/31
25,DBSA,SAP support system (FILO),Delloitte,Competitive bidding process in progress,"7 236 000,00","402 000,00","1 206 000,00",2017/03/14,Supported,2017/04/01,2017/05/31
26,DBSA,SAP support system (HCM),Gijima,Competitive bidding process in progress,"3 265 200,00","181 400,00","544 200,00",2017/03/14,Supported,2017/04/01,2017/05/31
27,DBSA,SAP support system (CML),Ernst and Young,Competitive bidding process in progress,"4 057 600,00","338 133,34","676 266,67",2017/03/14,Supported,2017/04/01,2017/05/31
28,DIRCO,Travel Contract,Wing Naledi Travel,Competitive bidding process in progress,"1 319 525,00","189 042,00","0,00",2017/02/24,Supported,2017/04/01,2017/06/30
29,DIRCO,Travel Contract,Magic Travel,Competitive bidding process in progress,"1 512 338,00","173 940,00","0,00",2017/02/24,Supported,2017/04/01,2017/06/30
30,DPE,"Re-developing and maintaing DPE’S
website to include re-developing,
hosting and maintaining",N-Vision,Expansion of scope,969 287.85,"633 399,17","0,00",2017/02/14,Noting,Not stated,01/04/2017
31,DPE,"Support Ministry and the department
with strategic communication","The Oryx Multimedia Group
(Pty) Ltd",Competitive bidding process in progress,"4 95 900,00","500 000,00","0,00",2017/02/24,Conditional support,2017/05/01,3 months
32,DST,"Repairs of the airdale units and
replacement of the speed drives",Centrotech,Impractical to follow normal SCM process,"179 262,72","66 262,67","0,00",2016/12/04,Conditional support,2015/08/01,2017/07/31
33,DWS,"Support and maintain the National
Integrated Water Information System",DHI South Africa (Pty) Ltd,Competitive bidding process in progress,"4 374 454,00",642 504.00,"642 522,00",2017/03/17,Conditional support,2017/03/01,2017/08/31
34,DWS,"Provision of security services (Western
Cape)",Venus Security Solutions,Competitive bidding process in progress,"10 490 194,00",6 070 924,"0,00",2017/03/17,Conditional support,2016/04/01,2017/07/31
35,DWS,"Provision of security services
(Mpumalanga)",Sidas Security Guards (Pty) Ltd,Competitive bidding process in progress,"12 045 059,00","6 970 762,00","675 048,00",2017/03/17,Conditional support,2016/04/01,2017/07/31
36,DWS,"Provision of security services (Northern
Cape)","Raite Security Services and
Consulting",Competitive bidding process in progress,"12 105 508,00","7 005 745,00","0,00",2017/03/17,Conditional support,2016/04/01,2017/07/31
37,DWS,"Provision of security services (40
Limpopo sites)",Phiriphiri Security Services,Competitive bidding process in progress,"19 926 523,00","11 519 552,00","0,00",2017/03/17,Conditional support,2016/04/01,2017/07/31
38,DWS,"Provision of security services (3
Limpopo sites)","Mushoma Security Services
(Pty) Ltd",Competitive bidding process in progress,"17 939 479,00","10 382 002,00","0,00",2017/03/17,Conditional support,2016/04/01,2017/07/31
39,DWS,"Provision of security services (12
Limpopo sites)",MCC Security and Projects CC,Competitive bidding process in progress,"19 630 066,00","11 360 385,00","0,00",2017/03/17,Conditional support,2016/04/01,2017/07/31
40,DWS,"Provision of security services
(Gauteng)",Mafoko Security Patrols (Pty) Ltd,Competitive bidding process in progress,"23 322 457,00","13 497 260,00","0,00",2017/03/17,Conditional support,2016/04/01,2017/07/31
41,DWS,"Provision of security services (19
Limpopo Sites)",Khayalami Security CC,Competitive bidding process in progress,"18 832 883,00","10 899 037,00","1 578 672,00",2017/03/17,Conditional support,2016/04/01,2017/07/31
42,DWS,"Provision of security services (KwaZulu-
Natal)","Ditiro Tsaka Trading and
Projects Ltd",Competitive bidding process in progress,"6 663 013,00","3 856 044,00","0,00",2017/03/17,Conditional support,2016/04/01,2017/07/31
43,DWS,"Provision of security services (Free
State)","Ditiro Tsaka Trading and
Projects Ltd",Competitive bidding process in progress,"2 604 422,00","1 507 241,00","0,00",2017/03/17,Conditional support,2016/04/01,2017/07/31
44,DWS,"Provision of security services (Eastern
Cape)","Dikha Security and Cleaning
Service (Pty) Ltd",Competitive bidding process in progress,"22 567 072,00","13 060 101,00","0,00",2017/03/17,Conditional support,2016/04/01,2017/07/31
45,DWS,"Provision of security services (North
West)","Batlhokomedi Management
Service (Pty) Ltd",Competitive bidding process in progress,"20 804 760,00","12 040 209,00","0,00",2017/03/17,Conditional support,2016/04/01,2017/07/31
46,Environmental Affairs,"Interpretation services for side event
between South Africa and Mozambique",Congress Rentals,Continuity of service,"37 739,70",29 519.13,"0,00",2016/12/04,Supported,2016/10/03,2016/10/03
47,Environmental Affairs,"Implementation of various NRM
programmes",Various implementing agencies,Continuity of service,"1 904 963 782,00",628 638 048.00,"0,00",2017/01/18,Conditional support,2017/04/01,2018/03/31
48,Environmental Affairs,"Transcription of audio recordings
services","Omolemo and Moayi Trading
and Pro",Continuity of service,"23 000,00","7 500,00","0,00",2017/01/25,Supported,2017/02/01,2017/03/01
49,Environmental Affairs,Conference Facilities,Protea Hotel,Participants increased from 80 to 105.,"30 750,00","9 150,00","0,00",2017/01/31,Supported,2016/09/28,2016/09/28
50,Environmental Affairs,"Special Needs and Skills Development
programme",CSIR,Continuity of service,"7 258 608,00","3 394 920,00","0,00",2017/02/09,Not Supported,2017/02/07,2018/07/31
51,Environmental Affairs,Travel Services,Travel with Flair,Continuity of service,1 500 00.00,"225 000,00","0,00",2017/02/27,Conditional support,2017/03/04,2017/06/03
52,Eskom,"Provision of SAS software &
professional services",SAS Institute (Pty) Ltd,Increase data volumes,"29 186 756,76","231 730 314,10","87 160 490,68",2017/01/13,Supported,2017/07/07,2018/07/07
53,Eskom,"Provision of recruitment services to
Majuba Rail Project",Backhousia Consulting CC,Alignment of contract with approved ERA's,"38 109 767,56","4 9 117 788,49","7 99 256,14",2017/01/17,Supported,2017/02/16,2018/12/31
54,Eskom,"Provision of field & quality engineering
services","Arup Tata Power Engineering
Consortium",Continuity of service,"104 795 567,04","47 216 387,76","1 1 400 000,00",2017/01/30,Supported,2017/02/28,2018/03/31
55,Eskom,"Procurement of Teleprotection
equipment",ABB SA (Pty) Ltd,Expansion of scope of work,"2 505 738,88","9 043 952,00","4 125 470,80",2017/01/30,Supported,2017/02/28,2018/03/31
56,Eskom,"Manufacturing, testing, supply &
delivery of various pole mounted","ADC Energy CC & E-Lek
Engineering (Pty) Ltd",Single Source,"0,00","0,00","0,00",2017/02/08,Supported,2017/06/09,2019/06/08
