,,,,,,,,,,
SUPPLY CHAIN MANAGEMENT: GOVERNANCE MONITORING COMPLIANCE REPORT OF EXPANSIONS: 2020/21 (27 MARCH TO 15 JUNE 2020),,,,,,,,,,
,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Reason for extension,"Original Contract
Value",Value of Contract Extension,"Value of previous
extensions","not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd)
1,Airports Company South Africa,"Supply, maintenance, management and support of IT Workplace service",Stortech Technology (Pty) Ltd,COVID-19,"61,273,948.00","1,650,000.00","17,696,853.23",Not supported,2020/01/04,30/06/2021
2,Armscor,Catering Services,Compass Group Southern Africa,"Continuity of service until insource negotiations
are concluded","4,233,330.35","844,521.72","563,014.48",Supported,2020/05/01,2020/09/30
3,Department of Basic Education,"Installation of mobile toilets to selected public schools as part of COVID-19
emergency sanitation.",DBSA and Mvula Trust,Emergency,"525,000,000.00","50,000,000.00",0.00,Supported,Not Stated,Not Stated
4,Brand SA,Brand Agencies,Various Service Providers,Bid finalisation delayed by Covid - 19 lockdown,"159,816.99","46,810,000.00","75,195,251.00",Supported,2020/06/01,2020/12/31
5,"Commission for Conciliation, Mediation & Arbitration",Security Services,Closing The Circle Starlight Solution,COVID-19,"106,076.00","40,120.00",0.00,Supported,Once off,Once off
6,"Commission for Conciliation, Mediation & Arbitration",Security Services,Fidelity,"Align accomodation contract and security
services","796,760.68","614,679.30",0.00,Supported,2020/06/01,2020/05/31
7,"Commission for Conciliation, Mediation & Arbitration",Lease Accomodatio - Tzaneen,Reality 1 Rentals,Failed bid process and impact of lockdown,"129,779.10","238,187.65","430,647.60",Supported,2020/12/01,2021/11/30
8,"Commission for Conciliation, Mediation & Arbitration",Cleaning Services,Le Grat Trading & Projects,"Comply with COVID -19 Back to Work
Regulations","63,600.00","33,644.00",0.00,Supported,Once off,Once off
9,Construction Education and Training Authority,Renewal of the annual licence for Fortigate Firewall,Dataproof Communication (Pty) Ltd,Supplier is unable to honor the price quoted,"24,580.43","5,159.33",0.00,Supported,once off,once off
10,Construction Education and Training Authority,Management Information System (MIS),Solugrowth,"Delays in the procurement process - national
lockdown","7,673,825.00","1,135,227.72",0.00,Supported,2020/07/01,2020/09/30
