5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2020/2021 QUARTER 2 (16 JUNE 2020 - 15 SEPTEMBER 2020) REPORT EXPANSIONS,,,,,,,,,,,,
Number,"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract
Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","not supported/not
supported/Conditional
supported
(Use dropdown List)","Award/recom
mended by
AO/ AA date
(yyyy/mm/dd)","Contract start
date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,2020/07/31,"Agricultural Sector Education and Training
Authority",ICT Services,Solugrowth,"NT letter dated 24 July 2020 - advised the
entity to cancel and re-advertise the bid","3 062 454,80","3 4 125 715,00","1 8 028 373,00",Supported,2020/7/31,2021/4/1,2021/11/31
2,2020/08/03,Airports Company of South Africa Limited,Car Rentals,"Avis Rent a Car, Europ Car Hire, Bidvest
Car Rental, Hertz, First Car Rental, Dollar
Thrifty, Tempest Car Hire, Woodford
Exclusive Car Hire, Capital Car Hire and
Select Car and Vans Rentals",Continuity of Service,"2 6 714 601,02","7 01 600 000,00","1 754 606 098,33",Not Supported,2020/08/03,2020/08/01,2021/07/31
3,2020/07/23,Amatola Water Board,"Phase 2: James Kleyhans BWS Project -
Consulting Engineers",Stemele Bosch,Continuity of Service,"1 9 345 798,12","10 103 185,83","5 465 825,55",Not Supported,2020/07/14,Not stated,Not stated
4,2020/07/11,Arts and Culture,"Catering and Venue Hire for the moral
regeneration movement workshop",Awee en Ree Events (Pty) Ltd,Additional delegates,"7 710,00","1 1 250,00",-,Not Supported,2020/6/30,2020/4/15,2020/4/15
5,2020/08/24,Artscape,Employee Assistant Programme,Careways Wellness,Continuation of service,"6 9 000,00","1 39 133,00",-,Supported,2020/8/24,2020/8/1,2021/7/31
6,2020/07/08,Broadband Infraco,Lease of Land,Chestnut Hill Investments,Capital invested on new infrastructure,"156014,72,","1 28 364,50",-,Supported,Not Stated,2020/5/1,2024/4/30
7,2020/07/09,Broadband Infraco,Lease,Cream Property Group,Continuation of Service,"1 56 014,72","1 28 364,50",-,Not supported,Not Stated,2020/6/1,2023/5/31
8,2020/08/13,Broadband Infraco,Operating Lease Agreement,KPP Investment (Pty) Ltd,Continuation of Service,"1 061 146,57","6 82 561,91",-,Conditional Support,Not Stated,2020/9/1,2025/8/31
9,2020/06/29,CathSSeta,Printing Services,Flex Technology,Bid was cancelled by external auditors,"8 70 650,77","3 587 671,01","4 23 671,00",Supported,Not Stated,2020/4/19,2020/12/20
10,2020/06/29,CathSSeta,Secretariat Services,Imbokodvo,BSC process was delayed,"2 50 000,00","2 625 000,00","2 25 000,00",Not supported,Not Stated,2020/7/1,2020/9/30
11,2020/07/03,"Commission for Conciliation, Mediation &
Arbitration",Security Services,Fidelity,Provision of security guards,"2 22 413,91","7 96 760,68","6 14 679,30",Supported,Not Stated,Not Stated,Not Stated
12,2020/07/25,"Commission for Conciliation, Mediation &
Arbitration",Polokwane Office Lease,Delta Property Fund,"Procurement process will not be finalised
by the 31st Oct 2020","2 255 662,56","1 5 059 111,81","2 127 983,64",Supported,Not Stated,2020/11/1,2020/10/31
13,2020/07/01,"Commission for Conciliation, Mediation &
Arbitration",Office Lease Variation - Port Shepstone,Chambers Property Holdings CC,Tenant Installation,"1 82 177,75","1 405 920,96","3 258 256,33",Supported,Not Stated,Not Stated,Not Stated
14,2020/07/27,"Commission for Conciliation, Mediation &
Arbitration","Office space and parking for Kimberly Office,",Pniel Road Investments CC /,Tenant Installation,"1 594 422,36","4 377 307,62",-,Not supported,Not Stated,Not Stated,Not Stated
15,2020/07/28,"Commission for Conciliation, Mediation &
Arbitration","Office space and parking for Mbombela
Office",Vukile Property Fund,Tenant Installation,"7 31 068,80","2 133 440,50",-,Not supported,Not Stated,Not Stated,Not Stated
16,2020/07/29,"Commission for Conciliation, Mediation &
Arbitration","Office space and parking for Mbombela
Office",Michael Family Trust,Tenant Installation,"3 846 701,56","2 3 086 465,31","8 638 587,54",Not supported,Not Stated,Not Stated,Not Stated
17,2020/07/30,"Commission for Conciliation, Mediation &
Arbitration","Office space and parking for Ekurhuleni
Office",City property,Tenant Installation,"5 495 285,42","2 0 917 007,89","5 184 082,20",Not supported,Not Stated,Not Stated,Not Stated
18,2020/09/11,"Commission for Conciliation, Mediation &
Arbitration",Travel and conference managemnt services,Tourvest Travel Services,Continuation of Service,"4 67 598,00","1 019 242,08",-,Supported,Not Stated,2020/10/31,2020/12/31
19,2020/08/31,Construction Education and Training Authority,Office Space Rental,SlipKnot Investments,Dekays in the procurement process,"5 10 837,64","4 831 285,80","7 66 256,45",Not supported,not dated,2020/9/1,2020/10/31
20,2020/09/02,Construction Education and Training Authority,IP MPLS,NET15,Continuation of service,"4 80 000,00",Not provide,"5 51 770,00",Not supported,2020/9/1,2020/9/1,2020/11/31
21,2020/06/25,Council for Medical Schemes,Leasing of laptops,Neo Technologies (Pty) Ltd,Continuation of service,"1 5 162,75","52 564,20","0,00",Not Supported,2020/06/25,2020/07/01,2020/07/31
22,2020/06/20,Council for Scientific and Industrial Research,Gardening and Landscaping Services,Bidvest Services (Pty) Ltd,Continuation of service,"1 514 811,05","1 459 350,00",-,Supported,2020/06/20,2020/8/3,2021/1/31
23,2020/09/02,Development Bank of Southern Africa,"Maintenance and repairs- Telkom Tower
North",Glad Africa Consulting Services,Continuation of Service,"6 540 296,10","9 716 240,00",-,Supported,Not Stated,Not stated,Not stated
24,2020/09/03,Development Bank of Southern Africa,Maintenance and repairs- Civitas Building,Ukuza Consulting,Project Requirements not covered,"6 436 057,15","5 239 780,66",-,Supported,Not Stated,Not stated,Not stated
25,2020/07/22,Environmental Affairs,Acquisition of additional Microsoft licenses,Microsoft,Continuation of service,"2 7 019 200,00","4 5 704 655,00",-,Not supported,2020/6/6,2020/7/1,2022/5/24
26,2020/07/28,Environmental Affairs,"Control of invasive alien plants within
conservation areas",Mpumalanga Parks & Tourism Agency,Continuation of service,"2 2 757 162,00","7 032 838,00",-,Not supported,2020/7/20,Not Stated,Not Stated
27,2020/08/17,Environmental Affairs,Workshop,Arcadia Hotel,Variation of order,"4 830,00,","1 5 300,00",-,Supported,2020/8/17,2020/2/27,2020/2/27
28,2020/07/07,Eskom,"Maintenance services and manufacture,
supply and delivery of air heaters and
draught plant fans and spares to 15 coal
fired generation power stations",Howden Africa,Business continuity,"9 03 900 000,00","1 307 223 560,00",-,Conditional Support,2020/07/01,2021/06/30,2020/07/07
29,2020/07/26,Eskom,Turbine Generator at Medupi Power Station,Alstom South Africa,Expansion of scope (time & material),"1 3 416 641 808,00","1 16 567 868,00","2 034 994,00",Conditional Support,2020/08/11,Not stated,12 months
30,2020/07/22,ESKOM,"Maintenance and repairs to located high
voltage oil filled and XLPE cables from 44kv
to 132kv by jointing and terminating within
Gauteng Operating Unit on an adhoc basis","J&J Cable Jointing cc, Mbeu Engineering,
Vuka-u-Zenzele and F&J Electrical",Business continuity,"1 7 920 833,00","3 4 500 000,00","5 106 000,00",Supported,2020/07/21,Not stated,Not stated
31,2020/07/22,ESKOM,"Online vending services for vending of
prepaid electricity on behalf of Eskom","A2L Corporation (Pty) Ltd; Anytime Power
(Pty) Ltd; CigiCell; Contour; EasyPay
(Pty) Ltd; Flash Mobile (Pty) Ltd /
Lancaster Electric Solutions (Pty) Ltd JV;
Ontec Systems (Pty)Ltd; Tukisha Prepaid
(Pty) Ltd/ Pamodzi Pasha; Sandulela (Pty)
Ltd",Business continuity,"9 8 288 936,85","1 156 033 507,20","1 002 530 562,71",Supported,2020/07/21,2020/09/01,2020/11/30
32,2020/07/22,ESKOM,"Extension of time for Sout32 to deliver the
remaining Coal",South32,Business continuity,-,"1 1 416 000 000,00","2 9 319 632 900,00",Supported,2020/07/27,2020/09/01,2020/10/30
33,2020/07/22,ESKOM,"Supplementary personnel to support the
preparation and execution of outages and
outage related maintenance activities",Deros International (Pty) Ltd,Service Delivery Urgency,"5 29 381,76","3 544 023,16","1 0 770 274,06",Supported,2020/07/24,Not stated,Not stated
34,2020/08/05,ESKOM,Boiler works at Medupi Power Station,"Mitsubishi Hitachi Power Europe and
Mitsubishi Hitachi Power Africa","Sole Supplier and/or Single Source – e,g,
OEM","4 65 336 659,00","2 2 204 739 303,00","3 242 525 478,00",Conditional Support,2020/08/05,Not stated,Not stated
35,2020/08/11,ESKOM,Medupi Control Instrumentation,Siemens (Pty) Ltd,Expansion of scope (time & material),"1 284 080 088,00","8 8 457 517,00","1 01 622 509,00",Conditional Support,2020/08/11,Not stated,9 months
36,2020/08/04,ESKOM,Conveying Air Quality Improvement,"Mabro Engineering and Technical
Services (Pty) Ltd",Expansion of scope (time & material),"1 4 365 650,79","1 636 495,54",-,Not Supported,2020/08/04,2020/07/01,2020/09/30
37,2020/08/31,ESKOM,"Commissioning of the Hydrogen Plant at
Kusile Power Station Project",ACI Technical Services,Business continuity,"2 3 843 080,97","48,345,41",-,Not Supported,2020/08/31,Not stated,Not stated
38,2020/08/24,ESKOM,"Maintenance and Outage Repair Services
for Boiler Pressure PARTS, and/or the
maintenance and outage repair services for
High Pressure Pipework for Generation
Power Station","Steinmuller Africa (Pty) Ltd
Babcock Ntuthuko Engineering (Pty) Ltd
Actom (Pty) Ltd","Business Strategy/operations (Recently
found with SOCs with their turn-around
strategies)","8 51 000 000,00","2 764 848 780,00","1 5 610 026 394,00",Conditional Support,2020/08/22,2020/10/01,2021/12/31
39,2020/08/26,ESKOM,Provision of Legal services,Mothle Jooma Sabdia,Expansion of scope (time & material),"2 30 000,00","5 17 500,00",-,Conditional Support,2020/08/18,not stated,5 months
40,2020/08/25,ESKOM,"Supply, Transportation, Erecion and
dismantling of scaffolding and insultation
material for generatio power stations
including Group Capital (Refurbishment
Projects)","Southey Contracting (Pty) Ltd
Kaefer Thermal Consulting Services (Pty)
Ltd
SGB-Cape division of WACO Africa (Pty)
Ltd
TMS Group Industrial Services (Pty) Ltd",Expansion of scope (time & material),"5 51 425,00","3 78 499 500,00","6 119 911 519,00",Not Supported,2020/08/22,2021/01/01,2021/06/30
41,2020/09/02,ESKOM,"West Flue Gas Desulphurisation (WFDG)
Plant",Alstom S and E Africa (Pty) Ltd,Expansion of scope (time & material),"2 7 048 958,46","2 74 590 776,00","3 08 937 779,23",Conditional Support,2020/09/01,2023/08/30,2021/06/30
42,2020/07/21,ESKOM,"Provision of Physical Security Guarding
Services for the Ankerlig Transmission
Second Supply (ATKSS Project), A National
Key Point",Vusa-Isizwe Security (Pty) Ltd,Expansion of scope (time & material),"3 047 887,98","1 320 926,71",-,Noting,2020/07/20,2020/04/01,2021/03/31
