3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 1 REPORT EXPANSIONS,,,,,,,,,,,,,
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
,,,,,,EXPANSIONS REPORT,,,,,,,
1,Q1 2024/25,2024/03/28,Special Investigating Unit (SIU),Security Services-Unarmed,"Fidelity Security Services -Northern Cape
Office",Provision of Security Services,"R 2 27 782,80","R 4 03 963,12",R -,2024/02/29,2024/03/01,2024/08/31,Reported
2,Q1 2024/25,2024/03/28,Special Investigating Unit (SIU),Security Services-Unarmed,Fidelity Security Services -Polokwane,Provision of Security Services,"R 3 42 177,90","R 6 37 508,28",R -,2024/02/29,2024/03/01,2024/08/31,Reported
3,Q1 2024/25,2024/03/28,Special Investigating Unit (SIU),Security Services-Armed,Fidelity Security Services -Polokwane,Provision of Security Services,"R 9 3 826,00","R 1 67 257,92",R -,2024/02/29,2024/03/01,2024/08/31,Reported
4,Q1 2024/25,2024/03/28,Special Investigating Unit (SIU),Security Services-Unarmed,Nceda Security Free State,Provision of Security Services,"R 2 37 360,00","R 4 38 840,00",R -,2024/02/29,2024/03/01,2024/08/31,Reported
5,Q1 2024/25,2024/03/28,Special Investigating Unit (SIU),Security Services-Unarmed,Nceda Security -Umtata,Provision of Security Services,"R 2 37 360,00","R 4 16 760,00",R -,2024/02/29,2024/03/01,2024/08/31,Reported
6,Q1 2024/25,2024/03/28,Special Investigating Unit (SIU),Security Services-Unarmed,Prime African Pretoria,Provision of Security Services,"R 4 99 215,00","R 9 98 430,00",R -,2024/02/29,2024/03/01,2024/08/31,Reported
7,Q1 2024/25,2024/03/28,Special Investigating Unit (SIU),Security Services-Unarmed,Isibane Security -East London Office,Provision of Security Services,"R 2 49 822,00","R 4 75 851,55",R -,2024/02/29,2024/03/01,2024/08/31,Reported
8,Q1 2024/25,2024/03/28,Special Investigating Unit (SIU),Security Services-Unarmed,Vimba Protection Unit-Nelspruit,Provision of Security Services,"R 3 93 300,00","R 6 77 407,50",R -,2024/02/29,2024/03/01,2024/08/31,Reported
9,Q1 2024/25,2024/03/28,Special Investigating Unit (SIU),Security Services-Unarmed,Boo Sehuba Security Mahikeng,Provision of Security Services,"R 1 53 000,00","R 3 06 000,00",R -,2024/02/29,2024/03/01,2024/08/31,Reported
10,Q1 2024/25,2024/03/28,Special Investigating Unit (SIU),Security Services-Unarmed,Dragon Protection Durban,Provision of Security Services,"R 3 64 354,50","R 7 28 709,00",R -,2024/02/29,2024/03/01,2024/08/31,Reported
11,Q1 2024/25,2024/03/28,Special Investigating Unit (SIU),Security Services-Unarmed,Thornburn Security -Cape town,Provision of Security Services,"R 4 07 328,97","R 6 42 804,21",R -,2024/02/29,2024/03/01,2024/08/31,Reported
12,Q1 2024/25,2024/03/28,Special Investigating Unit (SIU),Security Services-Unarmed,Vusela Risk Services-Pretoria,Provision of Security Services,"R 2 28 337,15","R 3 93 065,10",R -,2024/02/29,2024/03/01,2024/08/31,Reported
13,Q1 2024/25,2024/03/28,South African Social Security Agency (SASSA),Re-construction of roof for Maraba Moshate Project.,mothikeni investments,"After the roof tiles were removed the engineer observed that the roof trusses were under-designed
with smaller than adequate trusses being chosen and which now resulted to the extension of scope
of work .The entire roof to be re-constructed in order not to compromise the roof structure of the","R 2 30 000,00","R 1 182 027,50",R -,2024/03/27,Once off,Once off,Reported
14,Q1 2024/25,2024/04/02,National Home Builders Registration Council (NHBRC),NHBRC East London Office extension for period of two months,INVESTPRO,Provision of three months for moving offices,"R 1 81 468,46","R 1 694 127,32","R 2 4 000,00",2024/03/29,2024/04/01,2024/06/30,Reported
