3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 2 REPORT EXPANSIONS,,,,,,,,,,,,,,
Number,"Period / Quarter (Use
dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)",
1,Q2 2024/25,2024/06/21,National Prosecuting Authority of South Africa (NPA),"Comprehensive facilities management services for the NPA at
DPP Bloemfontein",Ntsako Industries (Pty) Ltd,"To allow the bid process for the appointment of the new
service provider to be finalized","R288 834,00","R3 466 008,00","R0,00",2024/05/23,2024/06/01,2024/08/31,Reported,
2,Q2 2024/25,2024/06/21,National Prosecuting Authority of South Africa (NPA),"Library legal loose-leaf publication, maintenance and updating
service to the NPA","The Distribution Centre (Pty) Ltd t/a TDC Legal
Libraries","To allow the bid process for the appointment of the new
service provider to be finalized","R1 646 304,00","R13 092 007,42","R0,00",2024/05/23,2024/06/01,2024/09/30,Reported,
3,Q2 2024/25,2024/06/24,Legal Aid South Africa,Alexandra Local Office Cleaning Services,Masana Cleaning Hygiene Services,RFQ process not yet concluded,"R11 646,04","R260 244,35","R0,00",2024/05/27,2024/06/01,2024/06/30,Reported,
4,Q2 2024/25,2024/06/24,Legal Aid South Africa,Benoni Local Office Armed response Security Services,Fidelity Security,RFQ process not yet concluded,"R2 897,36","R57 478,83","R2 655,49",2024/05/23,2024/06/01,2024/09/30,Reported,
5,Q2 2024/25,2024/06/24,Legal Aid South Africa,Personal Credentials Verification Services,Managed Integrity Evaluation (MIE),Tender process not yet concluded,"R496 020,00","R710 623,99","R1 243 103,40",2024/05/22,2024/06/01,2024/11/30,Reported,
6,Q2 2024/25,2024/06/21,Denel,Fellowship,Jorsin,Addiitional Repair,"R56 558,68","R82 795,53","R134 762,21",2023/12/04,2023/12/05,2024/06/31,Reported,
7,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Provision of Site Facilities Services,Magmacore and Geshom Construction JV,Expansion,"R6 244 887,22","R18 234 890,00","R4 089 950,00",2024/05/31,2018/04/01,2025/01/31,Reported,
8,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"The provision of Industrial Cleaning Services on Boiler &Turbine
Plant areas / Outside Plant areas at Duvha Power Station for a
period of three years",Lahleni Investments,Expansion,"R3 214 333,49","R64 351 251,44","R7 123 120,41",2024/05/30,2020/01/12,2024/06/30,Reported,
9,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Auxiliary Bay Suspended Ceiling (28m level) Replacement. The
scope includes the design, manufacture, supply, and installation
of a debris netting/system above the suspended ceiling within
the Auxiliary Bay area at Lethabo Power Station.",Hage Project and Consulting Engineers (Pty) Ltd,Expansion,"R1 052 277,57","R5 406 749,62","R0,00",2024/06/04,2023/08/15,2025/08/14,Reported,
10,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Refurbishment of the Workshop and Stores Roof Cladding
Project",SAWA Construction,Expansion,"R3 059 672,52","R11 896 677,00","R0,00",2024/06/05,2023/08/15,2024/11/14,Reported,
