,Department/ Entity,Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,Value of previous extensions,"Award/
Recommended date
by AO/AA","not supported/not
supported/Conditional
support",Contract Start Date,Contract End Date
1,ACSA,"Provision of occupational health and safety services at Cape Town Int
Airport",Red Cross Air Mercy Services,Continuity service,"4,720,000.00","1,080,000.00",0.00,2017/06/27,Conditional Support,Not stated,6 months
2,ACSA,"Provision of occupational health and safety services at Cape Town Int
Airport",Red Cross Air Mercy Services,Continuity service,"1,800,000.00","400,000.00",0.00,2017/06/27,Conditional Support,Not stated,6 months
3,ACSA,Optimization and reconfiguration of the lounge area at George Airport,"CSM consulting services (Pty)
Ltd",Unforseen Expansion of scope,"521,675.00","796,424.00",0.00,2017/08/21,Conditional support,2018/02/01,2018/05/31
4,ACSA,Fire station building upgrade at Kimberly Airport,Johan Lategan Architects cc,Unforseen Expansion of scope,616 925 .00,"1,709,617.00",0.00,2017/08/21,Conditional support,Not stated,Not stated
5,ACSA,Provision of cleaning services at ACSA airports,Supercare,Competitive bid progress in progress,"62,618,134.00","15,405,960.00","25,879,629.00",Not stated,Conditional Support,2017/07/01,2018/03/31
6,ACSA,Baggage operations,Beumer Group,Competitive bid progress in progress,"29,054,772.04","3,887,538.00","10,511,954.60",2017/07/14,Conditional Support,2017/08/01,2018/01/31
7,ACSA,Maintenance of baggage machine,Beumer Group,Competitive bid progress in progress,"89,954,078.00","11,184,721.00","27,558,901.00",2017/07/14,Conditional Support,2017/08/01,2017/07/31
8,AEMFC,Provision of legal opinion on a mining contract tender,"Edward Nathan and
Sonnenbergs Incorporated","The actual work done exceeded the scope of work
quoted for.","273,600.00","323,067.00",0.00,2017/08/02,Not supported,Not Stated,Not Stated
9,AEMFC,Provision of legal opinion on a mining contract tender,"(ENS)
Pule incorporated","The actual work done exceeded the scope of work
quoted for.","188,100.00","38,859.00",30210.00,2017/08/01,Not supported,Not Stated,Not Stated
10,AgriSETA,Audit Services,"Outsourced Risk Compliance
Assessment (ORCA)",Continuity of Service,"1,066,178.00","811,218.00","1,877,396",2017/08/11,Not Supported,Not stated,Not stated
