year,quarter,dev_exp,department,supplier,value,original_value,file_name
2023,q4,deviation,South African Civil Aviation Authority (SACAA),Lexis,291469200,"R 2 914 692,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Council for Geoscience (CGS),CSIR,228322408,"R 2 283 224,08",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,South African Revenue Service (SARS),Multichoice Support Services (Pty) Ltd,79125280,"R 791 252,80",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,National Arts Council of South Africa (NAC),Vox Telecommunications,575000,"R 5 750,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,National Arts Council of South Africa (NAC),Three6ixty and Underwraps,1519550,"R 15 195,50",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,"Banking Sector Education and Training Authority
(BANKSETA)SETA",South African Institute for Business Accountants (SAIBA),537501,"R 5 375,01",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,"Banking Sector Education and Training Authority
(BANKSETA)SETA",Data proof,714610,"R 7 146,10",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Public Protector South Africa,Eris Property Group Pty Ltd,272820473,"R 2 728 204,73",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Public Protector South Africa,Nomi Projects Pty Ltd,21185289,"R 211 852,89",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Public Protector South Africa,Innovo Networks,931270,"R 9 312,70",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Public Protector South Africa,Innovo Networks,34787392,"R 347 873,92",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Public Protector South Africa,State Information Technology Agency (SITA),15452649,"R 154 526,49",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Public Protector South Africa,State Security Services (SSA),1962100,"R 19 621,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,South African Social Security Agency (SASSA),infrastructure services,1095764407,"R 10 957 644,07",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,National Development Agency (NDA),"Konica Minolta, a division of Bidvest Office (Pty) Ltd",107428,"R 1 074,28",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,National Development Agency (NDA),Selemagae Trading,480600,"R 4 806,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Legal Aid South Africa,Viggen Trading & Logistics (Pty) Ltd,26967500,"R 269 675,00",Deviations - Quarter 4 2023-2024.csv
